spec,k,valid2023_ll,cv_ll,cv_brier,valid_rank,cv_rank
A epa only,2,0.6693272117590967,0.6404385972661246,0.22485739454271658,9.0,8.0
B specB,3,0.6681598259400172,0.6398022760590405,0.2245171866781878,4.0,4.0
C B + pace,4,0.6682721647044984,0.6398121037151231,0.22452517345769388,5.0,5.0
D B + rest,6,0.6675503909647692,0.6398573835331908,0.22455646134403798,3.0,6.0
E B + sr,5,0.670794443214042,0.6368713463759894,0.2229006893945588,10.0,1.0
F pass/rush split,5,0.6672913851972365,0.6408908185174058,0.22514607476202658,2.0,9.0
G B + cpoe,5,0.668541205449744,0.6401106541063761,0.22463229631468912,7.0,7.0
H B + early-down,5,0.669045188514201,0.6396987448823129,0.22440531903353805,8.0,3.0
I 22-feature wide,22,0.6684692753594872,0.6428340192624481,0.22525670030435346,6.0,10.0
J B + neutral,4,0.6670528746392108,0.6395417285101942,0.22443503730589454,1.0,2.0
K B no turnovers,2,0.6756468056772665,0.6452734687916355,0.22690566924075986,11.0,11.0
