season,n,const,off_epa_noto_diff,def_epa_noto_diff,to_margin_diff,off_epa_noto_diff_se,def_epa_noto_diff_se,to_margin_diff_se,const_se
2014,255,0.3003880116026157,0.6836634152296883,0.41824586950844794,0.14857294629096002,0.1578810833931632,0.15745357908933583,0.1506154014084286,0.13605742898981554
2015,256,0.18362069248217466,0.34898922397456067,0.23319322448838478,0.35615454460340257,0.16089228671325992,0.15232936635120903,0.1510927327044685,0.13105778964624387
2016,254,0.3794555708861412,0.41474240104296256,0.022012272359837888,0.43953823082764987,0.15520894842528135,0.14848539850406658,0.13966996741619686,0.1345800987502966
2017,256,0.30061813591390607,0.6133688963875868,0.39445524200518517,0.2856214267278284,0.17166804455091142,0.14804775548988588,0.13808126501596657,0.135352975900385
2018,254,0.4407091009543204,0.5837432102439849,0.12321677745504958,0.33150266904264486,0.1484897832713466,0.1534417403231634,0.14626547700194023,0.1366520050307116
2019,255,0.07445545605633427,0.39045338223527176,0.3212749285120276,0.29611174700030646,0.1439127566160046,0.13256545611825973,0.1384030980384675,0.1323810008095352
2020,255,0.006919829515346177,0.6647678586247096,0.10249098086595276,0.34082701310765484,0.15242392977002678,0.12976308207104517,0.17111083028552768,0.1350866570922864
2021,271,0.07785184884510907,0.6612891717711038,0.3112734209372763,-0.0690681557228801,0.14552525129723295,0.1293881331615765,0.14796767537132205,0.1291851605382833
2022,269,0.28404626389608567,0.6449070892190082,-0.05485022575477901,0.24236758087598848,0.15217586268000555,0.13952248323398606,0.16238063558035035,0.13125479388587125
2023,272,0.22259518655555896,0.3502933624758679,0.06827146600407855,0.2086369078249547,0.11563775831810622,0.15025817238907607,0.14409014171831783,0.12539163934512315
2024,272,0.1628268328712668,0.741597353794654,-0.009726256214588608,0.29993960975227874,0.1355533706077518,0.1695831104652923,0.14641743024318937,0.13388383701572854
2025,271,0.15525950408019015,0.4656316167861255,0.4475551845568302,0.08964122732160112,0.12544328283471368,0.1147977382126264,0.12479810200982151,0.1290666622619465
