added,cv_logloss,delta,lo,hi,boot_p,folds_neg,bh_q10,adopt
net_rush_expl_rate_diff,0.6338995253594718,-0.0013890406219440024,-0.003701009114315332,0.0008132463134714006,0.219,4,False,False
net_sr_diff,0.6349367030108408,-0.0003518629705750444,-0.0013902950590805028,0.0007318171180441724,0.544,3,False,False
net_sr_noto_diff,0.634950123908215,-0.00033844207320088583,-0.001367098347346786,0.000690305272088485,0.509,3,False,False
net_pass_expl_rate_diff,0.6350735846676676,-0.0002149813137481943,-0.0013043054016728015,0.0007995281813897625,0.683,5,False,False
net_epa_sd_diff,0.6350943074665429,-0.00019425851487288255,-0.0012257439507112442,0.0008876728211375449,0.716,4,False,False
net_early_rush_epa_diff,0.6351274560907142,-0.00016110989070163543,-0.0008461002249479748,0.0005047126893585615,0.648,4,False,False
net_qb_hit_rate_diff,0.635160870916912,-0.00012769506450394322,-0.002474758116445759,0.00211813218431208,0.862,4,False,False
net_air_epa_diff,0.6351716467800779,-0.00011691920133808139,-0.0014006039679603983,0.0012173875403490408,0.86,3,False,False
net_first_down_rate_diff,0.6351847841536523,-0.00010378182776352145,-0.0007713624808436146,0.0005972126508469852,0.747,6,False,False
net_pen_yds_rate_diff,0.6351942465071345,-9.431947428133505e-05,-0.0012857029830543175,0.0010509103945927347,0.893,5,False,False
net_rush_epa_diff,0.6352051730517172,-8.339292969870206e-05,-0.0015776218327802417,0.00143156462291649,0.931,4,False,False
net_sec_per_play_diff,0.6352880442143802,-5.217670356825197e-07,-0.00025447769533271103,0.00025419081305572063,0.998,3,False,False
net_epa_noto_diff,0.6352885659814159,1.0605296359683537e-18,-6.1718077053111424e-18,8.117286831980489e-18,0.77,3,False,False
net_tfl_rate_diff,0.6353117665260838,2.3200544667929192e-05,-0.00035821873918029124,0.0004318758483876106,0.917,4,False,False
net_third_epa_diff,0.6353306461768315,4.208019541569529e-05,-0.0008060458705679329,0.0008620555269261352,0.912,5,False,False
net_expl_rate_diff,0.6353500017579259,6.143577651003991e-05,-0.0003721342877218776,0.0005077117052536223,0.838,3,False,False
net_yac_epa_diff,0.6353735365891984,8.497060778253962e-05,-0.0005210848045525051,0.0007027568949512002,0.769,3,False,False
net_epa_diff,0.6353899500029685,0.00010138402155268831,-0.0006673280121979331,0.000870558407789309,0.775,5,False,False
net_fumble_lost_rate_diff,0.6354155191891041,0.00012695320768821674,-0.0003169369074011579,0.0005775558962415204,0.545,3,False,False
net_pass_epa_diff,0.6354478318701787,0.00015926588876294186,-0.0012201070027247816,0.0015426372244593109,0.836,4,False,False
net_pen_rate_diff,0.63545050780937,0.00016194182795412627,-0.00045062457176491276,0.000765996662525753,0.565,4,False,False
net_disaster_rate_diff,0.635547576522776,0.00025901054136022667,-0.0003471402632097516,0.0008824337618258809,0.423,3,False,False
net_int_rate_diff,0.635553617371513,0.00026505139009701045,-0.0004493490733180694,0.0009959216518159696,0.475,2,False,False
net_td_per_drive_diff,0.6355573029274628,0.0002687369460470714,-0.0012563756663747947,0.0018271269167737753,0.72,3,False,False
net_rz_td_rate_diff,0.6355620912786095,0.0002735252971936071,-0.0003554235703943063,0.0009268553167687226,0.393,3,False,False
net_series_conv_diff,0.6355892913971792,0.0003007254157634749,-0.0005550604175242802,0.001077528570581664,0.484,5,False,False
net_early_epa_diff,0.635653675871562,0.00036510989014620644,-0.0004218970420977154,0.0011922499926573106,0.346,3,False,False
net_plays_per_drive_diff,0.63566710822102,0.0003785422396040969,-0.0005243619805143112,0.0011973414211684935,0.399,4,False,False
net_dropback_epa_diff,0.6357095411432152,0.0004209751617993721,-0.00013432108060282456,0.0009365509584171246,0.119,3,False,False
net_to_all_rate_diff,0.6357191194443341,0.0004305534629181618,-0.000891200381258239,0.0017203880057581494,0.561,2,False,False
net_cpoe_diff,0.6357308271690769,0.0004422611876610817,-0.00016968097360211878,0.0010538155686023653,0.15,3,False,False
net_st_epa_diff,0.6357656964918454,0.0004771305104295521,-0.00369192302740787,0.0045804859259217096,0.811,3,False,False
net_fumble_rate_diff,0.6358505993364321,0.0005620333550163815,-0.00033017271318739043,0.0014791361796390157,0.227,3,False,False
net_pass_oe_diff,0.6358656127753434,0.0005770467939275374,-0.00013894278989366198,0.001285971711023019,0.125,2,False,False
net_early_pass_epa_diff,0.6358998216074653,0.0006112556260494597,-0.0003152841195802285,0.0016044626723352268,0.179,2,False,False
net_rz_rate_diff,0.6359201728088073,0.0006316068273914329,-4.2900596513007717e-05,0.0012763704354721661,0.068,3,False,False
net_start_yl100_diff,0.6359962463682364,0.0007076803868205191,-0.0009423364085052028,0.0023949020492770837,0.393,3,False,False
net_three_out_rate_diff,0.6360262173477799,0.0007376513663639413,-0.0010925411366654518,0.0026378917723126317,0.472,3,False,False
net_sack_rate_diff,0.636333338174931,0.0010447721935150534,-0.0010013782405698158,0.003256159227619379,0.363,4,False,False
net_score_rate_diff,0.636374516915095,0.0010859509336791687,-0.0036955058065722716,0.005756414820116772,0.651,3,False,False
net_third_conv_diff,0.6364325659685496,0.0011439999871338557,-0.0003097954534814861,0.002796558573764096,0.167,2,False,False
net_pts_per_drive_diff,0.6368861632368438,0.0015975972554280215,-0.0030830935738879314,0.006490223786953607,0.508,4,False,False
