form,d_logloss,lo,hi,sig
probit linear,3.743138123679657e-06,-0.0003142513596919444,0.000358011606306033,
logit + quadratics,0.001030999821795331,-0.0016415151310943676,0.0035677538747990256,
logit + spline in index,0.001608444075809512,-0.0006060129937221158,0.003888358232687356,
MARGIN ols -> Phi(mu/s_res),-0.0005009568596423541,-0.0029688521065571486,0.0019092920954163182,
MARGIN ols -> Phi(mu/s_fit),8.519110842830635e-05,-0.001074956431582949,0.0012486086437174203,
MARGIN ols -> logistic cdf,0.00012467414334349503,-0.0008718830498082225,0.0011216805382902627,
MARGIN huber -> Phi,-0.0003387120715936387,-0.001267057761716639,0.000596854103552555,
ridge C=1 (spec B),-7.997401658466075e-06,-7.033844494075959e-05,5.1900495638684826e-05,
ridge C=0.1 (spec B),-2.5316084367843494e-05,-0.0006106234891664286,0.0005389884328591721,
logit WIDE (22 feat),0.0030317432034075997,-0.004024203302598723,0.01015923860243058,
ridge C=1 WIDE,0.002687501539251458,-0.00411802080836258,0.009676665457361771,
ridge C=0.1 WIDE,0.001336834267153364,-0.004610959441077058,0.007438727379685518,
ridge C=0.03 WIDE,-0.00010806775006677594,-0.005151611491311742,0.004949827743065483,
MARGIN ols WIDE -> Phi,0.0017395566489513126,-0.004404758801359976,0.00810429592872576,
