form,n,logloss,brier,acc,auc
logit linear (spec B),1832,0.6398022760590405,0.2245171866781878,0.6408296943231441,0.6805965629495041
probit linear,1832,0.6398060191971642,0.22452002271153526,0.6397379912663755,0.6806302100419748
logit + quadratics,1832,0.6408332758808358,0.22486426838898826,0.6359170305676856,0.6793636373468306
logit + spline in index,1832,0.64141072013485,0.22508815524330625,0.6359170305676856,0.6795402845823014
MARGIN ols -> Phi(mu/s_res),1832,0.6393013191993981,0.22433701675963516,0.6375545851528385,0.6810123448778911
MARGIN ols -> Phi(mu/s_fit),1832,0.6398874671674688,0.2245281937380486,0.6375545851528385,0.6806938991812941
MARGIN ols -> logistic cdf,1832,0.639926950202384,0.22455709916324298,0.6375545851528385,0.6806025713588739
MARGIN huber -> Phi,1832,0.6394635639874469,0.22434253894018114,0.6408296943231441,0.6807575883206135
ridge C=1 (spec B),1832,0.639794278657382,0.22451663595029456,0.6408296943231441,0.6805557057657898
ridge C=0.1 (spec B),1832,0.6397769599746727,0.22453038435517386,0.6397379912663755,0.6803141677091257
logit WIDE (22 feat),1832,0.6428340192624481,0.22525670030435346,0.6397379912663755,0.6799897136031591
ridge C=1 WIDE,1832,0.642489777598292,0.22510833267403096,0.6402838427947598,0.6805040334452099
ridge C=0.1 WIDE,1832,0.6411391103261939,0.22457387745877969,0.6419213973799127,0.6819977240145307
ridge C=0.03 WIDE,1832,0.6396942083089737,0.22404094941946467,0.644650655021834,0.6830936578835739
MARGIN ols WIDE -> Phi,1832,0.6415418327079918,0.22460074882150444,0.6402838427947598,0.6816119841329925
