added,cv_logloss,delta,lo,hi,boot_p,bh_q10
net_st_epa_diff,0.6389894533080944,-0.002541155347001566,-0.0072181594225631945,0.002305333776584429,0.289,False
net_sr_noto_diff,0.6395064388397562,-0.002024169815339743,-0.0036897200845782486,-0.00020688683206309048,0.026,False
net_sr_diff,0.6395304813787028,-0.0020001272763930577,-0.0037882928570162175,-0.00016724755018023466,0.034,False
net_pen_yds_rate_diff,0.6395484573331387,-0.001982151321957206,-0.004344908356954789,0.0002399835109748342,0.087,False
net_score_rate_diff,0.6404928168564318,-0.0010377917986641027,-0.006255489594445394,0.0036810493272454742,0.69,False
net_pen_rate_diff,0.6406677590617,-0.0008628495933959475,-0.002071876392840416,0.00033043843400371823,0.166,False
net_qb_hit_rate_diff,0.6407577975285997,-0.0007728111264962116,-0.0032956969910512245,0.0016647260638774151,0.518,False
net_rush_expl_rate_diff,0.640842173165299,-0.0006884354897968667,-0.0019862085357621145,0.0006751998223047569,0.309,False
net_early_epa_diff,0.6408960731315523,-0.0006345355235436085,-0.001870423898833781,0.0005564517665295538,0.322,False
net_pts_per_drive_diff,0.64106451915556,-0.000466089499536108,-0.005251410965695533,0.00442039001161362,0.839,False
net_early_pass_epa_diff,0.6413019645518758,-0.00022864410322009018,-0.001436349115563116,0.0009097108518760137,0.726,False
net_sec_per_play_diff,0.6413733293918757,-0.00015727926322001978,-0.0007818580129077158,0.00048583357624556756,0.629,False
net_air_epa_diff,0.6413994937056322,-0.00013111494946370912,-0.00133125164562297,0.0011330880561159242,0.84,False
net_epa_sd_diff,0.6414015884739394,-0.00012902018115652387,-0.0022588181526560303,0.002055002150824901,0.877,False
net_yac_epa_diff,0.6414849127956788,-4.56958594171359e-05,-0.000967689494710672,0.0008946561977535444,0.921,False
net_rz_td_rate_diff,0.6415868528902737,5.62442351778019e-05,-0.0004452798646213746,0.0005503582165270234,0.838,False
net_pass_expl_rate_diff,0.6415987819967391,6.817334164323464e-05,-0.0007034668315177113,0.0007772638313919282,0.859,False
net_first_down_rate_diff,0.6416178609072549,8.72522521589848e-05,-0.0013038077971877422,0.0015115423288116145,0.909,False
net_td_per_drive_diff,0.6416784140950701,0.00014780543997406777,-0.001154462444389689,0.0013978554180497872,0.852,False
net_cpoe_diff,0.6416802172030968,0.00014960854800077466,-0.0014983554542691805,0.0018532842559435773,0.85,False
net_early_rush_epa_diff,0.6416899777098576,0.0001593690547615465,-0.00042953033728652365,0.0007429055355721881,0.584,False
net_pass_oe_diff,0.6417421990298228,0.00021159037472671065,-0.0005276144605503308,0.0010196259589215263,0.57,False
net_sack_rate_diff,0.6417657340364293,0.00023512538133325518,-0.002103362607502692,0.0025405552241722254,0.885,False
net_epa_diff,0.6417689879645689,0.00023837930947317537,-0.00044406643949593136,0.0009738087853732292,0.535,False
net_tfl_rate_diff,0.6417750003031694,0.0002443916480733031,-0.0005281812442545687,0.0010659376737110458,0.506,False
net_dropback_epa_diff,0.6418100196213149,0.0002794109662188821,-0.0008585848815171286,0.0013569745444318227,0.592,False
net_pass_epa_diff,0.6418456296819142,0.00031502102681821146,-0.00027886123535983577,0.0009142142451852439,0.292,False
net_rush_epa_diff,0.6418968775198041,0.0003662688647081719,-0.0004363055152511134,0.0011436532684005515,0.377,False
net_third_epa_diff,0.6419634179335382,0.0004328092784421866,-0.0006307267549091219,0.0015206363827523282,0.413,False
net_fumble_lost_rate_diff,0.6420566355463028,0.0005260268912068308,-0.0001757341112882691,0.001235624549068959,0.134,False
net_disaster_rate_diff,0.6421457680900051,0.0006151594349091948,-0.00016753388881821188,0.0013948291238774077,0.118,False
net_int_rate_diff,0.6421703314916982,0.000639722836602326,-0.00015093519171175898,0.0014005804659620994,0.111,False
net_start_yl100_diff,0.6422471646847006,0.0007165560296046578,-0.00033099716586594915,0.0017355799305912687,0.184,False
net_expl_rate_diff,0.6422646947056064,0.0007340860505104299,-0.00011793029887458039,0.001540203803225649,0.086,False
net_rz_rate_diff,0.6423862933525791,0.0008556846974831681,-0.00027332518749962584,0.0020034321014707457,0.142,False
net_fumble_rate_diff,0.6425999280940818,0.001069319438985825,-0.00043107171458828876,0.002453133974360549,0.173,False
net_to_all_rate_diff,0.6426800035930101,0.0011493949379142241,-0.001764360833057906,0.003860590515583456,0.432,False
net_series_conv_diff,0.6430449326389345,0.0015143239838385316,-0.0005810400151674926,0.0035232311005814775,0.165,False
net_third_conv_diff,0.6433453603201779,0.0018147516650820223,-0.0010214063083584905,0.004862319109814688,0.235,False
net_plays_per_drive_diff,0.6434742809093891,0.001943672254293191,-0.0006113325112709574,0.004615210041358667,0.151,False
net_three_out_rate_diff,0.6467006839973712,0.005170075342275281,7.44391574842192e-05,0.01054202945365169,0.046,False
