version,season,week,metric,test,identical,max_abs_diff,note
v1,2015,1,epa,poison,True,0.0,
v1,2015,1,epa,truncate,True,0.0,
v1,2015,1,pass_epa,poison,True,0.0,
v1,2015,1,pass_epa,truncate,True,0.0,
v1,2015,1,rush_epa,poison,True,0.0,
v1,2015,1,rush_epa,truncate,True,0.0,
v1,2015,1,sr,poison,True,0.0,
v1,2015,1,sr,truncate,True,0.0,
v1,2015,1,pass_sr,poison,True,0.0,
v1,2015,1,pass_sr,truncate,True,0.0,
v1,2015,1,rush_sr,poison,True,0.0,
v1,2015,1,rush_sr,truncate,True,0.0,
v1,2015,1,cpoe,poison,True,0.0,
v1,2015,1,cpoe,truncate,True,0.0,
v1,2015,1,pass_oe,poison,True,0.0,
v1,2015,1,pass_oe,truncate,True,0.0,
v1,2015,1,sec_per_play,poison,True,0.0,
v1,2015,1,sec_per_play,truncate,True,0.0,
v1,2015,1,to_rate,poison,True,0.0,
v1,2015,1,to_rate,truncate,True,0.0,
v1,2015,1,epa_noto,poison,True,0.0,
v1,2015,1,epa_noto,truncate,True,0.0,
v1,2015,1,sr_noto,poison,True,0.0,
v1,2015,1,sr_noto,truncate,True,0.0,
v1,2015,1,early_epa,poison,True,0.0,
v1,2015,1,early_epa,truncate,True,0.0,
v1,2015,1,early_sr,poison,True,0.0,
v1,2015,1,early_sr,truncate,True,0.0,
v1,2015,1,fumble_rate,poison,True,0.0,
v1,2015,1,fumble_rate,truncate,True,0.0,
v1,2015,1,int_rate,poison,True,0.0,
v1,2015,1,int_rate,truncate,True,0.0,
v2,2015,1,epa,poison,True,0.0,
v2,2015,1,epa,truncate,True,0.0,
v2,2015,1,pass_epa,poison,True,0.0,
v2,2015,1,pass_epa,truncate,True,0.0,
v2,2015,1,rush_epa,poison,True,0.0,
v2,2015,1,rush_epa,truncate,True,0.0,
v2,2015,1,sr,poison,True,0.0,
v2,2015,1,sr,truncate,True,0.0,
v2,2015,1,pass_sr,poison,True,0.0,
v2,2015,1,pass_sr,truncate,True,0.0,
v2,2015,1,rush_sr,poison,True,0.0,
v2,2015,1,rush_sr,truncate,True,0.0,
v2,2015,1,cpoe,poison,True,0.0,
v2,2015,1,cpoe,truncate,True,0.0,
v2,2015,1,pass_oe,poison,True,0.0,
