benchmark,metric,diff,lo,hi
m0_fixed135,logloss,0.026597067862389245,0.007220963943735054,0.04970922973877323
m0_fixed135,brier,0.0115249168984419,0.003226049303936885,0.021630771835001315
m1_fixed_hat,logloss,0.027903284018616414,0.008710969134332716,0.0508996399830128
m1_fixed_hat,brier,0.011993459915363297,0.0037902363966790787,0.02204659922327214
m2_logit_spread,logloss,0.03129767153730589,0.012882861801487773,0.05402516626544494
m2_logit_spread,brier,0.01326454665794971,0.0052315913064323784,0.02313805431687354
m3_ml_mult,logloss,0.03055580430752991,0.012159655498897987,0.052753427024537586
m3_ml_mult,brier,0.013054096401855425,0.005083801871058248,0.022821011504236363
m4_ml_shin,logloss,0.031023714629694887,0.012366085444976457,0.05317789973260849
m4_ml_shin,brier,0.013186844881959758,0.005230065149407524,0.0229314426573009
m4_ml_power,logloss,0.03183135523831793,0.012985102555022138,0.05417663259943503
m4_ml_power,brier,0.013374237353734025,0.005323831276587509,0.023073197157453082
m4_ml_add,logloss,0.03144020128669833,0.012689630772040062,0.053700033452884315
m4_ml_add,brier,0.013294409826808434,0.005260788004864343,0.022977766304779705
