n_pc,cv_logloss,cv_acc,d_vs_prev,lo,hi,boot_p
1,0.6395460745407585,0.6317530319735392,,,,
2,0.6405838553444045,0.6300992282249173,0.001037780803646008,-0.0005658001770623437,0.0025082855453808523,0.202
3,0.6402401688343577,0.6339581036383682,-0.00034368651004675234,-0.0012864865350565833,0.0006080503777565377,0.496
4,0.6399515217113889,0.6306504961411246,-0.0002886471229688919,-0.0009462180443573843,0.0004175625527385613,0.418
5,0.6393440750628492,0.6284454244762955,-0.0006074466485396689,-0.002308536911828374,0.001220167428130598,0.529
6,0.6399876968122202,0.6306504961411246,0.000643621749370948,-0.0011551932236353291,0.0024656385438763624,0.545
7,0.6388542789987853,0.6295479603087101,-0.0011334178134347944,-0.002412721219523281,0.0001840296392903907,0.086
8,0.6383647278342008,0.6334068357221609,-0.0004895511645845419,-0.002381745689742156,0.0014066656510970264,0.62
9,0.6395671486841015,0.6378169790518192,0.001202420849900635,-0.0007533011864407934,0.0030640795671976378,0.21
10,0.6411166604658092,0.6383682469680264,0.0015495117817076645,-9.58493149259741e-05,0.0033364071686821225,0.064
