set,C,logloss,brier
specB k=3,0.003,0.6502263842116363,0.22924572427398232
specB k=3,0.01,0.6419921184236255,0.22554612971312926
specB k=3,0.03,0.6400478818033944,0.22467805228818263
specB k=3,0.1,0.6397769599746727,0.22453038435517386
specB k=3,0.3,0.6397812475067219,0.22451725441809714
specB k=3,1.0,0.639794278657382,0.22451663595029456
specB k=3,3.0,0.6397992119352623,0.22451687213728228
specB k=3,10.0,0.6398010699779162,0.22451699946614959
specB k=3,1000000.0,0.6398018873504255,0.2245170611908143
wide k=22,0.003,0.6391976785335264,0.22407258800177682
wide k=22,0.01,0.6384470798241453,0.2236198909339249
wide k=22,0.03,0.6396942083089737,0.22404094941946467
wide k=22,0.1,0.6411391103261939,0.22457387745877969
wide k=22,0.3,0.6419788910722249,0.2248976552461405
wide k=22,1.0,0.642489777598292,0.22510833267403096
wide k=22,3.0,0.6427030222783248,0.2251998111171041
wide k=22,10.0,0.6428064224262307,0.2252469032881658
wide k=22,1000000.0,0.6428434290650301,0.22526318554716632
