spec,valid_d,valid_hw,cv_d,cv_lo,cv_hi,cv_hw
A epa only,0.0011673858190794917,0.006076361878722104,0.0006363212070841229,-0.0015306619487431504,0.0027829556859020584,0.002156808817322604
C B + pace,0.00011233876448113467,0.0011876356187098497,9.827656082594949e-06,-0.00028365068215033815,0.00029427687776401035,0.00028896377995717425
D B + rest,-0.0006094349752480133,0.0025039280792812603,5.5107474150273283e-05,-0.0010997205703707684,0.0011968726194201142,0.0011482965948954413
E B + sr,0.0026346172740248086,0.009417648841348217,-0.0029309296830510867,-0.008130499167014874,0.002258981406754624,0.005194740286884748
F pass/rush split,-0.0008684407427806962,0.007696398240029887,0.0010885424583653158,-0.001590978060538528,0.003812158057050403,0.0027015680587944655
G B + cpoe,0.0003813795097268313,0.0026551948568752305,0.00030837804733563345,-0.0009080420941095928,0.0014889057903631514,0.001198473942236372
H B + early-down,0.0008853625741838123,0.004816395096313629,-0.00010353117672756706,-0.0026154172824475242,0.002385965149493717,0.002500691215970621
I 22-feature wide,0.00030944941946997595,0.01148505017459367,0.0030317432034075997,-0.004024203302598723,0.01015923860243058,0.0070917209525146515
J B + neutral,-0.0011069513008064025,0.0038777327831961035,-0.0002605475488463016,-0.0011999166829128132,0.0006971209419270819,0.0009485188124199475
K B no turnovers,0.007486979737249322,0.014815869979707845,0.005471192732594998,-0.0008093998817577996,0.011854587849961868,0.006331993865859834
