feature,cv_logloss,cv_acc,d_vs_null,lo,hi,boot_p
net_pts_per_drive_diff,0.639794634949184,0.6361631753031973,-0.04915941191641318,-0.06428587352851711,-0.03382593365765698,0.0
net_score_rate_diff,0.642043882387445,0.6278941565600882,-0.04691016447815205,-0.06111817858128433,-0.031384361488906,0.0
net_epa_diff,0.6425423381120541,0.6284454244762955,-0.04641170875354305,-0.06055557735375198,-0.031693904500031726,0.0
net_dropback_epa_diff,0.6448598562040773,0.6367144432194046,-0.04409419066151994,-0.058083191005627616,-0.02998632430862419,0.0
net_td_per_drive_diff,0.6460483754109302,0.62348401323043,-0.04290567145466696,-0.05682429235803559,-0.028688440140532154,0.0
net_early_epa_diff,0.6470978266630174,0.6218302094818081,-0.04185622020257959,-0.054185399723512266,-0.02887504731809694,0.0
net_pass_epa_diff,0.6476995183100281,0.63561190738699,-0.041254528555568985,-0.05428311487226339,-0.02776265956876353,0.0
net_epa_noto_diff,0.6485937468383396,0.6256890848952591,-0.04036030002725745,-0.05339452772034062,-0.026771481116295914,0.0
net_sr_diff,0.6488497687335681,0.6223814773980154,-0.040104278132029006,-0.05162412786357942,-0.028287816852310497,0.0
net_first_down_rate_diff,0.6510146902671576,0.6179713340683572,-0.037939356598439555,-0.049628052533705315,-0.02494640217180179,0.0
net_early_pass_epa_diff,0.6521154709693956,0.6141124586549063,-0.036838575896201556,-0.0481168918986986,-0.023947551936282577,0.0
net_series_conv_diff,0.6526305685140554,0.6163175303197354,-0.036323478351541594,-0.04904096992620513,-0.023319545815844764,0.0
net_sr_noto_diff,0.6526350203337257,0.6163175303197354,-0.03631902653187147,-0.047415961034006915,-0.02558780162605021,0.0
net_disaster_rate_diff,0.6574457757955985,0.6152149944873209,-0.031508271069998615,-0.04369391006541052,-0.018749180548863507,0.0
net_expl_rate_diff,0.6610554943671351,0.5964718853362734,-0.02789855249846207,-0.0392943894725596,-0.016477168960091933,0.0
net_rz_rate_diff,0.6616600317101073,0.593715545755237,-0.027294015155489775,-0.039049611177643544,-0.014774075386760049,0.0
net_pass_expl_rate_diff,0.6645468089816926,0.6052921719955898,-0.024407237883904632,-0.03605580244019681,-0.013124729714721499,0.0
net_cpoe_diff,0.6660330172508685,0.5942668136714443,-0.022921029614728614,-0.03374113604524061,-0.012150990938074042,0.0
net_to_rate_diff,0.6661778594811674,0.5904079382579934,-0.022776187384429897,-0.032570850058214404,-0.012976744548659446,0.0
net_to_all_rate_diff,0.666450627266522,0.587651598676957,-0.022503419599075116,-0.03330517413786533,-0.01169628012880642,0.0
net_yac_epa_diff,0.6684084246890947,0.5981256890848953,-0.020545622176502465,-0.029066507897454383,-0.012062355719075752,0.0
net_third_conv_diff,0.6684784996521906,0.5931642778390298,-0.0204755472134065,-0.03165554001013283,-0.009005400885429796,0.002
net_sack_rate_diff,0.6685464597182643,0.581587651598677,-0.020407587147332873,-0.02949368914115276,-0.011560078822038291,0.0
net_third_epa_diff,0.6688449366538024,0.6025358324145534,-0.020109110211794897,-0.03125235358994981,-0.00935827133247708,0.0
net_start_yl100_diff,0.671528808010358,0.5738699007717751,-0.017425238855239167,-0.026176750535604098,-0.009038081158963969,0.001
net_early_rush_epa_diff,0.673978676534921,0.5562293274531422,-0.014975370330676006,-0.022233076278949115,-0.007862223996297098,0.001
net_rush_epa_diff,0.6750097742273538,0.5672546857772878,-0.013944272638243469,-0.02208180182218707,-0.005678428482029722,0.002
net_int_rate_diff,0.675059111156461,0.5826901874310915,-0.013894935709136254,-0.021882785827723752,-0.005714739675923549,0.001
net_rush_expl_rate_diff,0.6767586473006559,0.5573318632855567,-0.012195399564941133,-0.018039693385918293,-0.006499191059433599,0.0
net_qb_hit_rate_diff,0.6779884769017668,0.5633958103638368,-0.01096556996383035,-0.019055454909727897,-0.00292114766483678,0.008
net_epa_sd_diff,0.6805151196732538,0.5667034178610805,-0.008438927192343341,-0.015378400291563116,-0.0019346690787416566,0.016
net_rz_td_rate_diff,0.6806689146559093,0.5595369349503859,-0.008285132209687872,-0.013626306917207676,-0.002912448250257928,0.002
net_plays_per_drive_diff,0.6806724121641186,0.5722160970231532,-0.00828163470147859,-0.017917962248273092,0.0009624957909748506,0.082
net_three_out_rate_diff,0.6822177071818675,0.5755237045203969,-0.006736339683729635,-0.0180360593421833,0.0036579335964858606,0.191
net_fumble_rate_diff,0.6825974144591006,0.5589856670341786,-0.006356632406496384,-0.012210785639470131,3.1178779290930335e-05,0.051
net_fumble_lost_rate_diff,0.6833054189767162,0.5523704520396913,-0.005648627888881107,-0.010967726256324188,-0.00031746079007819215,0.029
net_st_epa_diff,0.6860300504866712,0.5523704520396913,-0.0029239963789259573,-0.008446861049610885,0.0023866555088217336,0.3
net_pen_yds_rate_diff,0.6880509985365638,0.5468577728776185,-0.0009030483290333802,-0.0023039520499441367,0.0004061529932266658,0.189
net_sec_per_play_diff,0.6887554009485829,0.5485115766262404,-0.00019864591701424886,-0.001231084223913589,0.0008801964945091486,0.689
net_pen_rate_diff,0.6888087864819417,0.5485115766262404,-0.00014526038365553475,-0.0007167815473756668,0.0004324035215104767,0.63
net_pass_oe_diff,0.6889669866607147,0.5468577728776185,1.2939795117651129e-05,-0.0014452372873246418,0.0014254572480431776,0.992
net_tfl_rate_diff,0.689393620483785,0.5485115766262404,0.00043957361818804255,-0.0013764635630368575,0.0023247305832834165,0.623
net_air_epa_diff,0.6899791613078375,0.5474090407938258,0.001025114442240448,4.5892797724835896e-05,0.0020022938629415806,0.039
