half_life,gamma,lam,mse,rel
3,0.2,10,0.08184128836614377,1.1284801406352911
3,0.2,20,0.07806096214499775,1.0763545796763692
3,0.2,40,0.07563293624107852,1.0428754022560098
3,0.2,80,0.07507322309813813,1.0351577186898007
3,0.4,10,0.08082003959566544,1.1143985080126826
3,0.4,20,0.07736423203234935,1.0667476183100135
3,0.4,40,0.07519245993904798,1.0368018326778021
3,0.4,80,0.0748164228874581,1.0316167927873772
3,0.6,10,0.08007853299126651,1.1041741396783216
3,0.6,20,0.07686374188986468,1.0598465394334091
3,0.6,40,0.07488326172136471,1.0325384094700154
3,0.6,80,0.07464126086721884,1.0292015465812174
3,0.8,10,0.07950603688129036,1.0962801963693072
3,0.8,20,0.07648044790586787,1.054561436307585
3,0.8,40,0.07465140125412288,1.0293413687353894
3,0.8,80,0.07451343987016751,1.0274390687462729
5,0.2,10,0.07865768694330992,1.0845826036696773
5,0.2,20,0.07595924020017482,1.0473746903904226
5,0.2,40,0.07439594092367247,1.025818917960376
5,0.2,80,0.0744217249265999,1.026174444319144
5,0.4,10,0.07711669289959325,1.0633343900859462
5,0.4,20,0.07493901587429201,1.0333071834665208
5,0.4,40,0.07379728129531692,1.0175642152902893
5,0.4,80,0.07410713077566855,1.0218366185251782
5,0.6,10,0.07619420623572724,1.0506145526914468
5,0.6,20,0.07433622301066686,1.024995489099316
5,0.6,40,0.0734586478022885,1.012894919639335
5,0.6,80,0.07394132729675788,1.0195504138852676
5,0.8,10,0.07558020809883322,1.0421483528343267
5,0.8,20,0.07394151786419097,1.0195530415511802
5,0.8,40,0.0732462787015811,1.0099666383595889
5,0.8,80,0.07384506872329319,1.0182231389768521
8,0.2,10,0.07657473454512007,1.0558615209231563
8,0.2,20,0.07462135932645354,1.0289271313811388
8,0.2,40,0.07365682442369585,1.015627505917741
8,0.2,80,0.07407000196459906,1.0213246626802277
8,0.4,10,0.07493387380711707,1.0332362813484752
8,0.4,20,0.07356009731913721,1.0142937706022943
8,0.4,40,0.07307895579698866,1.0076594829044936
8,0.4,80,0.07380400244936863,1.0176568908703165
8,0.6,10,0.07412372252417676,1.0220653961881856
8,0.6,20,0.07305871086145786,1.0073803327572874
8,0.6,40,0.07283562989044863,1.0043043493439852
8,0.6,80,0.07371759629177815,1.016465467386937
8,0.8,10,0.0736722208881748,1.015839802238429
8,0.8,20,0.07279878748364446,1.0037963426246175
8,0.8,40,0.07273278209879094,1.0028862180717273
8,0.8,80,0.07370314888507955,1.0162662572832286
12,0.2,10,0.07537437089711127,1.0393101375644502
12,0.2,20,0.07386975349090528,1.0185635083745308
12,0.2,40,0.07327098391513796,1.0103072896790593
12,0.2,80,0.07391184029997802,1.0191438282738072
12,0.4,10,0.07386486312846133,1.0184960769226479
12,0.4,20,0.07292718288315066,1.005566740688776
12,0.4,40,0.07280426683629587,1.0038718954509975
12,0.4,80,0.07373844070709204,1.0167528835456323
12,0.6,10,0.07327297431447737,1.0103347345809088
12,0.6,20,0.07260320763117373,1.0010995622607235
12,0.6,40,0.0726983538073777,1.0024114987227108
12,0.6,80,0.0737502876128651,1.0169162362757735
12,0.8,10,0.07304718420112112,1.0072213957764855
12,0.8,20,0.07252346356761782,1.0
12,0.8,40,0.07272920635625836,1.0028369134417954
12,0.8,80,0.07382720251229334,1.0179767882081359
20,0.2,10,0.07445883610045481,1.026686156970875
20,0.2,20,0.07331695084320862,1.0109411111460636
20,0.2,40,0.07301538775356016,1.0067829659773997
20,0.2,80,0.07383351790060902,1.0180638688301167
20,0.4,10,0.07323304793304666,1.0097842040426992
20,0.4,20,0.07260727120782218,1.001155593460125
20,0.4,40,0.07273308098266794,1.0028903392741948
20,0.4,80,0.07379494219763162,1.0175319623121464
20,0.6,10,0.07296476825290213,1.0060849918574677
20,0.6,20,0.0725390613205538,1.0002150718149503
20,0.6,40,0.07281357928350767,1.0040003014420202
20,0.6,80,0.07393183214271837,1.0194194886153973
20,0.8,10,0.07304729393447505,1.0072229088503037
20,0.8,20,0.07269846658135179,1.0024130537225486
20,0.8,40,0.07301243404428127,1.0067422383406655
20,0.8,80,0.07411670407964907,1.0219686213765256
32,0.2,10,0.07399583971095623,1.0203020659922788
32,0.2,20,0.07305213226985977,1.007289622919747
32,0.2,40,0.07291212353841614,1.0053590927912033
32,0.2,80,0.07382170987967533,1.0179010522690644
32,0.4,10,0.0730348045517418,1.0070506972360362
32,0.4,20,0.07255388843115085,1.000419517519384
32,0.4,40,0.07278780514023125,1.00364491103444
32,0.4,80,0.0738921979131902,1.0188729864548765
32,0.6,10,0.07303126826154623,1.007001936600214
32,0.6,20,0.07269044611142954,1.0023024623424945
32,0.6,40,0.07301157054850851,1.006730331907488
32,0.6,80,0.07412079179639945,1.0220249854351253
32,0.8,10,0.07334820137853107,1.0113720135572992
32,0.8,20,0.07302712321647246,1.0069447820619468
32,0.8,40,0.07332950772197976,1.0111142534389634
32,0.8,80,0.0743781336546904,1.0255733799219802
