model,split,logloss,brier,acc,auc
base rate (HFA only),train,0.6882033359863806,0.24753215400624348,0.5496774193548387,0.5
base rate (HFA only),valid,0.6871128680549329,0.24698871885903162,0.5551470588235294,0.5
base rate (HFA only),holdout,0.6909477914907347,0.24889985454838132,0.5359116022099447,0.5
MARKET (closing spread),train,0.6122965971140062,0.2123230751306024,0.655483870967742,0.7189462253730383
MARKET (closing spread),valid,0.6232919910067866,0.21696708231772954,0.6801470588235294,0.694789557221827
MARKET (closing spread),holdout,0.5976740319556664,0.20592881444672984,0.6832412523020258,0.7389543446244478
core (your four),train,0.6315254451012271,0.22056020829806428,0.6425806451612903,0.6918702067013137
core (your four),valid,0.6564336135818685,0.23203159322896524,0.6139705882352942,0.6519073942312955
core (your four),holdout,0.6337951329571123,0.22148676024944097,0.6427255985267035,0.6950580919653084
+ context,train,0.6308065193542177,0.22021289523866347,0.6425806451612903,0.6933342600439739
+ context,valid,0.656928922746822,0.23246229464723858,0.6323529411764706,0.6516884680641454
+ context,holdout,0.6373365787820051,0.22293651634667197,0.6335174953959485,0.6897398134511536
pass/rush split,train,0.6300242769990724,0.21983659658839158,0.6412903225806451,0.6947235786575551
pass/rush split,valid,0.6546371252260751,0.23137474090150634,0.6360294117647058,0.6556291390728476
pass/rush split,holdout,0.6390324679272947,0.22360926474919157,0.6390423572744015,0.6877215949380897
+ success rate,train,0.6292472071071035,0.21950976314660298,0.6468817204301075,0.6953558344655645
+ success rate,valid,0.653673422714751,0.23053998882049848,0.6433823529411765,0.6612117563351759
+ success rate,holdout,0.6400216224109234,0.22423470150801894,0.6298342541436464,0.6857579228713249
+ tier2 (cpoe/pass_oe/to),train,0.6278375312047331,0.21882281690277294,0.6503225806451612,0.6980873888134068
+ tier2 (cpoe/pass_oe/to),valid,0.6545580808316577,0.23092353864175066,0.6360294117647058,0.6582015215368617
+ tier2 (cpoe/pass_oe/to),holdout,0.6414715974577819,0.2247055001848548,0.6390423572744015,0.6844624447717231
+ interactions,train,0.6265230951687558,0.21820766726588003,0.6490322580645161,0.6997823724689216
+ interactions,valid,0.6491348624995875,0.2283145992374605,0.6397058823529411,0.6684910513929178
+ interactions,holdout,0.6409116359998441,0.224772150945285,0.6390423572744015,0.6832215131184203
