kappa0,w_half,h_within,ll
1.0,999,2,0.6418933816398126
0.9,999,2,0.6420045877064621
1.0,10,2,0.6426567161032745
0.9,10,2,0.643060285871569
1.0,999,4,0.6435359119362926
0.9,999,4,0.6435434540732116
1.0,10,4,0.6436241354822755
1.0,6,2,0.6438057056675756
0.9,10,4,0.6438822867036772
0.9,6,2,0.6442562617435507
1.0,6,4,0.644396514304
0.9,6,4,0.6447147534004745
1.0,4,2,0.6451744492456347
1.0,10,8,0.6452247922593626
1.0,999,8,0.6453015751341232
0.9,999,8,0.6453160051035549
1.0,4,4,0.6454476134836001
0.9,10,8,0.6454543646932311
0.9,4,2,0.6456254966247269
0.9,4,4,0.6457899227247101
1.0,6,8,0.6458692155354375
0.9,6,8,0.6461571910571089
1.0,4,8,0.6468059624738509
0.9,4,8,0.6471226098711003
1.0,2,4,0.6480820072242293
1.0,2,2,0.6481441140269164
0.9,2,4,0.6483792091695159
0.9,2,2,0.6485052194349918
1.0,2,8,0.6493261521717868
0.9,2,8,0.6496101502763952
