spec,kappa,lam_update,h_within,inner_valid_ll
BASE (off+def EPA),0.0,5,4,0.6581244277014953
B (TO-neutral + TO margin),0.0,5,4,0.6560167211377727
BASE (off+def EPA),0.0,5,8,0.6581529967270918
B (TO-neutral + TO margin),0.0,5,8,0.6572174117349292
BASE (off+def EPA),0.0,5,16,0.6584427395241872
B (TO-neutral + TO margin),0.0,5,16,0.6580488705232411
BASE (off+def EPA),0.0,5,999,0.6588896347118324
B (TO-neutral + TO margin),0.0,5,999,0.6589346389222368
BASE (off+def EPA),0.0,10,4,0.6567388616018484
B (TO-neutral + TO margin),0.0,10,4,0.6553048851080877
BASE (off+def EPA),0.0,10,8,0.6567509632666529
B (TO-neutral + TO margin),0.0,10,8,0.6565509595518515
BASE (off+def EPA),0.0,10,16,0.6571046982061586
B (TO-neutral + TO margin),0.0,10,16,0.6574824971278421
BASE (off+def EPA),0.0,10,999,0.6576664780602586
B (TO-neutral + TO margin),0.0,10,999,0.6585080280144742
BASE (off+def EPA),0.0,20,4,0.6560743017983576
B (TO-neutral + TO margin),0.0,20,4,0.6551611037242611
BASE (off+def EPA),0.0,20,8,0.6560439596166033
B (TO-neutral + TO margin),0.0,20,8,0.6564232892819147
BASE (off+def EPA),0.0,20,16,0.6564384439741247
B (TO-neutral + TO margin),0.0,20,16,0.6574324428229034
BASE (off+def EPA),0.0,20,999,0.6570877057114297
B (TO-neutral + TO margin),0.0,20,999,0.6585731640754683
BASE (off+def EPA),0.0,40,4,0.6559171749083833
B (TO-neutral + TO margin),0.0,40,4,0.6553382026169071
BASE (off+def EPA),0.0,40,8,0.6558148945857711
B (TO-neutral + TO margin),0.0,40,8,0.6565820368290699
BASE (off+def EPA),0.0,40,16,0.6562238539272157
B (TO-neutral + TO margin),0.0,40,16,0.6576412991794682
BASE (off+def EPA),0.0,40,999,0.6569291577625385
B (TO-neutral + TO margin),0.0,40,999,0.6588666405466748
BASE (off+def EPA),0.0,80,4,0.6559873416340435
B (TO-neutral + TO margin),0.0,80,4,0.6555949850657601
BASE (off+def EPA),0.0,80,8,0.6558044951997266
B (TO-neutral + TO margin),0.0,80,8,0.6568001307633582
