name,position,espn_adp,espn_rk
Jahmyr Gibbs,RB,1.61,1
Bijan Robinson,RB,2.61,2
Puka Nacua,WR,3.79,3
Ja'Marr Chase,WR,4.71,4
Jaxon Smith-Njigba,WR,5.83,5
Christian McCaffrey,RB,6.65,6
Jonathan Taylor,RB,8.08,7
Amon-Ra St. Brown,WR,8.33,8
CeeDee Lamb,WR,10.59,9
Justin Jefferson,WR,12.15,10
De'Von Achane,RB,12.32,11
James Cook III,RB,12.97,12
Saquon Barkley,RB,17.01,13
Ashton Jeanty,RB,17.84,14
Drake London,WR,18.86,15
Jeremiyah Love,RB,19.34,16
Trey McBride,TE,19.49,17
Derrick Henry,RB,20.91,18
Omarion Hampton,RB,22.08,19
Josh Allen,QB,22.57,20
Rashee Rice,WR,22.61,21
Brock Bowers,TE,23.73,22
Kenneth Walker III,RB,24.82,23
Chase Brown,RB,26.14,24
A.J. Brown,WR,27.19,25
Nico Collins,WR,27.77,26
George Pickens,WR,28.15,27
Josh Jacobs,RB,28.56,28
Chris Olave,WR,35.41,29
Garrett Wilson,WR,36.31,30
Malik Nabers,WR,37.87,31
Breece Hall,RB,38.43,32
Javonte Williams,RB,38.91,33
Lamar Jackson,QB,39.28,34
DeVonta Smith,WR,39.45,35
Tetairoa McMillan,WR,41.28,36
Zay Flowers,WR,42.46,37
Kyren Williams,RB,42.54,38
Cam Skattebo,RB,42.95,39
Emeka Egbuka,WR,44.63,40
Colston Loveland,TE,45.37,41
Tyler Warren,TE,47.06,42
Davante Adams,WR,47.5,43
Drake Maye,QB,47.91,44
Travis Etienne Jr.,RB,50.15,45
Jayden Daniels,QB,51.08,46
Ladd McConkey,WR,52.8,47
Jalen Hurts,QB,53.68,48
Quinshon Judkins,RB,54.8,49
Bucky Irving,RB,56.04,50
Tee Higgins,WR,58.06,51
Joe Burrow,QB,60.01,52
Jaylen Waddle,WR,60.59,53
Terry McLaurin,WR,62.08,54
Kyle Pitts Sr.,TE,65.97,55
Sam LaPorta,TE,66.41,56
Jameson Williams,WR,67.3,57
Carnell Tate,WR,69.62,58
DJ Moore,WR,71.14,59
TreVeyon Henderson,RB,71.52,60
Rome Odunze,WR,72.31,61
D'Andre Swift,RB,72.71,62
Jaxson Dart,QB,75.7,63
David Montgomery,RB,75.84,64
Harold Fannin Jr.,TE,76.81,65
Luther Burden III,WR,77.29,66
Matthew Stafford,QB,79.04,67
Bhayshul Tuten,RB,79.78,68
Jadarian Price,RB,81.21,69
Courtland Sutton,WR,85.87,70
Dak Prescott,QB,87.96,71
DK Metcalf,WR,88.1,72
Tony Pollard,RB,90.64,73
Michael Pittman Jr.,WR,91.18,74
Bo Nix,QB,91.22,75
Marvin Harrison Jr.,WR,92.05,76
Caleb Williams,QB,92.7,77
Trevor Lawrence,QB,95.89,78
Mike Evans,WR,97.31,79
Alec Pierce,WR,97.81,80
George Kittle,TE,98.1,81
Jordyn Tyson,WR,98.52,82
Tucker Kraft,TE,100.26,83
Dallas Goedert,TE,101.74,84
Travis Kelce,TE,101.97,85
Christian Watson,WR,102.0,86
Parker Washington,WR,102.64,87
Jaylen Warren,RB,104.7,88
Brock Purdy,QB,105.49,89
Brian Thomas Jr.,WR,106.17,90
Michael Wilson,WR,106.29,91
Matthew Golden,WR,107.19,92
Patrick Mahomes,QB,108.91,93
Justin Herbert,QB,109.68,94
Rico Dowdle,RB,110.79,95
Rhamondre Stevenson,RB,112.39,96
Jake Ferguson,TE,112.55,97
Chuba Hubbard,RB,115.02,98
Travis Hunter,WR,117.02,99
Jakobi Meyers,WR,117.42,100
Wan'Dale Robinson,WR,117.66,101
Makai Lemon,WR,117.84,102
Kenny Gainwell,RB,123.26,103
Mark Andrews,TE,123.29,104
Josh Downs,WR,123.45,105
Aaron Jones Sr.,RB,123.48,106
Jordan Addison,WR,123.58,107
J.K. Dobbins,RB,124.82,108
Rachaad White,RB,128.41,109
RJ Harvey,RB,129.54,110
Jonathon Brooks,RB,129.66,111
Isaiah Likely,TE,129.95,112
Kyle Monangai,RB,133.34,113
T.J. Hockenson,TE,133.75,114
Deebo Samuel Sr.,WR,136.19,115
Kenyon Sadiq,TE,136.44,116
Khalil Shakir,WR,136.94,117
Dalton Kincaid,TE,137.02,118
Xavier Worthy,WR,137.09,119
Jared Goff,QB,139.68,120
Blake Corum,RB,140.54,121
Stefon Diggs,WR,140.67,122
Jayden Reed,WR,140.82,123
Jacory Croskey-Merritt,RB,142.15,124
Hunter Henry,TE,142.83,125
Quentin Johnston,WR,144.43,126
Chris Godwin Jr.,WR,147.64,127
Baker Mayfield,QB,149.31,128
Zach Charbonnet,RB,150.08,129
Kyler Murray,QB,150.52,130
KC Concepcion,WR,150.64,131
Woody Marks,RB,151.59,132
Romeo Doubs,WR,152.2,133
Tyler Shough,QB,155.18,134
Alvin Kamara,RB,156.69,135
Jordan Mason,RB,156.93,136
Isiah Pacheco,RB,158.0,137
Rashid Shaheed,WR,158.24,138
Jayden Higgins,WR,159.3,139
Jordan Love,QB,159.42,140
Daniel Jones,QB,159.99,141
Jalen Coker,WR,160.38,142
Jerry Jeudy,WR,161.59,143
Juwan Johnson,TE,164.21,144
C.J. Stroud,QB,166.01,145
Brian Robinson Jr.,RB,166.61,146
Denzel Boston,WR,166.64,147
Terrance Ferguson,TE,166.74,148
Malik Willis,QB,167.16,149
Calvin Ridley,WR,167.2,150
Jalen McMillan,WR,167.38,151
Tyrone Tracy Jr.,RB,167.44,152
Cam Ward,QB,167.46,153
Tank Bigsby,RB,167.58,154
Brenton Strange,TE,167.65,155
Tank Dell,WR,167.91,156
Chris Rodriguez Jr.,RB,168.24,157
Tre Tucker,WR,168.28,158
Tyjae Spears,RB,168.51,159
Tyler Allgeier,RB,169.38,160
De'Zhaun Stribling,WR,169.4,161
Adonai Mitchell,WR,169.48,162
Jalen Nailor,WR,169.82,163
Zachariah Branch,WR,170.09,164
Jauan Jennings,WR,170.1,165
Omar Cooper Jr.,WR,170.26,166
Mike Washington Jr.,RB,170.32,167
James Conner,RB,170.39,168
Germie Bernard,WR,170.42,169
Keaton Mitchell,RB,170.45,170
Braelon Allen,RB,170.58,171
Ray Davis,RB,170.62,172
Jordan James,RB,170.68,173
Justice Hill,RB,170.74,174
Rashod Bateman,WR,170.76,175
Dylan Sampson,RB,170.81,176
