player_id,name,position,team,adp,adp_formatted,times_drafted,high,low,stdev,bye
5672,Jahmyr Gibbs,RB,DET,1.7,1.02,1174,1,4,0.8,6
5670,Bijan Robinson,RB,ATL,1.9,1.02,847,1,4,0.8,11
5714,Puka Nacua,WR,LAR,2.9,1.03,281,1,5,0.6,11
5177,Ja'Marr Chase,WR,CIN,3.9,1.04,1258,1,8,1.0,6
2434,Christian McCaffrey,RB,SF,5.6,1.06,741,2,10,1.4,8
5671,Jaxon Smith-Njigba,WR,SEA,5.8,1.06,699,2,9,1.2,11
5182,Amon-Ra St. Brown,WR,DET,7.0,1.07,797,3,12,1.4,6
4864,Jonathan Taylor,RB,IND,7.4,1.07,1070,3,15,1.7,13
5683,De'Von Achane,RB,MIA,9.9,1.10,397,4,17,1.9,6
5574,Drake London,WR,ATL,10.2,1.10,209,6,16,1.5,11
4869,CeeDee Lamb,WR,DAL,11.3,1.11,867,5,21,2.1,14
5696,Rashee Rice,WR,KC,11.6,1.12,177,6,19,1.9,5
5706,Chase Brown,RB,CIN,12.2,1.12,892,6,19,2.4,6
6500,Ashton Jeanty,RB,LV,14.0,2.02,661,6,22,2.9,13
4876,Justin Jefferson,WR,MIN,14.2,2.02,1016,6,22,3.1,6
5652,James Cook III,RB,BUF,14.9,2.03,1647,6,23,3.1,7
2350,Derrick Henry,RB,BAL,15.7,2.04,444,8,22,2.9,13
3247,A.J. Brown,WR,NE,17.7,2.06,657,10,25,2.7,11
2860,Saquon Barkley,RB,PHI,18.9,2.07,1437,10,28,3.4,10
6538,Omarion Hampton,RB,LAC,19.6,2.08,1536,9,29,3.7,7
5544,Chris Olave,WR,NO,20.2,2.08,256,14,26,2.5,8
5576,George Pickens,WR,DAL,21.3,2.09,464,14,28,2.5,14
5207,Nico Collins,WR,HOU,23.6,2.12,746,17,33,2.5,8
3255,Josh Jacobs,RB,GB,24.2,2.12,367,17,32,2.6,11
6769,Jeremiyah Love,RB,ARI,25.9,3.02,330,16,36,3.7,14
5625,Kenneth Walker,RB,KC,26.3,3.02,1760,16,39,3.7,5
5675,Zay Flowers,WR,BAL,26.5,3.02,339,18,34,2.9,13
2885,Josh Allen,QB,BUF,26.7,3.03,798,10,42,6.4,7
5503,Breece Hall,RB,NYJ,27.2,3.03,234,18,35,3.3,13
5548,Garrett Wilson,WR,NYJ,28.8,3.05,246,20,39,3.3,13
4883,DeVonta Smith,WR,PHI,29.3,3.05,777,20,39,3.6,10
6509,Cam Skattebo,RB,NYG,30.7,3.07,379,21,39,3.5,8
6183,Malik Nabers,WR,NYG,32.7,3.09,1240,21,47,4.5,8
