player_id,name,position,team,adp,adp_formatted,times_drafted,high,low,stdev,bye,pulled_meta
5670,Bijan Robinson,RB,ATL,1.6,1.02,169,1,4,0.7,11,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 1737, ""start_date"": ""2026-07-06"", ""end_date"": ""2026-07-13""}"
5672,Jahmyr Gibbs,RB,DET,2.0,1.02,160,1,3,0.8,6,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 1737, ""start_date"": ""2026-07-06"", ""end_date"": ""2026-07-13""}"
5714,Puka Nacua,WR,LAR,2.8,1.03,50,1,4,0.6,11,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 1737, ""start_date"": ""2026-07-06"", ""end_date"": ""2026-07-13""}"
5177,Ja'Marr Chase,WR,CIN,3.9,1.04,298,1,7,0.9,6,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 1737, ""start_date"": ""2026-07-06"", ""end_date"": ""2026-07-13""}"
2434,Christian McCaffrey,RB,SF,4.8,1.05,109,1,9,1.2,8,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 1737, ""start_date"": ""2026-07-06"", ""end_date"": ""2026-07-13""}"
5671,Jaxon Smith-Njigba,WR,SEA,6.1,1.06,154,2,10,1.3,11,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 1737, ""start_date"": ""2026-07-06"", ""end_date"": ""2026-07-13""}"
4864,Jonathan Taylor,RB,IND,7.5,1.08,166,3,12,1.8,13,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 1737, ""start_date"": ""2026-07-06"", ""end_date"": ""2026-07-13""}"
5182,Amon-Ra St. Brown,WR,DET,7.6,1.08,115,5,12,1.5,6,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 1737, ""start_date"": ""2026-07-06"", ""end_date"": ""2026-07-13""}"
5683,De'Von Achane,RB,MIA,9.0,1.09,76,3,13,2.0,6,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 1737, ""start_date"": ""2026-07-06"", ""end_date"": ""2026-07-13""}"
4876,Justin Jefferson,WR,MIN,10.0,1.10,134,6,15,1.5,6,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 1737, ""start_date"": ""2026-07-06"", ""end_date"": ""2026-07-13""}"
4869,CeeDee Lamb,WR,DAL,10.6,1.11,201,6,15,1.7,14,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 1737, ""start_date"": ""2026-07-06"", ""end_date"": ""2026-07-13""}"
6500,Ashton Jeanty,RB,LV,12.5,1.12,153,6,18,2.3,13,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 1737, ""start_date"": ""2026-07-06"", ""end_date"": ""2026-07-13""}"
5574,Drake London,WR,ATL,12.6,2.01,52,8,16,1.6,11,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 1737, ""start_date"": ""2026-07-06"", ""end_date"": ""2026-07-13""}"
5652,James Cook III,RB,BUF,13.8,2.02,244,6,21,2.9,7,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 1737, ""start_date"": ""2026-07-06"", ""end_date"": ""2026-07-13""}"
3247,A.J. Brown,WR,NE,14.2,2.02,74,9,20,2.3,11,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 1737, ""start_date"": ""2026-07-06"", ""end_date"": ""2026-07-13""}"
2350,Derrick Henry,RB,BAL,15.4,2.03,118,7,24,2.9,13,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 1737, ""start_date"": ""2026-07-06"", ""end_date"": ""2026-07-13""}"
5706,Chase Brown,RB,CIN,15.8,2.04,181,8,24,3.0,6,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 1737, ""start_date"": ""2026-07-06"", ""end_date"": ""2026-07-13""}"
6538,Omarion Hampton,RB,LAC,17.1,2.05,261,7,27,3.9,7,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 1737, ""start_date"": ""2026-07-06"", ""end_date"": ""2026-07-13""}"
5576,George Pickens,WR,DAL,17.4,2.05,96,12,24,2.6,14,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 1737, ""start_date"": ""2026-07-06"", ""end_date"": ""2026-07-13""}"
2860,Saquon Barkley,RB,PHI,19.6,2.08,280,10,28,3.4,10,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 1737, ""start_date"": ""2026-07-06"", ""end_date"": ""2026-07-13""}"
5544,Chris Olave,WR,NO,21.2,2.09,41,18,26,2.0,8,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 1737, ""start_date"": ""2026-07-06"", ""end_date"": ""2026-07-13""}"
6769,Jeremiyah Love,RB,ARI,22.1,2.10,52,12,27,3.6,14,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 1737, ""start_date"": ""2026-07-06"", ""end_date"": ""2026-07-13""}"
5625,Kenneth Walker III,RB,KC,22.6,2.11,173,15,29,2.8,5,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 1737, ""start_date"": ""2026-07-06"", ""end_date"": ""2026-07-13""}"
5207,Nico Collins,WR,HOU,23.2,2.11,173,15,30,2.8,8,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 1737, ""start_date"": ""2026-07-06"", ""end_date"": ""2026-07-13""}"
5675,Zay Flowers,WR,BAL,25.4,3.01,47,21,31,2.5,13,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 1737, ""start_date"": ""2026-07-06"", ""end_date"": ""2026-07-13""}"
4870,Tee Higgins,WR,CIN,26.4,3.02,40,21,34,2.7,6,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 1737, ""start_date"": ""2026-07-06"", ""end_date"": ""2026-07-13""}"
5548,Garrett Wilson,WR,NYJ,27.0,3.03,48,19,33,3.0,13,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 1737, ""start_date"": ""2026-07-06"", ""end_date"": ""2026-07-13""}"
5696,Rashee Rice,WR,KC,27.3,3.03,141,19,34,3.2,5,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 1737, ""start_date"": ""2026-07-06"", ""end_date"": ""2026-07-13""}"
4883,DeVonta Smith,WR,PHI,28.5,3.04,125,20,36,3.2,10,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 1737, ""start_date"": ""2026-07-06"", ""end_date"": ""2026-07-13""}"
3255,Josh Jacobs,RB,GB,28.7,3.05,145,21,39,3.4,11,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 1737, ""start_date"": ""2026-07-06"", ""end_date"": ""2026-07-13""}"
2885,Josh Allen,QB,BUF,28.8,3.05,171,9,41,7.4,7,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 1737, ""start_date"": ""2026-07-06"", ""end_date"": ""2026-07-13""}"
5656,Trey McBride,TE,ARI,29.0,3.05,163,17,37,4.3,14,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 1737, ""start_date"": ""2026-07-06"", ""end_date"": ""2026-07-13""}"
5503,Breece Hall,RB,NYJ,30.7,3.07,83,21,40,3.9,13,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 1737, ""start_date"": ""2026-07-06"", ""end_date"": ""2026-07-13""}"
5623,Kyren Williams,RB,LAR,32.7,3.09,173,22,43,4.1,11,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 1737, ""start_date"": ""2026-07-06"", ""end_date"": ""2026-07-13""}"
6561,Tetairoa McMillan,WR,CAR,33.4,3.09,126,23,43,3.9,5,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 1737, ""start_date"": ""2026-07-06"", ""end_date"": ""2026-07-13""}"
5185,Javonte Williams,RB,DAL,35.0,3.11,129,24,45,4.5,14,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 1737, ""start_date"": ""2026-07-06"", ""end_date"": ""2026-07-13""}"
6281,Ladd McConkey,WR,LAC,35.3,3.11,167,22,50,5.1,7,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 1737, ""start_date"": ""2026-07-06"", ""end_date"": ""2026-07-13""}"
6178,Brock Bowers,TE,LV,36.1,3.12,285,21,47,5.8,13,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 1737, ""start_date"": ""2026-07-06"", ""end_date"": ""2026-07-13""}"
3449,Terry McLaurin,WR,WAS,36.6,4.01,68,30,53,3.6,7,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 1737, ""start_date"": ""2026-07-06"", ""end_date"": ""2026-07-13""}"
6509,Cam Skattebo,RB,NYG,38.3,4.02,110,25,47,4.9,8,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 1737, ""start_date"": ""2026-07-06"", ""end_date"": ""2026-07-13""}"
4863,Travis Etienne Jr.,RB,NO,38.8,4.03,126,23,54,6.4,8,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 1737, ""start_date"": ""2026-07-06"", ""end_date"": ""2026-07-13""}"
2125,Davante Adams,WR,LAR,40.0,4.04,75,32,54,3.9,11,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 1737, ""start_date"": ""2026-07-06"", ""end_date"": ""2026-07-13""}"
5178,Jaylen Waddle,WR,DEN,42.2,4.06,83,29,59,5.2,10,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 1737, ""start_date"": ""2026-07-06"", ""end_date"": ""2026-07-13""}"
6183,Malik Nabers,WR,NYG,43.6,4.08,177,29,59,5.5,8,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 1737, ""start_date"": ""2026-07-06"", ""end_date"": ""2026-07-13""}"
6501,Colston Loveland,TE,CHI,45.0,4.09,97,34,56,5.5,10,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 1737, ""start_date"": ""2026-07-06"", ""end_date"": ""2026-07-13""}"
6559,Luther Burden III,WR,CHI,45.2,4.09,102,34,57,3.9,10,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 1737, ""start_date"": ""2026-07-06"", ""end_date"": ""2026-07-13""}"
6576,Emeka Egbuka,WR,TB,45.5,4.09,368,29,60,6.2,10,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 1737, ""start_date"": ""2026-07-06"", ""end_date"": ""2026-07-13""}"
4882,Joe Burrow,QB,CIN,46.9,4.11,96,21,61,9.6,6,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 1737, ""start_date"": ""2026-07-06"", ""end_date"": ""2026-07-13""}"
5643,Jameson Williams,WR,DET,47.2,4.11,66,28,60,7.3,6,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 1737, ""start_date"": ""2026-07-06"", ""end_date"": ""2026-07-13""}"
6190,Bucky Irving,RB,TB,47.2,4.11,97,35,56,4.6,10,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 1737, ""start_date"": ""2026-07-06"", ""end_date"": ""2026-07-13""}"
4862,D'Andre Swift,RB,CHI,48.0,4.12,68,37,56,4.1,10,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 1737, ""start_date"": ""2026-07-06"", ""end_date"": ""2026-07-13""}"
2111,Mike Evans,WR,SF,51.2,5.03,150,35,70,6.0,8,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 1737, ""start_date"": ""2026-07-06"", ""end_date"": ""2026-07-13""}"
6531,Quinshon Judkins,RB,CLE,51.5,5.04,96,38,63,5.0,11,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 1737, ""start_date"": ""2026-07-06"", ""end_date"": ""2026-07-13""}"
2888,Lamar Jackson,QB,BAL,54.7,5.07,90,33,68,8.3,13,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 1737, ""start_date"": ""2026-07-06"", ""end_date"": ""2026-07-13""}"
6194,Rome Odunze,WR,CHI,54.9,5.07,128,42,65,4.7,10,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 1737, ""start_date"": ""2026-07-06"", ""end_date"": ""2026-07-13""}"
6504,Tyler Warren,TE,IND,54.9,5.07,98,38,68,6.3,13,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 1737, ""start_date"": ""2026-07-06"", ""end_date"": ""2026-07-13""}"
3239,DK Metcalf,WR,PIT,56.2,5.08,75,45,70,5.7,9,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 1737, ""start_date"": ""2026-07-06"", ""end_date"": ""2026-07-13""}"
3238,David Montgomery,RB,HOU,56.4,5.08,245,42,69,5.4,8,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 1737, ""start_date"": ""2026-07-06"", ""end_date"": ""2026-07-13""}"
6490,TreVeyon Henderson,RB,NE,59.2,5.11,125,43,70,5.8,11,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 1737, ""start_date"": ""2026-07-06"", ""end_date"": ""2026-07-13""}"
5641,Alec Pierce,WR,IND,59.4,5.11,108,41,78,8.4,13,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 1737, ""start_date"": ""2026-07-06"", ""end_date"": ""2026-07-13""}"
5360,Christian Watson,WR,GB,60.1,5.12,231,47,80,7.0,11,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 1737, ""start_date"": ""2026-07-06"", ""end_date"": ""2026-07-13""}"
2377,Dak Prescott,QB,DAL,61.6,6.02,60,51,75,5.8,14,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 1737, ""start_date"": ""2026-07-06"", ""end_date"": ""2026-07-13""}"
6513,Bhayshul Tuten,RB,JAX,61.9,6.02,100,46,77,6.1,7,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 1737, ""start_date"": ""2026-07-06"", ""end_date"": ""2026-07-13""}"
6768,Carnell Tate,WR,TEN,62.6,6.03,103,47,76,6.2,9,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 1737, ""start_date"": ""2026-07-06"", ""end_date"": ""2026-07-13""}"
6187,Drake Maye,QB,NE,64.8,6.05,84,49,77,5.7,11,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 1737, ""start_date"": ""2026-07-06"", ""end_date"": ""2026-07-13""}"
5443,Jaylen Warren,RB,PIT,66.0,6.06,40,57,74,4.4,9,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 1737, ""start_date"": ""2026-07-06"", ""end_date"": ""2026-07-13""}"
6193,Marvin Harrison Jr.,WR,ARI,66.1,6.06,131,48,81,7.6,14,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 1737, ""start_date"": ""2026-07-06"", ""end_date"": ""2026-07-13""}"
2876,DJ Moore,WR,BUF,66.8,6.07,278,47,86,7.5,7,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 1737, ""start_date"": ""2026-07-06"", ""end_date"": ""2026-07-13""}"
6502,Harold Fannin Jr.,TE,CLE,69.1,6.09,31,57,77,5.3,11,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 1737, ""start_date"": ""2026-07-06"", ""end_date"": ""2026-07-13""}"
