adp,adp_formatted,bye,high,low,name,player_id,position,stdev,team,times_drafted
1.2,1.01,5,1,5,Christian McCaffrey,2434,RB,0.5,CAR,1368
2.5,1.03,6,1,6,Dalvin Cook,2432,RB,0.7,MIN,1292
3.8,1.04,8,1,8,Alvin Kamara,2439,RB,1.0,NO,1500
4.0,1.04,9,1,8,Derrick Henry,2350,RB,1.3,TEN,460
5.3,1.05,14,2,12,Ezekiel Elliott,2343,RB,1.1,DAL,1148
6.4,1.06,11,2,12,Davante Adams,2125,WR,1.6,GB,1190
7.5,1.07,11,4,13,Aaron Jones Sr.,2507,RB,1.7,GB,1257
8.2,1.08,5,2,15,Travis Kelce,1989,TE,2.1,KC,1052
8.5,1.09,7,3,16,Austin Ekeler,2625,RB,2.0,LAC,1363
9.9,1.10,11,5,18,Nick Chubb,2863,RB,2.2,CLE,1139
10.6,1.11,5,4,16,Tyreek Hill,2390,WR,2.2,KC,1323
12.0,1.12,8,4,20,Saquon Barkley,2860,RB,2.8,NYG,1157
12.9,2.01,9,6,19,Najee Harris,4872,RB,2.5,PIT,1285
13.5,2.01,7,7,21,Stefon Diggs,2316,WR,2.4,BUF,1282
13.8,2.02,13,7,20,Jonathan Taylor,4864,RB,2.6,IND,1217
15.6,2.04,7,9,22,Antonio Gibson,5008,RB,2.3,WAS,1083
17.0,2.05,14,11,23,DeAndre Hopkins,1975,WR,2.3,ARI,1549
18.0,2.06,11,12,25,Calvin Ridley,2866,WR,2.1,ATL,1475
19.2,2.07,6,12,28,Joe Mixon,2438,RB,2.6,CIN,1115
19.7,2.08,11,13,26,DK Metcalf,3239,WR,2.3,SEA,1128
20.4,2.08,5,14,30,Clyde Edwards-Helaire,4889,RB,2.3,KC,1255
21.5,2.09,13,12,30,Darren Waller,2322,TE,3.3,LV,1286
22.4,2.10,6,17,28,Justin Jefferson,4876,WR,1.9,MIN,1088
22.9,2.11,5,6,40,Patrick Mahomes,2462,QB,6.2,KC,935
24.8,3.01,9,18,32,A.J. Brown,3247,WR,2.4,TEN,1020
25.9,3.02,10,17,36,David Montgomery,3238,RB,3.4,CHI,814
25.9,3.02,7,19,36,Keenan Allen,1992,WR,2.6,LAC,1428
28.0,3.04,11,19,38,Chris Carson,2518,RB,3.2,SEA,1273
28.5,3.04,8,19,41,George Kittle,2499,TE,3.6,SF,1097
29.1,3.05,7,20,41,James Robinson,5162,RB,3.3,JAX,1141
29.6,3.06,14,22,39,CeeDee Lamb,4869,WR,2.8,DAL,1058
30.3,3.06,7,23,39,Terry McLaurin,3449,WR,2.8,WAS,1279
32.7,3.09,10,24,42,Allen Robinson II,2130,WR,3.1,CHI,1309
34.0,3.10,6,23,50,D'Andre Swift,4862,RB,4.1,DET,743
34.4,3.10,7,22,50,Josh Allen,2885,QB,4.6,BUF,924
35.1,3.11,11,27,45,Robert Woods,1981,WR,3.1,LAR,1117
35.4,3.11,13,24,52,Josh Jacobs,3255,RB,4.1,LV,838
37.8,4.02,10,29,47,Mike Evans,2111,WR,3.3,TB,1073
38.7,4.03,10,27,49,Miles Sanders,3252,RB,4.4,PHI,789
40.0,4.04,14,30,50,Amari Cooper,2277,WR,3.5,DAL,1136
40.3,4.04,11,26,56,Kyle Pitts Sr.,5181,TE,5.3,ATL,937
41.3,4.05,14,30,61,Kyler Murray,3299,QB,4.3,ARI,748
41.3,4.05,11,33,54,Cooper Kupp,2449,WR,3.4,LAR,1331
43.1,4.07,11,29,66,Mike Davis,2309,RB,5.2,ATL,1311
43.8,4.08,11,31,61,Darrell Henderson Jr.,3253,RB,4.9,LAR,687
44.9,4.09,9,33,61,Diontae Johnson,3419,WR,4.3,PIT,939
