rb_adp_rank,player_id,name,position,team,adp,adp_formatted,times_drafted,high,low,stdev,bye,pulled_meta
1,5672,Jahmyr Gibbs,RB,DET,1.6,1.02,993,1,4,0.7,6,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 5187, ""start_date"": ""2026-08-01"", ""end_date"": ""2026-08-08""}"
2,5670,Bijan Robinson,RB,ATL,2.0,1.02,709,1,4,0.8,11,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 5187, ""start_date"": ""2026-08-01"", ""end_date"": ""2026-08-08""}"
3,2434,Christian McCaffrey,RB,SF,5.3,1.05,588,2,10,1.3,8,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 5187, ""start_date"": ""2026-08-01"", ""end_date"": ""2026-08-08""}"
4,4864,Jonathan Taylor,RB,IND,7.5,1.08,904,3,15,1.6,13,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 5187, ""start_date"": ""2026-08-01"", ""end_date"": ""2026-08-08""}"
5,5683,De'Von Achane,RB,MIA,9.4,1.09,339,4,14,1.8,6,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 5187, ""start_date"": ""2026-08-01"", ""end_date"": ""2026-08-08""}"
6,5706,Chase Brown,RB,CIN,12.2,1.12,719,6,19,2.3,6,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 5187, ""start_date"": ""2026-08-01"", ""end_date"": ""2026-08-08""}"
7,6500,Ashton Jeanty,RB,LV,14.1,2.02,612,6,22,3.0,13,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 5187, ""start_date"": ""2026-08-01"", ""end_date"": ""2026-08-08""}"
8,5652,James Cook III,RB,BUF,15.1,2.03,1422,7,23,3.0,7,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 5187, ""start_date"": ""2026-08-01"", ""end_date"": ""2026-08-08""}"
9,2350,Derrick Henry,RB,BAL,16.1,2.04,368,7,24,3.1,13,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 5187, ""start_date"": ""2026-08-01"", ""end_date"": ""2026-08-08""}"
10,2860,Saquon Barkley,RB,PHI,18.7,2.07,1237,9,28,3.4,10,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 5187, ""start_date"": ""2026-08-01"", ""end_date"": ""2026-08-08""}"
11,6538,Omarion Hampton,RB,LAC,19.8,2.08,1373,10,30,3.7,7,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 5187, ""start_date"": ""2026-08-01"", ""end_date"": ""2026-08-08""}"
12,3255,Josh Jacobs,RB,GB,24.6,3.01,364,17,32,2.6,11,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 5187, ""start_date"": ""2026-08-01"", ""end_date"": ""2026-08-08""}"
13,6769,Jeremiyah Love,RB,ARI,25.6,3.02,293,17,36,3.2,14,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 5187, ""start_date"": ""2026-08-01"", ""end_date"": ""2026-08-08""}"
14,5625,Kenneth Walker,RB,KC,26.5,3.03,1582,16,38,3.7,5,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 5187, ""start_date"": ""2026-08-01"", ""end_date"": ""2026-08-08""}"
15,5503,Breece Hall,RB,NYJ,28.3,3.04,192,21,35,2.8,13,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 5187, ""start_date"": ""2026-08-01"", ""end_date"": ""2026-08-08""}"
16,6509,Cam Skattebo,RB,NYG,30.6,3.07,343,21,40,3.4,8,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 5187, ""start_date"": ""2026-08-01"", ""end_date"": ""2026-08-08""}"
17,5623,Kyren Williams,RB,LAR,32.2,3.08,653,22,42,3.7,11,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 5187, ""start_date"": ""2026-08-01"", ""end_date"": ""2026-08-08""}"
18,5185,Javonte Williams,RB,DAL,36.7,4.01,657,26,50,4.0,14,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 5187, ""start_date"": ""2026-08-01"", ""end_date"": ""2026-08-08""}"
19,4863,Travis Etienne Jr.,RB,NO,37.1,4.01,304,27,48,3.8,8,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 5187, ""start_date"": ""2026-08-01"", ""end_date"": ""2026-08-08""}"
20,6190,Bucky Irving,RB,TB,42.8,4.07,360,31,53,4.3,10,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 5187, ""start_date"": ""2026-08-01"", ""end_date"": ""2026-08-08""}"
21,4862,D'Andre Swift,RB,CHI,44.4,4.08,322,33,55,4.4,10,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 5187, ""start_date"": ""2026-08-01"", ""end_date"": ""2026-08-08""}"
22,6531,Quinshon Judkins,RB,CLE,49.8,5.02,723,35,63,5.3,11,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 5187, ""start_date"": ""2026-08-01"", ""end_date"": ""2026-08-08""}"
23,6513,Bhayshul Tuten,RB,JAX,51.2,5.03,753,37,65,5.2,7,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 5187, ""start_date"": ""2026-08-01"", ""end_date"": ""2026-08-08""}"
24,6490,TreVeyon Henderson,RB,NE,55.7,5.08,510,40,71,5.7,11,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 5187, ""start_date"": ""2026-08-01"", ""end_date"": ""2026-08-08""}"
25,3435,Tony Pollard,RB,TEN,63.5,6.03,250,45,80,6.8,9,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 5187, ""start_date"": ""2026-08-01"", ""end_date"": ""2026-08-08""}"
26,3238,David Montgomery,RB,HOU,63.6,6.04,1024,43,85,7.7,8,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 5187, ""start_date"": ""2026-08-01"", ""end_date"": ""2026-08-08""}"
27,6776,Jadarian Price,RB,SEA,64.5,6.05,925,45,84,7.3,11,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 5187, ""start_date"": ""2026-08-01"", ""end_date"": ""2026-08-08""}"
28,5443,Jaylen Warren,RB,PIT,67.2,6.07,185,50,96,6.5,9,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 5187, ""start_date"": ""2026-08-01"", ""end_date"": ""2026-08-08""}"
29,5095,Rico Dowdle,RB,PIT,71.3,6.11,230,50,96,8.4,9,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 5187, ""start_date"": ""2026-08-01"", ""end_date"": ""2026-08-08""}"
30,5210,Rhamondre Stevenson,RB,NE,72.2,6.12,219,55,86,6.4,11,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 5187, ""start_date"": ""2026-08-01"", ""end_date"": ""2026-08-08""}"
