wr_adp_rank,player_id,name,position,team,adp,adp_formatted,times_drafted,high,low,stdev,bye,pulled_meta
1,5714,Puka Nacua,WR,LAR,2.8,1.03,50,1,4,0.6,11,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 1737, ""start_date"": ""2026-07-06"", ""end_date"": ""2026-07-13""}"
2,5177,Ja'Marr Chase,WR,CIN,3.9,1.04,298,1,7,0.9,6,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 1737, ""start_date"": ""2026-07-06"", ""end_date"": ""2026-07-13""}"
3,5671,Jaxon Smith-Njigba,WR,SEA,6.1,1.06,154,2,10,1.3,11,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 1737, ""start_date"": ""2026-07-06"", ""end_date"": ""2026-07-13""}"
4,5182,Amon-Ra St. Brown,WR,DET,7.6,1.08,115,5,12,1.5,6,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 1737, ""start_date"": ""2026-07-06"", ""end_date"": ""2026-07-13""}"
5,4876,Justin Jefferson,WR,MIN,10.0,1.10,134,6,15,1.5,6,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 1737, ""start_date"": ""2026-07-06"", ""end_date"": ""2026-07-13""}"
6,4869,CeeDee Lamb,WR,DAL,10.6,1.11,201,6,15,1.7,14,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 1737, ""start_date"": ""2026-07-06"", ""end_date"": ""2026-07-13""}"
7,5574,Drake London,WR,ATL,12.6,2.01,52,8,16,1.6,11,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 1737, ""start_date"": ""2026-07-06"", ""end_date"": ""2026-07-13""}"
8,3247,A.J. Brown,WR,NE,14.2,2.02,74,9,20,2.3,11,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 1737, ""start_date"": ""2026-07-06"", ""end_date"": ""2026-07-13""}"
9,5576,George Pickens,WR,DAL,17.4,2.05,96,12,24,2.6,14,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 1737, ""start_date"": ""2026-07-06"", ""end_date"": ""2026-07-13""}"
10,5544,Chris Olave,WR,NO,21.2,2.09,41,18,26,2.0,8,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 1737, ""start_date"": ""2026-07-06"", ""end_date"": ""2026-07-13""}"
11,5207,Nico Collins,WR,HOU,23.2,2.11,173,15,30,2.8,8,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 1737, ""start_date"": ""2026-07-06"", ""end_date"": ""2026-07-13""}"
12,5675,Zay Flowers,WR,BAL,25.4,3.01,47,21,31,2.5,13,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 1737, ""start_date"": ""2026-07-06"", ""end_date"": ""2026-07-13""}"
13,4870,Tee Higgins,WR,CIN,26.4,3.02,40,21,34,2.7,6,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 1737, ""start_date"": ""2026-07-06"", ""end_date"": ""2026-07-13""}"
14,5548,Garrett Wilson,WR,NYJ,27.0,3.03,48,19,33,3.0,13,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 1737, ""start_date"": ""2026-07-06"", ""end_date"": ""2026-07-13""}"
15,5696,Rashee Rice,WR,KC,27.3,3.03,141,19,34,3.2,5,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 1737, ""start_date"": ""2026-07-06"", ""end_date"": ""2026-07-13""}"
16,4883,DeVonta Smith,WR,PHI,28.5,3.04,125,20,36,3.2,10,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 1737, ""start_date"": ""2026-07-06"", ""end_date"": ""2026-07-13""}"
