wr_adp_rank,player_id,name,position,team,adp,adp_formatted,times_drafted,high,low,stdev,bye,pulled_meta
1,5714,Puka Nacua,WR,LAR,2.9,1.03,248,1,6,0.7,11,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 5187, ""start_date"": ""2026-08-01"", ""end_date"": ""2026-08-08""}"
2,5177,Ja'Marr Chase,WR,CIN,3.9,1.04,1156,1,7,1.0,6,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 5187, ""start_date"": ""2026-08-01"", ""end_date"": ""2026-08-08""}"
3,5671,Jaxon Smith-Njigba,WR,SEA,5.9,1.06,659,2,11,1.2,11,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 5187, ""start_date"": ""2026-08-01"", ""end_date"": ""2026-08-08""}"
4,5182,Amon-Ra St. Brown,WR,DET,7.0,1.07,685,3,11,1.3,6,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 5187, ""start_date"": ""2026-08-01"", ""end_date"": ""2026-08-08""}"
5,5574,Drake London,WR,ATL,10.6,1.11,209,6,16,1.6,11,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 5187, ""start_date"": ""2026-08-01"", ""end_date"": ""2026-08-08""}"
6,4869,CeeDee Lamb,WR,DAL,11.3,1.11,723,6,18,2.0,14,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 5187, ""start_date"": ""2026-08-01"", ""end_date"": ""2026-08-08""}"
7,5696,Rashee Rice,WR,KC,11.4,1.11,176,6,19,1.8,5,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 5187, ""start_date"": ""2026-08-01"", ""end_date"": ""2026-08-08""}"
8,4876,Justin Jefferson,WR,MIN,13.3,2.01,803,6,21,2.7,6,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 5187, ""start_date"": ""2026-08-01"", ""end_date"": ""2026-08-08""}"
9,3247,A.J. Brown,WR,NE,17.5,2.06,652,10,24,2.7,11,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 5187, ""start_date"": ""2026-08-01"", ""end_date"": ""2026-08-08""}"
10,5544,Chris Olave,WR,NO,20.1,2.08,226,13,26,2.4,8,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 5187, ""start_date"": ""2026-08-01"", ""end_date"": ""2026-08-08""}"
11,5576,George Pickens,WR,DAL,21.6,2.10,444,15,28,2.4,14,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 5187, ""start_date"": ""2026-08-01"", ""end_date"": ""2026-08-08""}"
12,5207,Nico Collins,WR,HOU,23.2,2.11,622,16,30,2.6,8,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 5187, ""start_date"": ""2026-08-01"", ""end_date"": ""2026-08-08""}"
13,5675,Zay Flowers,WR,BAL,26.6,3.03,276,19,33,2.8,13,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 5187, ""start_date"": ""2026-08-01"", ""end_date"": ""2026-08-08""}"
14,5548,Garrett Wilson,WR,NYJ,28.5,3.04,237,19,39,3.3,13,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 5187, ""start_date"": ""2026-08-01"", ""end_date"": ""2026-08-08""}"
15,4883,DeVonta Smith,WR,PHI,29.1,3.05,681,19,39,3.7,10,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 5187, ""start_date"": ""2026-08-01"", ""end_date"": ""2026-08-08""}"
16,6576,Emeka Egbuka,WR,TB,33.7,3.10,1070,22,49,4.5,10,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 5187, ""start_date"": ""2026-08-01"", ""end_date"": ""2026-08-08""}"
17,6561,Tetairoa McMillan,WR,CAR,33.9,3.10,443,24,44,3.7,5,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 5187, ""start_date"": ""2026-08-01"", ""end_date"": ""2026-08-08""}"
18,6183,Malik Nabers,WR,NYG,33.9,3.10,1034,22,47,4.5,8,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 5187, ""start_date"": ""2026-08-01"", ""end_date"": ""2026-08-08""}"
