player_id,player_name,position,team_last,seasons_played,last_season,first_season,n_teams,games,attempts,completions,pass_yards,pass_tds,interceptions,sacks_suffered,pass_air_yards,pass_yac,pass_epa,carries,rush_yards,rush_tds,rush_epa,ppr,times_blitzed,times_hurried,times_hit,times_pressured,bad_throws,throwaways,batted_balls,rpo_plays,pa_pass_att,pfr_scrambles,pfr_pass_attempts,dropbacks,qb_epa_total,cpoe_sum,cpoe_n,sacks,scrambles,pbp_air_yards,pbp_air_yards_n,qb_hits,espn_pts_added,qb_plays,epa_total,pbp_carries,gl5_carries,third_down_carries,rush_epa_total,ypa,adot,td_int,cpoe,pressure_rate_pbp,designed_rushes,rush_ppr,rush_share_of_ppr,ngs_avg_time_to_throw,ngs_avg_completed_air_yards,ngs_avg_intended_air_yards_pass,ngs_avg_air_yards_differential,ngs_aggressiveness,ngs_avg_air_yards_to_sticks,ngs_expected_completion_percentage,ngs_completion_percentage_above_expectation,ngs_avg_air_distance,ngs_passer_rating,pfr_pocket_time,pfr_scramble_ypa,pfr_iay_per_att,pfr_cay_per_comp,cpoe_w,espn_qbr,espn_qbr_raw,ngs_max_air_distance,comp_pct,td_rate,int_rate,epa_per_dropback,sack_rate,scramble_rate,pfr_pressure_pct,pfr_bad_throw_pct,pfr_blitz_rate,pfr_pa_rate,pfr_rpo_rate,rush_epa_per_att,attempts_pg,pass_yards_pg,pass_tds_pg,interceptions_pg,carries_pg,rush_yards_pg,rush_tds_pg,ppr_pg,dropbacks_pg,designed_rushes_pg,rush_ppr_pg,sacks_pg,scrambles_pg,gl5_carries_pg,window_seasons,thin_data
00-0022942,Philip Rivers,QB,IND,1,2025,2025,1,3,92,58,544,4,3,5,717,271,-11.19553556724334,2,-1,0,-1.14645677199587,31.66,20,4,9,18,13,2,3.0,17.0,,0.0,92,97,-11.195535567243311,-332.33919739723206,90,5.0,0.0,717.0,92,13.0,,,,,,,,5.913043478260869,7.793478260869565,1.3333333333333333,-3.692657748858134,0.18556701030927836,2.0,-0.1,-0.003158559696778269,,,,,,,,,,,2.1,,7.5,4.7,-3.7531283478612227,,,,0.6304347826086957,0.043478260869565216,0.03260869565217391,-0.11541789244580733,0.05154639175257732,0.0,19.565217391304348,14.130434782608695,0.21739130434782608,,0.18478260869565216,,30.666666666666668,181.33333333333334,1.3333333333333333,1.0,0.6666666666666666,-0.3333333333333333,0.0,10.553333333333333,32.333333333333336,0.6666666666666666,-0.03333333333333333,1.6666666666666667,0.0,,2023-2025,True
00-0023459,Aaron Rodgers,QB,PIT,3,2025,2023,2,34,1083,695,7219,52,18,70,7039,4238,36.0892403827863,43,168,1,1.3293572862338792,483.65999999999997,238,63,81,214,180,38,21.0,139.0,0.0,28.0,1083,1179,43.46312450793704,-1448.0240061879158,1040,70.0,28.0,7041.0,1081,152.0,-25.5,1261.0,92.2,1.0,0.0,0.0,0.47552724834531546,6.665743305632502,6.499538319482918,2.888888888888889,-1.3923307751806884,0.18829516539440203,15.0,22.8,0.047140553281230624,2.643753614870908,3.959704778560876,6.367626742702708,-2.4079219641418206,14.048059149722759,-2.3779803973414744,67.40950092421441,-3.1765988909427043,19.94882081550496,92.49845964263712,2.2548476454293627,6.077818853974122,6.431792975970425,4.282446043165468,-1.461422907416138,44.561922365988906,42.893715341959336,69.760135464318,0.641735918744229,0.04801477377654663,0.01662049861495845,0.0368643973773851,0.05937234944868533,0.02374893977947413,19.75992613111727,16.62049861495845,0.21975992613111728,0.0,0.1283471837488458,0.47552724834531546,31.852941176470587,212.3235294117647,1.5294117647058822,0.5294117647058824,1.2647058823529411,4.9411764705882355,0.029411764705882353,14.225294117647058,34.6764705882353,0.4411764705882353,0.6705882352941177,2.0588235294117645,0.8235294117647058,0.0,2023-2025,False
00-0026158,Joe Flacco,QB,CIN,3,2025,2023,3,25,868,536,5856,40,25,44,7172,2494,-39.37432650616075,39,63,1,-2.0482475421023647,346.54,190,63,73,180,140,40,15.0,102.0,63.0,7.0,868,915,-35.837685549519016,-1397.6403802633286,825,44.0,7.0,7173.0,864,115.0,-8.7,481.0,35.1,14.0,3.0,8.0,4.814285381892397,6.746543778801843,8.262672811059907,1.6,-1.6941095518343376,0.1737704918032787,32.0,12.3,0.03549373809661222,2.7853207798308817,6.126643097867753,8.139613671944106,-2.0129705740763537,17.050691244239637,-0.8267550655146109,61.68426233182479,0.06688974190794408,21.50468732678045,85.01344086021503,2.370506912442396,7.948192771084338,7.860240963855421,5.86682808716707,-0.8400278072218823,41.0,43.60000000000001,64.46446618099,0.6175115207373272,0.04608294930875576,0.02880184331797235,-0.03916686945302625,0.048087431693989074,0.007650273224043716,20.737327188940093,16.129032258064516,0.21889400921658986,0.07258064516129033,0.1175115207373272,0.34387752727802834,34.72,234.24,1.6,1.0,1.56,2.52,0.04,13.861600000000001,36.6,1.28,0.49200000000000005,1.76,0.28,0.12,2023-2025,False
00-0026300,Josh Johnson,QB,WAS,2,2025,2024,2,7,57,36,389,1,2,3,366,215,2.0092743765954673,16,56,1,-8.362156113667881,25.160000000000004,7,3,9,15,9,3,1.0,7.0,,8.0,57,66,7.424128889810241,179.81884479522705,51,3.0,8.0,366.0,55,12.0,1.9,79.0,9.0,3.0,0.0,0.0,-0.5339051372138783,6.824561403508772,6.421052631578948,0.5,3.525859701867197,0.22727272727272727,8.0,11.600000000000001,0.4610492845786963,,,,,,,,,,,2.4,6.8,6.3315789473684205,4.855555555555556,0.6072783085683928,55.6,58.5,,0.631578947368421,0.017543859649122806,0.03508771929824561,0.11248680136076122,0.045454545454545456,0.12121212121212122,26.31578947368421,15.789473684210526,0.12280701754385964,,0.12280701754385964,-0.1779683790712928,8.142857142857142,55.57142857142857,0.14285714285714285,0.2857142857142857,2.2857142857142856,8.0,0.14285714285714285,3.5942857142857148,9.428571428571429,1.1428571428571428,1.6571428571428573,0.42857142857142855,1.1428571428571428,0.0,2023-2025,True
00-0026498,Matthew Stafford,QB,LA,3,2025,2023,1,48,1635,1054,12434,90,27,81,13330,5466,237.49783269791016,80,107,0,-30.881520776696625,808.06,475,99,158,338,287,51,28.0,55.0,97.0,10.0,1635,1733,249.19517340025152,-675.6636649370193,1575,81.0,24.0,13330.0,1628,245.0,82.2,1882.0,243.1,14.0,3.0,6.0,0.2940762290963903,7.604892966360857,8.15290519877676,3.3333333333333335,-0.42899280313461546,0.1881130986728217,56.0,10.700000000000001,0.013241590970967505,2.7562135912290198,6.483860788580261,8.234254024052152,-1.7503932354718914,15.04587155963301,-0.14394405476376784,64.52034480517445,-0.05551300089310735,21.897538269256437,98.95897043832807,2.4318654434250764,7.555296229802514,8.11822262118492,6.746153846153847,-0.42362168387220656,65.67914373088685,64.87737003058103,62.2972631822619,0.6446483180428134,0.05504587155963303,0.01651376146788991,0.14379409890378045,0.0467397576457011,0.013848817080207732,20.672782874617738,17.553516819571865,0.290519877675841,0.05932721712538226,0.03363914373088685,0.02100544493545645,34.0625,259.0416666666667,1.875,0.5625,1.6666666666666667,2.2291666666666665,0.0,16.83458333333333,36.104166666666664,1.1666666666666667,0.22291666666666668,1.6875,0.5,0.0625,2023-2025,False
00-0026625,Brian Hoyer,QB,LV,1,2023,2023,1,2,42,23,231,0,2,1,344,80,-8.78077275336437,3,-3,0,-1.8153455403517,4.9399999999999995,14,1,1,3,10,0,1.0,1.0,8.0,,42,43,-8.780772753364403,-469.05314326286316,42,1.0,0.0,344.0,42,2.0,1.8,47.0,5.5,,,,,5.5,8.19047619047619,0.0,-11.167931982449122,0.06976744186046512,3.0,-0.30000000000000004,-0.06072874493927127,,,,,,,,,,,2.1,,,,-7.965638777241104,69.0,63.60000000000001,,0.5476190476190477,0.0,0.047619047619047616,-0.2042040175201024,0.023255813953488372,0.0,7.142857142857142,23.809523809523807,0.3333333333333333,0.19047619047619047,0.023809523809523808,,21.0,115.5,0.0,1.0,1.5,-1.5,0.0,2.4699999999999998,21.5,1.5,-0.15000000000000002,0.5,0.0,,2023-2025,True
00-0027948,Blaine Gabbert,QB,KC,1,2023,2023,1,2,35,18,185,0,3,1,198,118,-16.14328710516377,7,45,0,-0.6197695613373102,5.9,10,0,10,11,6,1,2.0,4.0,6.0,,35,40,-12.549414277045733,-522.9475498199463,34,1.0,4.0,198.0,35,11.0,,,,,,,,5.285714285714286,5.6571428571428575,0.0,-15.38081028882195,0.3,3.0,4.5,0.7627118644067796,,,,,,,,,,,1.9,,,,-9.54153677512859,,,,0.5142857142857142,0.0,0.08571428571428572,-0.3137353569261433,0.025,0.1,31.428571428571427,17.142857142857142,0.2857142857142857,0.17142857142857143,0.11428571428571428,,17.5,92.5,0.0,1.5,3.5,22.5,0.0,2.95,20.0,1.5,2.25,0.5,2.0,,2023-2025,True
00-0027973,Andy Dalton,QB,CAR,3,2025,2023,1,12,255,165,1643,10,7,18,1887,677,-20.156232112908125,19,44,0,-10.662367850092739,92.12,81,13,18,49,37,5,7.0,27.0,3.0,7.0,255,281,-22.810041237164633,-254.56038415431976,249,18.0,8.0,1887.0,255,37.0,3.5,191.0,18.1,3.0,0.0,1.0,-0.1672086981125176,6.443137254901961,7.4,1.4285714285714286,-1.0223308600575092,0.19572953736654805,11.0,4.4,0.04776378636561007,2.54945625,4.89622641509434,6.71730769230769,-1.82108127721335,15.0,-2.01987179487179,65.4763125,0.773687499999994,21.228521887937,82.0052083333333,2.2290196078431372,5.060913705583756,7.207106598984772,5.591603053435114,-7.6027803574161155,52.0,56.5,52.1845427305826,0.6470588235294118,0.0392156862745098,0.027450980392156862,-0.08117452397567484,0.06405693950177936,0.028469750889679714,19.215686274509807,14.50980392156863,0.3176470588235294,0.011764705882352941,0.10588235294117647,-0.05573623270417253,21.25,136.91666666666666,0.8333333333333334,0.5833333333333334,1.5833333333333333,3.6666666666666665,0.0,7.676666666666667,23.416666666666668,0.9166666666666666,0.3666666666666667,1.5,0.6666666666666666,0.0,2023-2025,False
00-0028118,Tyrod Taylor,QB,NYJ,3,2025,2023,2,18,336,213,2239,13,8,31,2774,977,-1.0828089512717867,68,353,1,4.32392196558452,166.86,109,37,33,101,43,16,7.0,25.0,24.0,24.0,336,410,8.414708931701362,887.6264154911041,312,31.0,50.0,2775.0,329,62.0,7.0,211.0,18.700000000000003,10.0,0.0,3.0,3.067691709380597,6.663690476190476,8.255952380952381,1.625,2.844956459907385,0.22682926829268293,18.0,41.300000000000004,0.24751288505333813,2.8041724137931,6.239137931034479,8.75335365853659,-2.5142157275021,11.1111111111111,-0.655182926829268,62.54700369719,1.89744074725442,21.4344869801692,89.1435185185185,2.320238095238095,6.414102564102564,7.951282051282051,5.144329896907217,-2.457728700681351,57.11923076923076,58.593589743589746,62.0567522514674,0.6339285714285714,0.03869047619047619,0.023809523809523808,0.020523680321222836,0.07560975609756097,0.12195121951219512,30.059523809523807,12.797619047619047,0.3244047619047619,0.07142857142857142,0.0744047619047619,0.30676917093805967,18.666666666666668,124.38888888888889,0.7222222222222222,0.4444444444444444,3.7777777777777777,19.61111111111111,0.05555555555555555,9.270000000000001,22.77777777777778,1.0,2.2944444444444447,1.7222222222222223,2.7777777777777777,0.0,2023-2025,False
00-0028986,Case Keenum,QB,HOU,1,2023,2023,1,2,53,34,291,1,3,6,377,146,-20.65132938160178,2,1,0,-1.65093343582703,9.74,16,1,5,12,7,2,0.0,7.0,5.0,,53,59,-20.65132938160174,-147.5417584180832,51,6.0,0.0,377.0,53,10.0,,,,1.0,1.0,0.0,-0.21135142230195925,5.490566037735849,7.113207547169812,0.3333333333333333,-2.8929756552565333,0.2711864406779661,2.0,0.1,0.01026694045174538,,,,,,,,,,,2.5,,,,-4.574227771338295,,,,0.6415094339622641,0.018867924528301886,0.05660377358490566,-0.3500225318915549,0.1016949152542373,0.0,22.641509433962266,13.20754716981132,0.3018867924528302,0.09433962264150944,0.1320754716981132,-0.21135142230195925,26.5,145.5,0.5,1.5,1.0,0.5,0.0,4.87,29.5,1.0,0.05,3.0,0.0,0.5,2023-2025,True
