player_id,player_name,position,team_last,seasons_played,last_season,first_season,n_teams,games,targets,receptions,rec_yards,rec_tds,rec_air_yards,rec_yac,rec_first_downs,rec_epa,carries,rush_yards,rush_tds,ppr,tm_targets,tm_air_yards,tm_pass_att,tm_carries,tm_targets_full,tm_air_yards_full,tm_carries_full,tm_games,snap_games,off_snaps,tm_off_snaps,st_snaps,off_plays_on_field,dropbacks_on_field,rushes_on_field,tm_off_plays,tm_dropbacks,tm_rushes,pfr_rush_att,pfr_rush_ybc,pfr_rush_yac,pfr_rush_broken_tackles,pfr_rush_first_downs,pfr_tgt,pfr_rec,pfr_ybc,pfr_yac,pfr_broken_tackles,pfr_drops,pfr_first_downs,ngs_expected_rush_yards,ngs_rush_yards_over_expected,pbp_carries,gl5_carries,gl10_carries,goal_to_go_carries,stuffed,third_down_carries,short_yd_carries,short_yd_conv,explosive_runs,rush_epa_total,pbp_targets,rz_targets,i10_targets,ez_targets,deep_targets,third_down_targets,third_down_conv,target_epa_total,play_share_part,touches,target_epa,gl5_carry_share_of_own,ngs_efficiency,ngs_percent_attempts_gte_eight_defenders,ngs_avg_time_to_los,ngs_rush_yards_over_expected_per_att,ngs_rush_pct_over_expected,pfr_adot,pfr_ybc_per_rec,pfr_yac_per_rec,pfr_rec_per_broken_tackle,pfr_ybc_per_att,pfr_yac_per_att,pfr_att_per_broken_tackle,snap_pct_mean,target_share,air_yards_share,target_share_full,air_yards_share_full,carry_share,carry_share_full,games_played_rate,wopr,racr,adot_nflverse,catch_rate,rec_epa_per_target,ypc,ypr,snap_share,off_snaps_pg,pass_snap_share,run_snap_share,targets_pg,rec_pg,rec_yards_pg,rec_tds_pg,air_yards_pg,ppr_pg,carries_pg,rush_yards_pg,rush_tds_pg,touches_pg,opportunity_pg,stuffed_rate,short_yd_conv_rate,explosive_run_rate,rush_epa_per_att,third_down_carry_rate,pfr_drop_pct,ngs_ryoe_per_att,routes_proxy,tprr_proxy,gl5_carries_pg,gl10_carries_pg,goal_to_go_carries_pg,third_down_carries_pg,explosive_runs_pg,rz_targets_pg,window_seasons,thin_data
00-0029239,Brandon Bolden,RB,LV,1,2023,2023,1,5,0,0,0,0,0,0,0,0.0,4,31,1,11.1,154,1216,162,126,531,4281,413,17,3.0,5.0,1046.0,356.0,11.0,0.0,5.0,1073.0,606.0,397.0,4.0,28.0,3.0,0.0,2.0,,,,,,,,,,4.0,0.0,2.0,0.0,1.0,2.0,0.0,0.0,1.0,3.6790279943379574,,,,,,,,,0.010251630941286114,4,,0.0,,,,,,,,,,7.0,0.8,,0.004705882352941177,0.0,0.0,0.0,0.0,0.031746031746031744,0.009685230024213076,0.29411764705882354,0.0,,,,,7.75,,0.004780114722753346,1.6666666666666667,0.0,0.012594458438287154,0.0,0.0,0.0,0.0,0.0,2.2199999999999998,0.8,6.2,0.2,0.8,0.8,0.25,,0.25,0.9197569985844893,0.5,,,0.0,,0.0,0.4,0.0,0.4,0.2,,2023-2025,True
00-0029892,Kyle Juszczyk,FB,SF,3,2025,2023,1,41,76,57,532,6,386,260,26,16.676783545738452,12,29,1,153.1,1246,10184,1298,1175,1534,12842,1437,51,51.0,1542.0,3266.0,88.0,1566.0,724.0,745.0,3339.0,1782.0,1329.0,12.0,10.0,19.0,1.0,3.0,76.0,57.0,272.0,260.0,1.0,1.0,26.0,,,12.0,4.0,6.0,6.0,5.0,5.0,3.0,1.0,1.0,-12.694888495461782,76.0,12.0,6.0,2.0,6.0,5.0,1.0,16.676783545738477,0.46900269541778977,69,0.21943136244392733,0.3333333333333333,,,,,,4.993421052631579,4.757894736842105,4.535087719298246,24.0,0.8333333333333334,1.5833333333333333,5.0,0.47080344332855095,0.060995184590690206,0.03790259230164965,0.04954367666232073,0.03005762342314281,0.010212765957446808,0.008350730688935281,0.803921568627451,0.11802459149719007,1.378238341968912,5.078947368421052,0.75,0.219431362443927,2.4166666666666665,9.333333333333334,0.4721371708511941,30.235294117647058,0.4062850729517396,0.5605718585402558,1.853658536585366,1.3902439024390243,12.975609756097562,0.14634146341463414,9.414634146341463,3.7341463414634144,0.2926829268292683,0.7073170731707317,0.024390243902439025,1.6829268292682926,2.1463414634146343,0.4166666666666667,0.3333333333333333,0.08333333333333333,-1.0579073746218153,0.4166666666666667,0.013157894736842105,,724.0,0.10497237569060773,0.0975609756097561,0.14634146341463414,0.14634146341463414,0.12195121951219512,0.024390243902439025,0.2926829268292683,2023-2025,False
00-0030513,Latavius Murray,RB,BUF,1,2023,2023,1,15,22,17,119,0,34,92,7,6.665645444758904,79,300,4,82.89999999999999,487,4377,520,446,545,5022,512,17,16.0,351.0,1086.0,0.0,362.0,226.0,102.0,1186.0,652.0,446.0,79.0,174.0,126.0,3.0,27.0,22.0,17.0,27.0,92.0,2.0,3.0,7.0,,,79.0,12.0,17.0,15.0,14.0,20.0,18.0,11.0,6.0,-2.5622984387688468,22.0,3.0,2.0,0.0,0.0,10.0,6.0,6.6656454447588995,0.30522765598650925,96,0.30298388385267727,0.1518987341772152,,,,,,1.5,1.6,5.4,8.5,2.2,1.6,26.300000000000004,0.3225,0.045174537987679675,0.007767877541695225,0.04036697247706422,0.0067702110712863405,0.17713004484304934,0.154296875,0.8823529411764706,0.07319932126070616,3.5,1.5454545454545454,0.7727272727272727,0.30298388385267744,3.7974683544303796,7.0,0.32320441988950277,21.9375,0.34662576687116564,0.22869955156950672,1.4666666666666666,1.1333333333333333,7.933333333333334,0.0,2.2666666666666666,5.526666666666666,5.266666666666667,20.0,0.26666666666666666,6.4,6.733333333333333,0.17721518987341772,0.6111111111111112,0.0759493670886076,-0.032434157452770215,0.25316455696202533,0.13636363636363635,,226.0,0.09734513274336283,0.8,1.1333333333333333,1.0,1.3333333333333333,0.4,0.2,2023-2025,True
00-0030578,Cordarrelle Patterson,RB,PIT,2,2024,2023,2,25,26,21,118,2,52,93,7,-9.129086373766661,82,316,0,74.4,717,6061,768,790,968,8291,1055,34,27.0,287.0,1799.0,140.0,292.0,148.0,132.0,2314.0,1188.0,964.0,82.0,138.0,178.0,5.0,16.0,26.0,21.0,25.0,93.0,1.0,1.0,7.0,,,82.0,3.0,6.0,6.0,17.0,13.0,5.0,2.0,11.0,-15.827615977243546,26.0,4.0,2.0,1.0,0.0,1.0,0.0,-8.182086373766651,0.12618841832324978,103,-0.31469562976025584,0.036585365853658534,,,,,,1.9846153846153847,1.1857142857142857,4.442857142857143,12.0,1.6439024390243904,2.190243902439024,19.419512195121953,0.15817142857142857,0.03626220362622036,0.008579442336248144,0.026859504132231406,0.006271861054155108,0.10379746835443038,0.07772511848341232,0.7352941176470589,0.06039891507470424,2.269230769230769,2.0,0.8076923076923077,-0.3511187066833331,3.8536585365853657,5.619047619047619,0.15953307392996108,10.62962962962963,0.12457912457912458,0.13692946058091288,1.04,0.84,4.72,0.08,2.08,2.9760000000000004,3.28,12.64,0.0,4.12,4.32,0.2073170731707317,0.4,0.13414634146341464,-0.19301970703955545,0.15853658536585366,0.038461538461538464,,148.0,0.17567567567567569,0.12,0.24,0.24,0.52,0.44,0.16,2023-2025,False
00-0030874,Damien Williams,RB,ARI,1,2023,2023,1,3,2,2,12,0,1,11,0,-0.06445121543947596,11,43,0,7.5,107,925,112,87,540,4186,471,17,3.0,28.0,219.0,3.0,28.0,13.0,14.0,1164.0,635.0,441.0,11.0,15.0,28.0,1.0,1.0,2.0,2.0,1.0,11.0,0.0,0.0,0.0,,,11.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-1.9082171723712236,2.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.06445121543947607,0.024054982817869417,13,-0.032225607719738036,0.0,,,,,,0.5,0.5,5.5,,1.4,2.5,11.0,0.13,0.018691588785046728,0.001081081081081081,0.003703703703703704,0.00023889154323936931,0.12643678160919541,0.02335456475583864,0.17647058823529413,0.028794139934326845,12.0,0.5,1.0,-0.03222560771973798,3.909090909090909,6.0,0.1278538812785388,9.333333333333334,0.02047244094488189,0.031746031746031744,0.6666666666666666,0.6666666666666666,4.0,0.0,0.3333333333333333,2.5,3.6666666666666665,14.333333333333334,0.0,4.333333333333333,4.333333333333333,0.18181818181818182,,0.0,-0.17347428839738396,0.0,0.0,,13.0,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,2023-2025,True
00-0030968,Keith Smith,FB,ATL,1,2023,2023,1,11,3,3,33,0,18,15,1,0.8641505975974688,0,0,0,6.3,294,2561,307,366,508,4345,522,17,13.0,185.0,877.0,220.0,194.0,55.0,119.0,1156.0,602.0,479.0,,,,,,3.0,3.0,18.0,15.0,0.0,0.0,1.0,,,,,,,,,,,,,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.8641505975974724,0.16782006920415224,3,0.2880501991991575,,,,,,,6.0,6.0,5.0,,,,,0.2107692307692308,0.01020408163265306,0.007028504490433424,0.005905511811023622,0.004142692750287687,0.0,0.0,0.6470588235294118,0.02022607559228299,1.8333333333333333,6.0,1.0,0.28805019919915625,,11.0,0.21094640820980615,14.23076923076923,0.09136212624584718,0.24843423799582465,0.2727272727272727,0.2727272727272727,3.0,0.0,1.6363636363636365,0.5727272727272728,0.0,0.0,0.0,0.2727272727272727,0.2727272727272727,,,,,,0.0,,55.0,0.05454545454545454,,,,,,0.09090909090909091,2023-2025,True
00-0031376,Jerick McKinnon,RB,KC,1,2023,2023,1,12,32,25,192,4,8,219,10,7.182948330042313,21,60,1,84.36,439,3158,464,294,599,4095,417,17,12.0,264.0,815.0,152.0,276.0,207.0,26.0,1155.0,715.0,346.0,21.0,46.0,14.0,0.0,7.0,32.0,25.0,-26.0,218.0,1.0,3.0,10.0,,,21.0,0.0,1.0,0.0,4.0,8.0,5.0,4.0,1.0,-0.017922752728737112,32.0,5.0,3.0,0.0,0.0,18.0,5.0,7.182948330042297,0.23896103896103896,46,0.2244671353138218,0.0,,,,,,0.3,-1.0,8.7,25.0,2.2,0.7,,0.325,0.07289293849658314,0.00253324889170361,0.05342237061769616,0.0019536019536019536,0.07142857142857142,0.050359712230215826,0.7058823529411765,0.11111268196906725,24.0,0.25,0.78125,0.22446713531382229,2.857142857142857,7.68,0.3239263803680982,22.0,0.2895104895104895,0.07514450867052024,2.6666666666666665,2.0833333333333335,16.0,0.3333333333333333,0.6666666666666666,7.03,1.75,5.0,0.08333333333333333,3.8333333333333335,4.416666666666667,0.19047619047619047,0.8,0.047619047619047616,-0.0008534644156541482,0.38095238095238093,0.09375,,207.0,0.15458937198067632,0.0,0.08333333333333333,0.0,0.6666666666666666,0.08333333333333333,0.4166666666666667,2023-2025,True
00-0031595,Michael Burton,FB,DEN,2,2024,2023,1,23,13,13,73,1,26,47,5,4.928424991667276,14,17,1,36.0,700,5216,740,622,1026,7884,912,34,34.0,364.0,2174.0,584.0,376.0,144.0,180.0,2230.0,1248.0,808.0,14.0,4.0,13.0,0.0,7.0,13.0,13.0,26.0,47.0,0.0,0.0,5.0,,,14.0,3.0,4.0,3.0,6.0,4.0,4.0,1.0,0.0,-5.677508134656819,13.0,3.0,3.0,0.0,0.0,3.0,2.0,4.928424991667271,0.16860986547085202,27,0.3791096147436362,0.21428571428571427,,,,,,2.0076923076923077,2.0076923076923077,3.6153846153846154,,0.25000000000000006,0.9000000000000001,,0.16514066496163685,0.018571428571428572,0.004984662576687116,0.012670565302144249,0.003297818366311517,0.022508038585209004,0.015350877192982455,0.6764705882352942,0.03134640666082384,2.8076923076923075,2.0,1.0,0.37910961474363664,1.2142857142857142,5.615384615384615,0.16743330266789327,10.705882352941176,0.11538461538461539,0.22277227722772278,0.5652173913043478,0.5652173913043478,3.1739130434782608,0.043478260869565216,1.1304347826086956,1.565217391304348,0.6086956521739131,0.7391304347826086,0.043478260869565216,1.173913043478261,1.173913043478261,0.42857142857142855,0.25,0.0,-0.4055362953326299,0.2857142857142857,0.0,,144.0,0.09027777777777778,0.13043478260869565,0.17391304347826086,0.13043478260869565,0.17391304347826086,0.0,0.13043478260869565,2023-2025,False
00-0031687,Raheem Mostert,RB,LV,3,2025,2023,2,40,67,56,406,3,-22,445,22,11.276178291747353,316,1394,20,368.0,1257,8343,1305,1004,1611,11225,1273,51,40.0,970.0,2519.0,99.0,984.0,548.0,364.0,3298.0,1873.0,1204.0,316.0,726.0,668.0,19.0,77.0,67.0,56.0,-39.0,445.0,8.0,1.0,22.0,876.122865948275,125.877134051725,316.0,24.0,44.0,34.0,64.0,22.0,13.0,10.0,42.0,-22.07506503366924,67.0,9.0,4.0,0.0,2.0,23.0,11.0,12.223178291747349,0.29836264402668283,372,0.18243549689175148,0.0759493670886076,4.2526185770751,14.3540669856459,2.93470588235294,0.614034800252319,0.38536585365853704,-0.31343283582089554,-0.6767857142857142,7.950000000000001,6.488636363636363,2.2882911392405063,2.1012658227848102,32.29398734177215,0.37425,0.053301511535401754,-0.0026369411482680093,0.04158907510862818,-0.0019599109131403117,0.3147410358565737,0.24823252160251374,0.7843137254901961,0.07810640849931502,-18.454545454545453,-0.3283582089552239,0.835820895522388,0.16830116853354257,4.4113924050632916,7.25,0.3850734418420008,24.25,0.29257875066737854,0.3023255813953488,1.675,1.4,10.15,0.075,-0.55,9.2,7.9,34.85,0.5,9.3,9.575,0.20253164556962025,0.7692307692307693,0.13291139240506328,-0.06985780073945962,0.06962025316455696,0.014925373134328358,0.39834536092318035,548.0,0.12226277372262774,0.6,1.1,0.85,0.55,1.05,0.225,2023-2025,False
00-0032104,Ameer Abdullah,RB,IND,3,2025,2023,2,44,88,75,491,3,74,445,24,-1.5928372426845772,95,460,3,204.1,1420,11162,1493,1059,1653,13116,1235,51,44.0,712.0,2928.0,583.0,733.0,569.0,106.0,3311.0,1914.0,1168.0,95.0,260.0,200.0,7.0,23.0,88.0,75.0,46.0,445.0,7.0,0.0,24.0,,,95.0,5.0,10.0,9.0,12.0,23.0,6.0,4.0,11.0,-4.030930278264064,88.0,10.0,6.0,2.0,0.0,36.0,14.0,-1.5928372426845794,0.2213832678948958,170,-0.018100423212324766,0.05263157894736842,,,,,,0.9624999999999999,0.604,5.933333333333334,14.203999999999999,2.7610526315789468,2.0852631578947367,13.602105263157894,0.2317120655080214,0.061971830985915494,0.006629636265902168,0.05323653962492438,0.0056419640134187255,0.08970727101038715,0.07692307692307693,0.8627450980392157,0.09759849186500476,6.635135135135135,0.8409090909090909,0.8522727272727273,-0.018100423212324742,4.842105263157895,6.546666666666667,0.24316939890710382,16.181818181818183,0.29728317659352144,0.09075342465753425,2.0,1.7045454545454546,11.159090909090908,0.06818181818181818,1.6818181818181819,4.638636363636364,2.159090909090909,10.454545454545455,0.06818181818181818,3.8636363636363638,4.159090909090909,0.12631578947368421,0.6666666666666666,0.11578947368421053,-0.042430845034358566,0.24210526315789474,0.0,,569.0,0.1546572934973638,0.11363636363636363,0.22727272727272727,0.20454545454545456,0.5227272727272727,0.25,0.22727272727272727,2023-2025,False
