player_id,season,player_name,position,team,n_teams,games,targets,receptions,rec_yards,rec_tds,rec_air_yards,rec_yac,rec_first_downs,rec_epa,carries,rush_yards,rush_tds,ppr,tm_targets,tm_air_yards,tm_pass_att,tm_carries,tm_targets_full,tm_air_yards_full,tm_carries_full,tm_games,snap_games,off_snaps,tm_off_snaps,snap_pct_mean,st_snaps,off_plays_on_field,dropbacks_on_field,rushes_on_field,tm_off_plays,tm_dropbacks,tm_rushes,pfr_tgt,pfr_rec,pfr_adot,pfr_ybc,pfr_ybc_per_rec,pfr_yac,pfr_yac_per_rec,pfr_broken_tackles,pfr_rec_per_broken_tackle,pfr_drops,pfr_first_downs,ngs_avg_cushion,ngs_avg_separation,ngs_avg_intended_air_yards,ngs_percent_share_of_intended_air_yards,ngs_avg_yac,ngs_avg_expected_yac,ngs_avg_yac_above_expectation,ngs_catch_percentage,pbp_targets,rz_targets,i10_targets,ez_targets,deep_targets,third_down_targets,third_down_conv,target_epa_total,target_share,air_yards_share,target_share_full,air_yards_share_full,carry_share,carry_share_full,games_played_rate,wopr,racr,adot_nflverse,catch_rate,rec_epa_per_target,ypc,ypr,snap_share,off_snaps_pg,pass_snap_share,run_snap_share,play_share_part,targets_pg,rec_pg,rec_yards_pg,rec_tds_pg,air_yards_pg,ppr_pg,carries_pg,rush_yards_pg,rush_tds_pg,routes_proxy,routes_proxy_pg,tprr_proxy,yprr_proxy,pfr_drop_pct,target_epa,rz_targets_pg,i10_targets_pg,ez_targets_pg,deep_targets_pg,third_down_targets_pg,deep_target_rate,rz_target_share_of_own,third_down_conv_rate
00-0027944,2018,Julio Jones,WR,ATL,1,16,170,113,1677,8,2377,448,80,68.961761887567,2,12,0,325.9,604,5270,617,351,604,5270,351,16,16.0,818.0,1060.0,0.76625,3.0,833.0,576.0,210.0,1082.0,681.0,335.0,170.0,113.0,14.0,1229.0,10.9,448.0,4.0,3.0,37.7,9.0,80.0,5.69783950617284,2.48457265670285,14.0265882352941,45.6369210982626,4.19867256637168,3.20468789125547,0.993984675116209,66.4705882352941,170.0,17.0,7.0,10.0,37.0,45.0,24.0,68.96176188756698,0.2814569536423841,0.4510436432637571,0.2814569536423841,0.4510436432637571,0.005698005698005698,0.005698005698005698,1.0,0.7379159807482061,0.7055111485065209,13.98235294117647,0.6647058823529411,0.40565742286804113,6.0,14.84070796460177,0.7716981132075472,51.125,0.8458149779735683,0.6268656716417911,0.7698706099815157,10.625,7.0625,104.8125,0.5,148.5625,20.36875,0.125,0.75,0.0,576.0,36.0,0.2951388888888889,2.9114583333333335,0.052941176470588235,0.4056574228680411,1.0625,0.4375,0.625,2.3125,2.8125,0.21764705882352942,0.1,0.5333333333333333
00-0031381,2018,Davante Adams,WR,GB,1,15,169,111,1386,13,1906,475,64,81.60807196811717,0,0,0,329.6,579,5262,600,320,615,5667,333,16,15.0,953.0,1018.0,0.9346666666666666,1.0,977.0,653.0,255.0,1105.0,729.0,297.0,169.0,111.0,11.3,911.0,8.2,475.0,4.3,4.0,27.8,5.0,64.0,4.83061728395062,2.96916879720341,11.3262130177515,33.9687097381002,4.64738738738739,4.17855278276301,0.468834604624379,65.6804733727811,169.0,31.0,8.0,18.0,30.0,41.0,19.0,80.55507196811716,0.2918825561312608,0.3622196883314329,0.27479674796747966,0.3363331568731251,0.0,0.0,0.9375,0.6913776160288942,0.727177334732424,11.278106508875739,0.6568047337278107,0.4828879998113442,,12.486486486486486,0.9361493123772102,63.53333333333333,0.8957475994513031,0.8585858585858586,0.8841628959276018,11.266666666666667,7.4,92.4,0.8666666666666667,127.06666666666666,21.973333333333336,0.0,0.0,0.0,653.0,43.53333333333333,0.25880551301684535,2.1225114854517613,0.029585798816568046,0.4766572305805749,2.066666666666667,0.5333333333333333,1.2,2.0,2.7333333333333334,0.17751479289940827,0.1834319526627219,0.4634146341463415
00-0027793,2018,Antonio Brown,WR,PIT,1,15,168,104,1297,15,1891,485,63,25.73871904556824,0,0,0,323.7,631,5069,644,325,676,5327,345,16,15.0,998.0,1048.0,0.9506666666666667,5.0,1006.0,668.0,282.0,1131.0,726.0,328.0,168.0,104.0,11.3,812.0,7.8,485.0,4.7,5.0,20.8,3.0,63.0,5.04,2.62777692331525,11.2177976190476,36.074852941458,5.03278846153846,4.05194675825204,0.98084170328642,61.9047619047619,167.0,24.0,8.0,22.0,34.0,44.0,16.0,26.81212845529611,0.2662440570522979,0.3730518840007891,0.2485207100591716,0.35498404355171764,0.0,0.0,0.9375,0.6605024043789992,0.6858804865150714,11.255952380952381,0.6190476190476191,0.15320666098552524,,12.471153846153847,0.9522900763358778,66.53333333333333,0.9201101928374655,0.8597560975609756,0.8894783377541998,11.2,6.933333333333334,86.46666666666667,1.0,126.06666666666666,21.58,0.0,0.0,0.0,668.0,44.53333333333333,0.25149700598802394,1.9416167664670658,0.017857142857142856,0.1605516673969827,1.6,0.5333333333333333,1.4666666666666666,2.2666666666666666,2.933333333333333,0.20359281437125748,0.1437125748502994,0.36363636363636365
00-0033857,2018,JuJu Smith-Schuster,WR,PIT,1,16,166,111,1426,7,1461,648,67,52.10090878440716,1,13,0,296.9,676,5327,689,345,676,5327,345,16,16.0,960.0,1116.0,0.860625,2.0,968.0,681.0,231.0,1131.0,726.0,328.0,166.0,111.0,8.8,778.0,7.0,648.0,5.8,7.0,15.9,6.0,67.0,5.31660130718954,3.00124581675711,8.68578313253012,27.5997251206426,6.07252252252252,4.76091574031814,1.31160678220439,66.8674698795181,166.0,29.0,11.0,14.0,21.0,36.0,17.0,51.047908784407156,0.2455621301775148,0.27426318753519807,0.2455621301775148,0.27426318753519807,0.002898550724637681,0.002898550724637681,1.0,0.5603274265409108,0.9760438056125941,8.801204819277109,0.6686746987951807,0.3138608962916094,13.0,12.846846846846846,0.8602150537634409,60.0,0.9380165289256198,0.7042682926829268,0.8558797524314765,10.375,6.9375,89.125,0.4375,91.3125,18.55625,0.0625,0.8125,0.0,681.0,42.5625,0.24375917767988253,2.093979441997063,0.03614457831325301,0.30751752279763345,1.8125,0.6875,0.875,1.3125,2.25,0.12650602409638553,0.1746987951807229,0.4722222222222222
00-0030564,2018,DeAndre Hopkins,WR,HOU,1,16,163,115,1572,11,1869,387,81,76.18711758378711,1,-7,0,333.5,494,4337,506,472,494,4337,472,16,16.0,1084.0,1094.0,0.99,2.0,1108.0,620.0,407.0,1123.0,621.0,409.0,163.0,115.0,11.5,1185.0,10.3,387.0,3.4,5.0,23.0,2.0,81.0,4.92198757763975,2.52242103824341,11.861472392638,44.0440663911758,3.68321739130435,3.64468514211526,0.038532249189088,70.5521472392638,163.0,25.0,15.0,19.0,25.0,44.0,22.0,76.18711758378704,0.3299595141700405,0.43094304818999307,0.3299595141700405,0.43094304818999307,0.00211864406779661,0.00211864406779661,1.0,0.7965994049880558,0.841091492776886,11.466257668711657,0.7055214723926381,0.4674056293483872,-7.0,13.669565217391304,0.9908592321755028,67.75,0.998389694041868,0.9951100244498777,0.9866429207479964,10.1875,7.1875,98.25,0.6875,116.8125,20.84375,0.0625,-0.4375,0.0,620.0,38.75,0.2629032258064516,2.535483870967742,0.012269938650306749,0.46740562934838675,1.5625,0.9375,1.1875,1.5625,2.75,0.15337423312883436,0.15337423312883436,0.5
00-0030061,2018,Zach Ertz,TE,PHI,1,16,156,116,1163,8,1130,353,66,19.19503827703825,0,0,0,280.3,592,4457,599,398,592,4457,398,16,16.0,1000.0,1092.0,0.915625,2.0,1023.0,617.0,328.0,1119.0,652.0,384.0,156.0,116.0,7.2,810.0,7.0,353.0,3.0,3.0,38.7,5.0,66.0,6.0799173553719,3.24140323204891,7.27865384615385,25.7972245951399,3.34689655172414,3.82744646888685,-0.480549917162711,74.3589743589744,155.0,27.0,10.0,10.0,6.0,39.0,17.0,19.699725577455816,0.2635135135135135,0.25353376710792014,0.2635135135135135,0.25353376710792014,0.0,0.0,1.0,0.5727439072458143,1.0292035398230088,7.243589743589744,0.7435897435897436,0.12304511716050161,,10.025862068965518,0.9157509157509157,62.5,0.946319018404908,0.8541666666666666,0.9142091152815014,9.75,7.25,72.6875,0.5,70.625,17.51875,0.0,0.0,0.0,617.0,38.5625,0.25283630470016205,1.8849270664505673,0.03205128205128205,0.12709500372552138,1.6875,0.625,0.625,0.375,2.4375,0.03870967741935484,0.17419354838709677,0.4358974358974359
00-0030035,2018,Adam Thielen,WR,MIN,1,16,153,113,1373,9,1443,416,74,57.169848056564156,5,30,0,307.3,592,4396,606,357,592,4396,357,16,16.0,1011.0,1051.0,0.961875,6.0,1025.0,654.0,317.0,1068.0,665.0,337.0,153.0,113.0,9.4,957.0,8.5,416.0,3.7,3.0,37.7,3.0,74.0,5.77048611111111,2.90309004337313,9.59692810457516,32.7480306531184,3.85486725663717,3.42774143718255,0.427125819454619,73.8562091503268,153.0,20.0,8.0,11.0,21.0,44.0,22.0,56.116848056564145,0.25844594594594594,0.32825295723384895,0.25844594594594594,0.32825295723384895,0.014005602240896359,0.014005602240896359,1.0,0.6174459889826132,0.9514899514899515,9.431372549019608,0.738562091503268,0.37365913762460234,6.0,12.150442477876107,0.961941008563273,63.1875,0.9834586466165414,0.9406528189910979,0.9597378277153558,9.5625,7.0625,85.8125,0.5625,90.1875,19.20625,0.3125,1.875,0.0,654.0,40.875,0.23394495412844038,2.099388379204893,0.0196078431372549,0.3667767846834258,1.25,0.5,0.6875,1.3125,2.75,0.13725490196078433,0.13071895424836602,0.5
00-0030506,2018,Travis Kelce,TE,KC,1,16,150,103,1336,10,1375,568,68,69.2335993490991,0,0,0,294.59999999999997,564,5273,583,387,564,5273,387,16,16.0,993.0,1045.0,0.948125,0.0,1026.0,614.0,324.0,1084.0,636.0,350.0,150.0,103.0,9.2,767.0,7.4,569.0,5.5,7.0,14.7,7.0,68.0,5.61866666666667,2.89487645666506,8.9066,25.311565729096,5.8252427184466,4.64453682453576,1.18070589391085,68.6666666666667,149.0,26.0,12.0,13.0,19.0,31.0,20.0,67.85561880901444,0.26595744680851063,0.2607623743599469,0.26595744680851063,0.2607623743599469,0.0,0.0,1.0,0.5814698322647288,0.9716363636363636,9.166666666666666,0.6866666666666666,0.461557328993994,,12.970873786407767,0.9502392344497608,62.0625,0.9654088050314465,0.9257142857142857,0.9464944649446494,9.375,6.4375,83.5,0.625,85.9375,18.412499999999998,0.0,0.0,0.0,614.0,38.375,0.24429967426710097,2.175895765472313,0.04666666666666667,0.45540683764439227,1.625,0.75,0.8125,1.1875,1.9375,0.12751677852348994,0.174496644295302,0.6451612903225806
00-0031382,2018,Jarvis Landry,WR,CLE,1,16,149,81,976,4,1645,274,44,-0.6695404128092983,3,60,1,217.12,557,5450,574,411,557,5450,411,16,16.0,957.0,1091.0,0.87,6.0,967.0,601.0,312.0,1106.0,642.0,386.0,149.0,81.0,11.0,702.0,8.7,274.0,3.4,3.0,27.0,11.0,44.0,5.65941176470588,3.2730785640095,10.8053691275168,30.4547019411562,3.81148148148148,3.55666684618199,0.254814635299492,54.3624161073826,149.0,19.0,7.0,10.0,24.0,43.0,15.0,0.2774595871907497,0.26750448833034113,0.3018348623853211,0.26750448833034113,0.3018348623853211,0.0072992700729927005,0.0072992700729927005,1.0,0.6125411361652364,0.5933130699088146,11.04026845637584,0.5436241610738255,-0.00449355981751207,20.0,12.049382716049383,0.8771769019248395,59.8125,0.9361370716510904,0.8082901554404145,0.8743218806509946,9.3125,5.0625,61.0,0.25,102.8125,13.57,0.1875,3.75,0.0625,601.0,37.5625,0.24792013311148087,1.6239600665557403,0.0738255033557047,0.0018621448804748302,1.1875,0.4375,0.625,1.5,2.6875,0.1610738255033557,0.12751677852348994,0.3488372093023256
00-0031588,2018,Stefon Diggs,WR,MIN,1,15,149,102,1021,9,1286,438,49,8.548501646929523,10,62,0,266.3,570,4265,584,334,592,4396,357,16,15.0,874.0,1002.0,0.872,0.0,885.0,592.0,248.0,1068.0,665.0,337.0,149.0,102.0,8.6,573.0,5.6,448.0,4.4,4.0,25.5,3.0,49.0,5.91524475524476,2.72948597211414,8.8896644295302,29.54154139866,4.34205882352941,3.67737144229271,0.664687381236701,68.4563758389262,149.0,18.0,8.0,12.0,21.0,35.0,10.0,7.495501646929534,0.2614035087719298,0.3015240328253224,0.2516891891891892,0.29253867151956325,0.029940119760479042,0.028011204481792718,0.9375,0.6031720861356205,0.7939346811819595,8.630872483221477,0.6845637583892618,0.057372494274694784,6.2,10.009803921568627,0.872255489021956,58.266666666666666,0.8902255639097745,0.7359050445103857,0.8286516853932584,9.933333333333334,6.8,68.06666666666666,0.6,85.73333333333333,17.753333333333334,0.6666666666666666,4.133333333333334,0.0,592.0,39.46666666666667,0.2516891891891892,1.724662162162162,0.020134228187919462,0.050305380180735125,1.2,0.5333333333333333,0.8,1.4,2.3333333333333335,0.14093959731543623,0.12080536912751678,0.2857142857142857
