player_id,player_name,position,team_last,seasons_played,last_season,first_season,n_teams,games,targets,receptions,rec_yards,rec_tds,rec_air_yards,rec_yac,rec_first_downs,rec_epa,carries,rush_yards,rush_tds,ppr,tm_targets,tm_air_yards,tm_pass_att,tm_carries,tm_targets_full,tm_air_yards_full,tm_carries_full,tm_games,snap_games,off_snaps,tm_off_snaps,st_snaps,off_plays_on_field,dropbacks_on_field,rushes_on_field,tm_off_plays,tm_dropbacks,tm_rushes,pfr_tgt,pfr_rec,pfr_ybc,pfr_yac,pfr_broken_tackles,pfr_drops,pfr_first_downs,pbp_targets,rz_targets,i10_targets,ez_targets,deep_targets,third_down_targets,third_down_conv,target_epa_total,play_share_part,target_epa,rz_target_share_of_own,ngs_avg_cushion,ngs_avg_separation,ngs_avg_intended_air_yards,ngs_percent_share_of_intended_air_yards,ngs_avg_yac,ngs_avg_expected_yac,ngs_avg_yac_above_expectation,ngs_catch_percentage,pfr_adot,pfr_ybc_per_rec,pfr_yac_per_rec,pfr_rec_per_broken_tackle,snap_pct_mean,target_share,air_yards_share,target_share_full,air_yards_share_full,carry_share,carry_share_full,games_played_rate,wopr,racr,adot_nflverse,catch_rate,rec_epa_per_target,ypc,ypr,snap_share,off_snaps_pg,pass_snap_share,run_snap_share,targets_pg,rec_pg,rec_yards_pg,rec_tds_pg,air_yards_pg,ppr_pg,carries_pg,rush_yards_pg,rush_tds_pg,routes_proxy,routes_proxy_pg,tprr_proxy,yprr_proxy,pfr_drop_pct,rz_targets_pg,i10_targets_pg,ez_targets_pg,deep_targets_pg,third_down_targets_pg,deep_target_rate,third_down_conv_rate,window_seasons,thin_data
00-0024243,Marcedes Lewis,TE,CHI,2,2024,2023,1,11,6,5,31,1,10,30,3,2.550687365932392,0,0,0,14.099999999999998,341,2822,373,337,1003,8309,965,34,34.0,552.0,2274.0,69.0,568.0,162.0,367.0,2341.0,1311.0,850.0,7.0,5.0,1.0,30.0,0.0,0.0,3.0,6.0,2.0,1.0,1.0,0.0,1.0,1.0,2.55068736593239,0.24263135412217002,0.4251145609887317,0.3333333333333333,,,,,,,,,2.6666666666666665,0.2,6.04,,0.24406417112299464,0.017595307917888565,0.003543586109142452,0.005982053838484547,0.0012035142616440004,0.0,0.0,0.3235294117647059,0.028873472153232566,3.1,1.6666666666666667,0.8333333333333334,0.42511456098873196,,6.2,0.24274406332453827,16.235294117647058,0.12356979405034325,0.43176470588235294,0.5454545454545454,0.45454545454545453,2.8181818181818183,0.09090909090909091,0.9090909090909091,1.2818181818181815,0.0,0.0,0.0,162.0,14.727272727272727,0.037037037037037035,0.19135802469135801,0.0,0.18181818181818182,0.09090909090909091,0.09090909090909091,0.0,0.09090909090909091,0.0,1.0,2023-2025,False
00-0027696,Jimmy Graham,TE,NO,1,2023,2023,1,6,7,6,39,4,42,3,6,8.155974590627011,0,0,0,33.9,172,1357,181,186,579,5016,480,17,13.0,171.0,890.0,1.0,174.0,76.0,86.0,1192.0,655.0,457.0,7.0,6.0,36.0,3.0,0.0,1.0,6.0,7.0,5.0,4.0,4.0,0.0,4.0,3.0,8.155974590627011,0.14597315436241612,1.1651392272324301,0.7142857142857143,,,,,,,,,6.0,6.0,0.5,,0.19153846153846155,0.040697674418604654,0.030950626381724394,0.012089810017271158,0.008373205741626795,0.0,0.0,0.35294117647058826,0.08271195009511406,0.9285714285714286,6.0,0.8571428571428571,1.1651392272324301,,6.5,0.19213483146067414,13.153846153846153,0.11603053435114503,0.18818380743982493,1.1666666666666667,1.0,6.5,0.6666666666666666,7.0,5.6499999999999995,0.0,0.0,0.0,76.0,12.666666666666666,0.09210526315789473,0.5131578947368421,0.14285714285714285,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.0,0.75,2023-2025,True
00-0027944,Julio Jones,WR,PHI,1,2023,2023,1,8,19,11,74,3,131,28,4,2.233634454315619,0,0,0,36.4,236,2060,251,235,525,4844,510,17,11.0,231.0,704.0,0.0,239.0,157.0,69.0,1183.0,653.0,457.0,19.0,11.0,46.0,28.0,0.0,1.0,4.0,19.0,4.0,1.0,2.0,2.0,5.0,0.0,2.2336344543156166,0.20202874049027894,0.11755970812187455,0.21052631578947367,,,,,,,,,7.3999999999999995,4.2,2.5,,0.33545454545454545,0.08050847457627118,0.06359223300970873,0.03619047619047619,0.02704376548307184,0.0,0.0,0.47058823529411764,0.16527727497120287,0.5648854961832062,6.894736842105263,0.5789473684210527,0.11755970812187468,,6.7272727272727275,0.328125,21.0,0.24042879019908117,0.15098468271334792,2.375,1.375,9.25,0.375,16.375,4.55,0.0,0.0,0.0,157.0,19.625,0.12101910828025478,0.4713375796178344,0.05263157894736842,0.5,0.125,0.25,0.25,0.625,0.10526315789473684,0.0,2023-2025,True
00-0028002,Randall Cobb,WR,NYJ,1,2023,2023,1,9,17,5,39,1,165,23,3,-14.414470429737635,0,0,0,16.9,255,2021,276,215,563,4000,388,17,11.0,210.0,675.0,7.0,218.0,150.0,50.0,1140.0,695.0,357.0,17.0,5.0,16.0,23.0,0.0,2.0,3.0,17.0,4.0,0.0,0.0,2.0,6.0,1.0,-15.467470429737629,0.1912280701754386,-0.9098512017492723,0.23529411764705882,,,,,,,,,9.7,3.2,4.6,,0.3181818181818182,0.06666666666666667,0.08164275111331024,0.03019538188277087,0.04125,0.0,0.0,0.5294117647058824,0.15714992577931716,0.23636363636363636,9.705882352941176,0.29411764705882354,-0.8479100252786844,,7.8,0.3111111111111111,19.09090909090909,0.2158273381294964,0.1400560224089636,1.8888888888888888,0.5555555555555556,4.333333333333333,0.1111111111111111,18.333333333333332,1.8777777777777775,0.0,0.0,0.0,150.0,16.666666666666668,0.11333333333333333,0.26,0.11764705882352941,0.4444444444444444,0.0,0.0,0.2222222222222222,0.6666666666666666,0.11764705882352941,0.16666666666666666,2023-2025,True
00-0029293,Marvin Jones,WR,DET,1,2023,2023,1,4,10,5,35,0,80,9,2,-5.426966988511736,0,0,0,6.5,127,847,135,129,574,4086,500,17,6.0,178.0,411.0,0.0,179.0,94.0,76.0,1206.0,645.0,483.0,10.0,5.0,26.0,9.0,0.0,2.0,2.0,10.0,2.0,0.0,0.0,1.0,3.0,0.0,-5.426966988511735,0.148424543946932,-0.5426966988511734,0.2,,,,,,,,,8.0,5.2,1.8,,0.44,0.07874015748031496,0.09445100354191263,0.017421602787456445,0.01957905041605482,0.0,0.0,0.23529411764705882,0.18422593869981127,0.4375,8.0,0.5,-0.5426966988511736,,7.0,0.43309002433090027,29.666666666666668,0.14573643410852713,0.15734989648033126,2.5,1.25,8.75,0.0,20.0,1.625,0.0,0.0,0.0,94.0,23.5,0.10638297872340426,0.3723404255319149,0.2,0.5,0.0,0.0,0.25,0.75,0.1,0.0,2023-2025,True
00-0030035,Adam Thielen,WR,MIN,3,2025,2023,2,41,234,170,1815,9,2056,536,94,106.3369835271919,1,6,0,410.1,1288,10815,1377,999,1520,12703,1265,51,43.0,1862.0,2751.0,2.0,1929.0,1187.0,595.0,4356.0,2480.0,1542.0,234.0,170.0,1274.0,541.0,4.0,12.0,94.0,234.0,26.0,12.0,13.0,24.0,79.0,41.0,104.23098352719191,0.4428374655647383,0.4454315535350082,0.1111111111111111,6.336451485067615,2.9239070263252405,8.667587939698496,23.197218967950775,3.463178807947021,4.2503856375222435,-0.7872068295752221,75.87939698492461,8.606837606837606,7.487058823529411,3.16,46.879411764705885,0.6851524390243902,0.18167701863354038,0.1901063337956542,0.15394736842105264,0.1618515311343777,0.001001001001001001,0.0007905138339920949,0.803921568627451,0.4055899616072685,0.8827821011673151,8.786324786324787,0.7264957264957265,0.45443155353500814,6.0,10.676470588235293,0.6768447837150128,43.30232558139535,0.4786290322580645,0.3858625162127108,5.7073170731707314,4.146341463414634,44.26829268292683,0.21951219512195122,50.146341463414636,10.002439024390245,0.024390243902439025,0.14634146341463414,0.0,1187.0,28.951219512195124,0.1971356360572873,1.5290648694187026,0.05128205128205128,0.6341463414634146,0.2926829268292683,0.3170731707317073,0.5853658536585366,1.9268292682926829,0.10256410256410256,0.5189873417721519,2023-2025,False
00-0030061,Zach Ertz,TE,WAS,3,2025,2023,2,37,206,143,1345,12,1674,356,71,28.667619583998928,0,0,0,355.5,1082,9209,1137,1076,1476,12176,1481,51,37.0,1617.0,2447.0,3.0,1653.0,1070.0,455.0,3438.0,1854.0,1307.0,206.0,143.0,989.0,356.0,1.0,11.0,71.0,206.0,37.0,17.0,15.0,13.0,53.0,17.0,25.50861958399895,0.48080279232111695,0.1238282504077619,0.1796116504854369,6.193317212759893,3.231210656465538,8.076625766871167,17.044792116070486,3.0510344827586184,3.4947380419409235,-0.4437035591822999,71.16564417177914,8.021844660194175,6.916083916083916,2.4874125874125874,50.0,0.6635135135135135,0.19038817005545286,0.18177869475513084,0.13956639566395665,0.13748357424441524,0.0,0.0,0.7254901960784313,0.4128273414117709,0.8034647550776584,8.12621359223301,0.6941747572815534,0.13916320186407247,,9.405594405594405,0.6608091540662036,43.7027027027027,0.5771305285868392,0.3481254781943382,5.5675675675675675,3.864864864864865,36.351351351351354,0.32432432432432434,45.24324324324324,9.608108108108109,0.0,0.0,0.0,1070.0,28.91891891891892,0.1925233644859813,1.2570093457943925,0.05339805825242718,1.0,0.4594594594594595,0.40540540540540543,0.35135135135135137,1.4324324324324325,0.06310679611650485,0.32075471698113206,2023-2025,False
00-0030068,Marquise Goodwin,WR,CLE,1,2023,2023,1,10,13,4,67,0,391,21,1,-8.26666054083037,4,33,0,14.0,347,3190,360,326,597,5299,518,17,12.0,122.0,890.0,0.0,124.0,73.0,41.0,1265.0,696.0,487.0,13.0,4.0,46.0,21.0,0.0,2.0,1.0,13.0,0.0,0.0,1.0,10.0,6.0,0.0,-8.266660540830372,0.09802371541501977,-0.6358969646792594,0.0,,,,,,,,,30.1,11.5,5.3,,0.1366666666666667,0.037463976945244955,0.1225705329153605,0.021775544388609715,0.07378750707680694,0.012269938650306749,0.007722007722007722,0.5882352941176471,0.14199533845861978,0.17135549872122763,30.076923076923077,0.3076923076923077,-0.6358969646792593,8.25,16.75,0.13707865168539327,10.166666666666666,0.10488505747126436,0.08418891170431211,1.3,0.4,6.7,0.0,39.1,1.4,0.4,3.3,0.0,73.0,7.3,0.1780821917808219,0.9178082191780822,0.15384615384615385,0.0,0.0,0.1,1.0,0.6,0.7692307692307693,0.0,2023-2025,True
00-0030279,Keenan Allen,WR,LAC,3,2025,2023,2,45,393,259,2764,18,3594,867,149,117.02463590232446,2,6,0,645.96,1457,11999,1528,1169,1684,13813,1328,51,45.0,2259.0,2994.0,2.0,2307.0,1547.0,606.0,3529.0,2086.0,1172.0,393.0,259.0,1897.0,867.0,9.0,17.0,149.0,393.0,45.0,26.0,33.0,49.0,127.0,63.0,118.91863590232443,0.6537262680646075,0.3025919488608764,0.11450381679389313,6.5045115178507436,2.88999342434421,9.24346055979644,27.46888481342646,3.6544401544401532,3.5359965210275917,0.11844363341256298,65.90330788804071,9.042748091603054,7.293822393822394,3.3687258687258685,36.369884169884166,0.7559999999999999,0.26973232669869596,0.2995249604133678,0.2333729216152019,0.26018967639180485,0.001710863986313088,0.0015060240963855422,0.8823529411764706,0.6142659623374014,0.7690595436839176,9.145038167938932,0.6590330788804071,0.29777261043848463,3.0,10.671814671814673,0.7545090180360722,50.2,0.7416107382550335,0.5170648464163823,8.733333333333333,5.7555555555555555,61.422222222222224,0.4,79.86666666666666,14.354666666666667,0.044444444444444446,0.13333333333333333,0.0,1547.0,34.37777777777778,0.2540400775694893,1.7866839043309632,0.043256997455470736,1.0,0.5777777777777777,0.7333333333333333,1.0888888888888888,2.8222222222222224,0.12468193384223919,0.49606299212598426,2023-2025,False
00-0030431,Robert Woods,WR,HOU,2,2024,2023,1,28,105,60,629,1,1016,199,38,3.1329576067662286,1,7,0,127.6,944,8257,985,702,1113,9830,878,34,29.0,1027.0,1925.0,95.0,1046.0,608.0,376.0,2304.0,1322.0,817.0,105.0,60.0,430.0,199.0,1.0,5.0,38.0,105.0,14.0,5.0,8.0,10.0,34.0,17.0,3.132957606766235,0.4539930555555556,0.02983769149301176,0.13333333333333333,7.07484848484849,2.62286783008432,9.988,14.797241640872102,3.3567499999999995,3.1327231778139,0.22402682218609699,53.3333333333333,9.742857142857142,7.166666666666667,3.3666666666666667,40.0,0.5339047619047619,0.11122881355932203,0.12304711154172218,0.09433962264150944,0.10335707019328585,0.0014245014245014246,0.0011389521640091116,0.8235294117647058,0.2529761984181886,0.6190944881889764,9.676190476190476,0.5714285714285714,0.0298376914930117,7.0,10.483333333333333,0.5335064935064935,35.41379310344828,0.4599092284417549,0.4602203182374541,3.75,2.142857142857143,22.464285714285715,0.03571428571428571,36.285714285714285,4.557142857142857,0.03571428571428571,0.25,0.0,608.0,21.714285714285715,0.17269736842105263,1.0345394736842106,0.047619047619047616,0.5,0.17857142857142858,0.2857142857142857,0.35714285714285715,1.2142857142857142,0.09523809523809523,0.5,2023-2025,False
