gsis_id,season,name,position,games,targets,receptions,rec_yards,carries,rush_yards,ppr,ppg,touches,birth_date,rookie_season,draft_year,draft_round,draft_pick,display_name,age,exp,imputed_targets
00-0000003,1999,Abdul-Karim al-Jabbar,RB,13,22,17,84,143,445,81.89999999999999,6.299999999999999,165,1974-06-28,1996,,,,Abdul-Karim al-Jabbar,25.177275838466805,3,False
00-0000003,2000,Abdul-Karim al-Jabbar,RB,1,0,0,0,1,-2,-0.2,-0.2,1,1974-06-28,1996,,,,Abdul-Karim al-Jabbar,26.17932922655715,4,False
00-0000007,1999,Rabih Abdullah,RB,12,3,2,11,5,12,4.3,0.3583333333333333,8,1975-04-27,1998,,,,Rabih Abdullah,24.347707049965777,1,False
00-0000007,2000,Rabih Abdullah,RB,10,2,2,14,16,70,10.4,1.04,18,1975-04-27,1998,,,,Rabih Abdullah,25.349760438056126,2,False
00-0000007,2001,Rabih Abdullah,RB,14,2,2,26,11,40,8.6,0.6142857142857142,13,1975-04-27,1998,,,,Rabih Abdullah,26.349075975359344,3,False
00-0000007,2002,Rabih Abdullah,RB,12,0,0,0,0,0,0.0,0.0,0,1975-04-27,1998,,,,Rabih Abdullah,27.34839151266256,4,False
00-0000007,2003,Rabih Abdullah,RB,15,11,8,55,18,37,17.2,1.1466666666666667,29,1975-04-27,1998,,,,Rabih Abdullah,28.347707049965777,5,True
00-0000007,2004,Rabih Abdullah,RB,7,1,1,9,13,13,9.2,1.3142857142857145,14,1975-04-27,1998,,,,Rabih Abdullah,29.349760438056126,6,True
00-0000145,1999,Derrick Alexander,WR,16,105,54,832,2,82,163.4,10.2125,107,1971-11-06,1994,1994.0,1.0,29.0,Derrick Alexander,27.81930184804928,5,False
00-0000145,2000,Derrick Alexander,WR,15,136,74,1343,3,45,272.8,18.186666666666667,139,1971-11-06,1994,1994.0,1.0,29.0,Derrick Alexander,28.82135523613963,6,False
00-0000145,2001,Derrick Alexander,WR,13,68,27,470,2,16,93.6,7.199999999999999,70,1971-11-06,1994,1994.0,1.0,29.0,Derrick Alexander,29.82067077344285,7,False
00-0000145,2002,Derrick Alexander,WR,8,39,14,134,0,0,33.4,4.175,39,1971-11-06,1994,1994.0,1.0,29.0,Derrick Alexander,30.819986310746064,8,False
00-0000172,1999,Brian Alford,WR,2,5,1,7,0,0,7.7,3.85,5,1975-06-07,1998,1998.0,3.0,70.0,Brian Alford,24.23545516769336,1,False
00-0000210,1999,James Allen,RB,10,11,9,91,32,119,30.0,3.0,43,1975-03-28,1997,,,,James Allen,24.42984257357974,2,False
00-0000210,2000,James Allen,RB,16,60,39,291,290,1120,190.1,11.88125,350,1975-03-28,1997,,,,James Allen,25.43189596167009,3,False
00-0000210,2001,James Allen,RB,16,42,30,203,135,469,109.2,6.825,177,1975-03-28,1997,,,,James Allen,26.431211498973305,4,False
00-0000210,2002,James Allen,RB,16,57,47,302,155,519,133.3,8.33125,212,1975-03-28,1997,,,,James Allen,27.430527036276523,5,False
00-0000232,1999,Terry Allen,RB,16,19,14,125,254,896,162.1,10.13125,273,1968-02-21,1991,1990.0,9.0,241.0,Terry Allen,31.526351813826142,8,False
00-0000232,2000,Terry Allen,RB,4,1,1,7,46,179,33.6,8.4,47,1968-02-21,1991,1990.0,9.0,241.0,Terry Allen,32.5284052019165,9,False
00-0000232,2001,Terry Allen,RB,11,20,17,68,168,658,105.6,9.6,188,1968-02-21,1991,1990.0,9.0,241.0,Terry Allen,33.52772073921971,10,False
00-0000279,1999,Kimble Anders,RB,2,5,2,14,32,181,21.5,10.75,37,1966-09-10,1991,,,,Kimble Anders,32.97467488021903,8,False
00-0000279,2000,Kimble Anders,RB,12,19,15,76,76,331,65.7,5.4750000000000005,95,1966-09-10,1991,,,,Kimble Anders,33.97672826830938,9,False
00-0000316,1999,Jamal Anderson,RB,2,2,2,34,19,59,11.3,5.65,21,1972-09-30,1994,1994.0,7.0,201.0,Jamal Anderson,26.91854893908282,5,False
00-0000316,2000,Jamal Anderson,RB,16,58,42,382,282,1024,212.6,13.2875,340,1972-09-30,1994,1994.0,7.0,201.0,Jamal Anderson,27.920602327173167,6,False
00-0000316,2001,Jamal Anderson,RB,3,4,3,111,55,190,43.099999999999994,14.366666666666664,59,1972-09-30,1994,1994.0,7.0,201.0,Jamal Anderson,28.919917864476385,7,False
