season,team,qb_gsis_id,qb_name,qb_attempts,team_player_attempts,qb_att_share
2014,ARI,00-0025430,Drew Stanton,240,568,0.4225352112676056
2014,ATL,00-0026143,Matt Ryan,628,632,0.9936708860759493
2014,BAL,00-0026158,Joe Flacco,554,554,1.0
2014,BUF,00-0023541,Kyle Orton,447,579,0.772020725388601
2014,CAR,00-0027939,Cam Newton,448,545,0.8220183486238533
2014,CHI,00-0024226,Jay Cutler,561,609,0.9211822660098522
2014,CIN,00-0027973,Andy Dalton,481,503,0.9562624254473161
2014,CLE,00-0026625,Brian Hoyer,438,502,0.8725099601593626
2014,DAL,00-0021678,Tony Romo,435,476,0.9138655462184874
2014,DEN,00-0010346,Peyton Manning,597,607,0.9835255354200988
2014,DET,00-0026498,Matthew Stafford,602,604,0.9966887417218543
2014,GB,00-0023459,Aaron Rodgers,520,536,0.9701492537313433
2014,HOU,00-0023682,Ryan Fitzpatrick,312,485,0.643298969072165
2014,IND,00-0029668,Andrew Luck,616,661,0.9319213313161876
2014,JAX,00-0031407,Blake Bortles,475,557,0.8527827648114902
2014,KC,00-0023436,Alex Smith,464,493,0.9411764705882353
2014,LA,00-0028957,Austin Davis,284,515,0.5514563106796116
2014,LAC,00-0022942,Philip Rivers,570,574,0.9930313588850174
2014,LV,00-0031280,Derek Carr,599,629,0.9523052464228935
2014,MIA,00-0029701,Ryan Tannehill,590,595,0.9915966386554622
2014,MIN,00-0031237,Teddy Bridgewater,402,517,0.7775628626692457
2014,NE,00-0019596,Tom Brady,582,609,0.9556650246305419
2014,NO,00-0020531,Drew Brees,659,659,1.0
2014,NYG,00-0022803,Eli Manning,601,607,0.9901153212520593
2014,NYJ,00-0030565,Geno Smith,367,498,0.7369477911646586
2014,PHI,00-0029567,Nick Foles,311,621,0.500805152979066
2014,PIT,00-0022924,Ben Roethlisberger,608,612,0.9934640522875817
2014,SEA,00-0029263,Russell Wilson,452,454,0.9955947136563876
2014,SF,00-0027974,Colin Kaepernick,478,487,0.9815195071868583
2014,TB,00-0021206,Josh McCown,327,531,0.615819209039548
2014,TEN,00-0024296,Charlie Whitehurst,185,513,0.36062378167641324
2014,WAS,00-0029665,Robert Griffin III,214,547,0.3912248628884826
2015,ARI,00-0021429,Carson Palmer,537,562,0.9555160142348754
2015,ATL,00-0026143,Matt Ryan,614,621,0.9887278582930756
2015,BAL,00-0026158,Joe Flacco,413,676,0.6109467455621301
2015,BUF,00-0028118,Tyrod Taylor,380,465,0.8172043010752689
2015,CAR,00-0027939,Cam Newton,495,501,0.9880239520958084
2015,CHI,00-0024226,Jay Cutler,483,523,0.9235181644359465
2015,CIN,00-0027973,Andy Dalton,386,505,0.7643564356435644
2015,CLE,00-0021206,Josh McCown,292,609,0.4794745484400657
2015,DAL,00-0023662,Matt Cassel,204,528,0.38636363636363635
2015,DEN,00-0010346,Peyton Manning,331,606,0.5462046204620462
2015,DET,00-0026498,Matthew Stafford,592,632,0.9367088607594937
2015,GB,00-0023459,Aaron Rodgers,572,573,0.9982547993019197
2015,HOU,00-0026625,Brian Hoyer,369,619,0.5961227786752827
2015,IND,00-0029668,Andrew Luck,293,619,0.47334410339256866
2015,JAX,00-0031407,Blake Bortles,606,607,0.9983525535420099
2015,KC,00-0023436,Alex Smith,470,473,0.9936575052854123
2015,LA,00-0029567,Nick Foles,337,473,0.7124735729386892
2015,LAC,00-0022942,Philip Rivers,661,667,0.9910044977511244
2015,LV,00-0031280,Derek Carr,573,605,0.947107438016529
2015,MIA,00-0029701,Ryan Tannehill,586,588,0.9965986394557823
2015,MIN,00-0031237,Teddy Bridgewater,447,454,0.9845814977973568
2015,NE,00-0019596,Tom Brady,624,629,0.9920508744038156
2015,NO,00-0020531,Drew Brees,627,667,0.9400299850074962
2015,NYG,00-0022803,Eli Manning,618,623,0.9919743178170144
2015,NYJ,00-0023682,Ryan Fitzpatrick,562,604,0.9304635761589404
2015,PHI,00-0027854,Sam Bradford,532,623,0.8539325842696629
2015,PIT,00-0022924,Ben Roethlisberger,469,590,0.7949152542372881
2015,SEA,00-0029263,Russell Wilson,483,489,0.9877300613496932
2015,SF,00-0027948,Blaine Gabbert,282,526,0.5361216730038023
2015,TB,00-0031503,Jameis Winston,535,535,1.0
2015,TEN,00-0032268,Marcus Mariota,370,551,0.6715063520871143
2015,WAS,00-0029604,Kirk Cousins,543,555,0.9783783783783784
2016,ARI,00-0021429,Carson Palmer,597,646,0.9241486068111455
2016,ATL,00-0026143,Matt Ryan,534,537,0.994413407821229
2016,BAL,00-0026158,Joe Flacco,672,679,0.9896907216494846
2016,BUF,00-0028118,Tyrod Taylor,436,474,0.919831223628692
2016,CAR,00-0027939,Cam Newton,510,563,0.9058614564831261
2016,CHI,00-0030533,Matt Barkley,216,559,0.38640429338103754
2016,CIN,00-0027973,Andy Dalton,563,563,1.0
2016,CLE,00-0033104,Cody Kessler,195,567,0.3439153439153439
2016,DAL,00-0033077,Dak Prescott,459,483,0.9503105590062112
2016,DEN,00-0032156,Trevor Siemian,486,570,0.8526315789473684
2016,DET,00-0026498,Matthew Stafford,594,594,1.0
2016,GB,00-0023459,Aaron Rodgers,610,620,0.9838709677419355
2016,HOU,00-0029682,Brock Osweiler,510,583,0.8747855917667239
2016,IND,00-0029668,Andrew Luck,545,584,0.9332191780821918
2016,JAX,00-0031407,Blake Bortles,625,626,0.9984025559105432
2016,KC,00-0023436,Alex Smith,489,546,0.8956043956043956
2016,LA,00-0028986,Case Keenum,322,536,0.6007462686567164
2016,LAC,00-0022942,Philip Rivers,578,580,0.996551724137931
2016,LV,00-0031280,Derek Carr,560,596,0.9395973154362416
2016,MIA,00-0029701,Ryan Tannehill,389,477,0.8155136268343816
2016,MIN,00-0027854,Sam Bradford,552,588,0.9387755102040817
2016,NE,00-0019596,Tom Brady,432,550,0.7854545454545454
2016,NO,00-0020531,Drew Brees,673,674,0.9985163204747775
2016,NYG,00-0022803,Eli Manning,598,598,1.0
2016,NYJ,00-0023682,Ryan Fitzpatrick,403,550,0.7327272727272728
2016,PHI,00-0032950,Carson Wentz,607,609,0.9967159277504105
2016,PIT,00-0022924,Ben Roethlisberger,509,596,0.8540268456375839
2016,SEA,00-0029263,Russell Wilson,546,567,0.9629629629629629
2016,SF,00-0027974,Colin Kaepernick,331,491,0.6741344195519349
2016,TB,00-0031503,Jameis Winston,567,578,0.9809688581314879
2016,TEN,00-0032268,Marcus Mariota,451,504,0.8948412698412699
2016,WAS,00-0029604,Kirk Cousins,606,607,0.9983525535420099
2017,ARI,00-0021429,Carson Palmer,267,598,0.44648829431438125
2017,ATL,00-0026143,Matt Ryan,529,530,0.9981132075471698
2017,BAL,00-0026158,Joe Flacco,549,567,0.9682539682539683
2017,BUF,00-0028118,Tyrod Taylor,420,475,0.8842105263157894
2017,CAR,00-0027939,Cam Newton,492,501,0.9820359281437125
2017,CHI,00-0033869,Mitchell Trubisky,330,473,0.6976744186046512
2017,CIN,00-0027973,Andy Dalton,496,510,0.9725490196078431
2017,CLE,00-0033899,DeShone Kizer,476,574,0.8292682926829268
2017,DAL,00-0033077,Dak Prescott,490,493,0.9939148073022313
2017,DEN,00-0032156,Trevor Siemian,349,566,0.6166077738515902
2017,DET,00-0026498,Matthew Stafford,565,570,0.9912280701754386
2017,GB,00-0031589,Brett Hundley,316,562,0.5622775800711743
2017,HOU,00-0031064,Tom Savage,223,525,0.4247619047619048
2017,IND,00-0033119,Jacoby Brissett,469,487,0.9630390143737166
2017,JAX,00-0031407,Blake Bortles,523,527,0.9924098671726755
2017,KC,00-0023436,Alex Smith,505,543,0.9300184162062615
2017,LA,00-0033106,Jared Goff,477,518,0.9208494208494209
2017,LAC,00-0022942,Philip Rivers,575,583,0.9862778730703259
2017,LV,00-0031280,Derek Carr,515,558,0.9229390681003584
2017,MIA,00-0024226,Jay Cutler,429,602,0.7126245847176079
