player_id,player_display_name,season,games,targets,tpg,team_first,team_last_prev,has_prior,team_change,qb_change_same_team,any_change
00-0020337,Steve Smith,2015,7,73,10.428571428571429,BAL,BAL,True,0.0,0.0,0.0
00-0022044,Andre Johnson,2015,16,77,4.8125,IND,HOU,True,1.0,0.0,1.0
00-0022084,Anquan Boldin,2015,14,111,7.928571428571429,SF,SF,True,0.0,1.0,1.0
00-0022414,Malcom Floyd,2015,15,69,4.6,LAC,LAC,True,0.0,0.0,0.0
00-0022427,Wes Welker,2015,7,22,3.142857142857143,LA,DEN,True,1.0,0.0,1.0
00-0022811,Jerricho Cotchery,2015,14,54,3.857142857142857,CAR,CAR,True,0.0,0.0,0.0
00-0022921,Larry Fitzgerald,2015,16,145,9.0625,ARI,ARI,True,0.0,1.0,1.0
00-0023310,Lance Moore,2015,13,43,3.3076923076923075,DET,PIT,True,1.0,0.0,1.0
00-0023367,Nate Washington,2015,13,94,7.230769230769231,HOU,TEN,True,1.0,0.0,1.0
00-0023462,Roddy White,2015,15,70,4.666666666666667,ATL,ATL,True,0.0,0.0,0.0
00-0023496,Vincent Jackson,2015,10,62,6.2,TB,TB,True,0.0,1.0,1.0
00-0024267,Greg Jennings,2015,12,36,3.0,MIA,MIN,True,1.0,0.0,1.0
00-0024334,Brandon Marshall,2015,16,173,10.8125,NYJ,CHI,True,1.0,0.0,1.0
00-0024466,Marques Colston,2015,13,67,5.153846153846154,NO,NO,True,0.0,0.0,0.0
00-0025389,Calvin Johnson,2015,16,149,9.3125,DET,DET,True,0.0,0.0,0.0
00-0025396,Ted Ginn,2015,15,96,6.4,CAR,ARI,True,1.0,0.0,1.0
00-0025465,James Jones,2015,16,99,6.1875,GB,LV,True,1.0,0.0,1.0
00-0026035,Danny Amendola,2015,14,87,6.214285714285714,NE,NE,True,0.0,0.0,0.0
00-0026182,Eddie Royal,2015,9,50,5.555555555555555,CHI,LAC,True,1.0,0.0,1.0
00-0026186,Jerome Simpson,2015,5,19,3.8,SF,,False,,,
00-0026189,DeSean Jackson,2015,9,49,5.444444444444445,WAS,WAS,True,0.0,1.0,1.0
00-0026224,Harry Douglas,2015,14,72,5.142857142857143,TEN,ATL,True,1.0,0.0,1.0
00-0026345,Pierre Garcon,2015,16,111,6.9375,WAS,WAS,True,0.0,1.0,1.0
00-0026364,Steve Johnson,2015,9,65,7.222222222222222,LAC,SF,True,1.0,0.0,1.0
00-0026739,Jordan Norwood,2015,10,32,3.2,DEN,,False,,,
00-0026901,Mike Wallace,2015,15,72,4.8,MIN,MIA,True,1.0,0.0,1.0
00-0026986,Michael Crabtree,2015,16,146,9.125,LV,SF,True,1.0,0.0,1.0
00-0026995,Jeremy Maclin,2015,15,124,8.266666666666667,KC,PHI,True,1.0,0.0,1.0
00-0026998,Percy Harvin,2015,5,30,6.0,BUF,NYJ,True,1.0,0.0,1.0
00-0027006,Kenny Britt,2015,16,72,4.5,LA,LA,True,0.0,1.0,1.0
00-0027077,Brian Hartline,2015,12,77,6.416666666666667,CLE,MIA,True,1.0,0.0,1.0
00-0027089,Louis Murphy,2015,5,18,3.6,TB,TB,True,0.0,1.0,1.0
00-0027150,Julian Edelman,2015,9,88,9.777777777777779,NE,NE,True,0.0,0.0,0.0
00-0027450,Preston Parker,2015,2,12,6.0,NYG,NYG,True,0.0,0.0,0.0
00-0027595,Bryan Walters,2015,11,45,4.090909090909091,JAX,SEA,True,1.0,0.0,1.0
00-0027651,Dexter McCluster,2015,11,41,3.727272727272727,TEN,TEN,True,0.0,1.0,1.0
00-0027681,Brandon LaFell,2015,11,74,6.7272727272727275,NE,NE,True,0.0,0.0,0.0
00-0027685,Emmanuel Sanders,2015,15,137,9.133333333333333,DEN,DEN,True,0.0,0.0,0.0
00-0027690,Eric Decker,2015,15,132,8.8,NYJ,NYJ,True,0.0,1.0,1.0
00-0027758,Riley Cooper,2015,12,41,3.4166666666666665,PHI,PHI,True,0.0,1.0,1.0
00-0027793,Antonio Brown,2015,16,193,12.0625,PIT,PIT,True,0.0,0.0,0.0
00-0027874,Demaryius Thomas,2015,16,177,11.0625,DEN,DEN,True,0.0,0.0,0.0
00-0027891,Golden Tate,2015,16,128,8.0,DET,DET,True,0.0,0.0,0.0
00-0027902,Dez Bryant,2015,9,72,8.0,DAL,DAL,True,0.0,1.0,1.0
00-0027918,Andrew Hawkins,2015,8,43,5.375,CLE,CLE,True,0.0,1.0,1.0
00-0027942,A.J. Green,2015,16,132,8.25,CIN,CIN,True,0.0,0.0,0.0
00-0027944,Julio Jones,2015,16,203,12.6875,ATL,ATL,True,0.0,0.0,0.0
00-0027996,Torrey Smith,2015,16,62,3.875,SF,BAL,True,1.0,0.0,1.0
00-0028002,Randall Cobb,2015,16,129,8.0625,GB,GB,True,0.0,0.0,0.0
00-0028017,Leonard Hankerson,2015,7,46,6.571428571428571,ATL,WAS,True,1.0,0.0,1.0
00-0028052,Cecil Shorts,2015,11,75,6.818181818181818,HOU,JAX,True,1.0,0.0,1.0
