team,prior_targets,vacated_targets,vacated_share,unmatched_targets,unmatched_share
ARI,617,160,0.2593192868719611,31,0.050243111831442464
ATL,519,165,0.3179190751445087,0,0.0
BAL,407,114,0.2800982800982801,0,0.0
BUF,479,57,0.11899791231732777,0,0.0
CAR,480,76,0.15833333333333333,0,0.0
CHI,532,161,0.3026315789473684,0,0.0
CIN,608,41,0.06743421052631579,0,0.0
CLE,522,93,0.1781609195402299,0,0.0
DAL,607,57,0.09390444810543658,15,0.02471169686985173
DEN,584,12,0.02054794520547945,8,0.0136986301369863
DET,550,80,0.14545454545454545,1,0.0018181818181818182
GB,460,185,0.40217391304347827,13,0.02826086956521739
HOU,553,102,0.1844484629294756,0,0.0
IND,530,153,0.28867924528301886,6,0.011320754716981131
JAX,547,177,0.3235831809872029,45,0.08226691042047532
KC,549,174,0.31693989071038253,0,0.0
LA,581,15,0.025817555938037865,0,0.0
LAC,544,165,0.30330882352941174,5,0.009191176470588236
LV,494,105,0.2125506072874494,0,0.0
MIA,462,245,0.5303030303030303,0,0.0
MIN,468,84,0.1794871794871795,0,0.0
NE,482,133,0.27593360995850624,2,0.004149377593360996
NO,565,156,0.2761061946902655,13,0.023008849557522124
NYG,503,177,0.3518886679920477,0,0.0
NYJ,472,116,0.2457627118644068,0,0.0
PHI,464,175,0.3771551724137931,0,0.0
PIT,522,250,0.4789272030651341,4,0.007662835249042145
SEA,455,40,0.08791208791208792,1,0.002197802197802198
SF,550,170,0.3090909090909091,0,0.0
TB,541,165,0.3049907578558225,1,0.0018484288354898336
TEN,530,164,0.30943396226415093,0,0.0
WAS,432,226,0.5231481481481481,0,0.0
