team,season,prior_targets,vacated_targets,vacated_share
ARI,2015,561,124,0.22103386809269163
ATL,2015,623,161,0.25842696629213485
BAL,2015,541,224,0.41404805914972276
BUF,2015,572,242,0.4230769230769231
CAR,2015,540,209,0.387037037037037
CHI,2015,608,166,0.2730263157894737
CIN,2015,493,128,0.25963488843813387
CLE,2015,499,203,0.40681362725450904
DAL,2015,471,76,0.1613588110403397
DEN,2015,603,168,0.27860696517412936
DET,2015,590,118,0.2
GB,2015,531,171,0.3220338983050847
HOU,2015,480,210,0.4375
IND,2015,647,219,0.3384853168469861
JAX,2015,553,183,0.3309222423146474
KC,2015,485,202,0.41649484536082476
LA,2015,506,46,0.09090909090909091
LAC,2015,567,120,0.21164021164021163
LV,2015,619,316,0.5105008077544426
MIA,2015,593,342,0.5767284991568297
MIN,2015,510,142,0.2784313725490196
NE,2015,601,155,0.2579034941763727
NO,2015,649,329,0.5069337442218799
NYG,2015,599,93,0.15525876460767946
NYJ,2015,482,196,0.4066390041493776
PHI,2015,612,194,0.31699346405228757
PIT,2015,601,58,0.09650582362728785
SEA,2015,432,87,0.2013888888888889
SF,2015,484,232,0.4793388429752066
TB,2015,523,19,0.036328871892925434
TEN,2015,505,160,0.31683168316831684
WAS,2015,544,144,0.2647058823529412
ARI,2016,550,0,0.0
ATL,2016,617,121,0.19611021069692058
BAL,2016,668,169,0.25299401197604793
BUF,2016,462,109,0.23593073593073594
CAR,2016,494,56,0.11336032388663968
CHI,2016,519,180,0.3468208092485549
CIN,2016,495,156,0.3151515151515151
CLE,2016,601,323,0.5374376039933444
DAL,2016,519,48,0.09248554913294797
DEN,2016,604,162,0.2682119205298013
DET,2016,622,232,0.3729903536977492
GB,2016,565,115,0.20353982300884957
HOU,2016,614,249,0.40553745928338764
IND,2016,604,224,0.3708609271523179
JAX,2016,601,34,0.056572379367720464
KC,2016,463,26,0.056155507559395246
LA,2016,468,144,0.3076923076923077
LAC,2016,659,273,0.4142640364188164
LV,2016,601,54,0.08985024958402663
MIA,2016,581,167,0.2874354561101549
MIN,2016,443,72,0.16252821670428894
NE,2016,624,186,0.2980769230769231
NO,2016,663,270,0.4072398190045249
NYG,2016,615,170,0.2764227642276423
NYJ,2016,602,148,0.24584717607973422
PHI,2016,620,134,0.2161290322580645
PIT,2016,584,183,0.3133561643835616
SEA,2016,472,115,0.24364406779661016
SF,2016,525,233,0.4438095238095238
TB,2016,525,53,0.10095238095238095
TEN,2016,543,196,0.36095764272559855
WAS,2016,555,53,0.09549549549549549
ARI,2017,636,94,0.14779874213836477
ATL,2017,530,79,0.1490566037735849
BAL,2017,665,411,0.6180451127819548
BUF,2017,459,290,0.6318082788671024
CAR,2017,553,166,0.30018083182640143
CHI,2017,550,300,0.5454545454545454
