round,pick_in_round,team_slot,player,overall,is_mine,note
1,1,1,Jahmyr Gibbs,1,False,
1,2,2,Bijan Robinson,2,False,
1,3,3,Ja'Marr Chase,3,False,
1,4,4,Puka Nacua,4,False,
1,5,5,Christian McCaffrey,5,True,
1,6,6,Jaxon Smith-Njigba,6,False,
1,7,7,Amon-Ra St. Brown,7,False,
1,8,8,Chase Brown,8,False,
1,9,9,James Cook,9,False,
1,10,10,Omarion Hampton,10,False,
2,1,10,Jonathan Taylor,11,False,
2,2,9,CeeDee Lamb,12,False,
2,3,8,Kenneth Walker,13,False,
2,4,7,Ashton Jeanty,14,False,
2,5,6,De'Von Achane,15,False,
2,6,5,Saquon Barkley,16,True,
2,7,4,Brock Bowers,17,False,
2,8,3,Justin Jefferson,18,False,
2,9,2,A.J. Brown,19,False,
2,10,1,Derrick Henry,20,False,
3,1,1,Drake London,21,False,
3,2,2,George Pickens,22,False,
3,3,3,Jeremiyah Love,23,False,
3,4,4,Nico Collins,24,False,
3,5,5,Malik Nabers,25,False,"my original slot, traded to Sharks"
3,6,6,Rashee Rice,26,False,
3,7,7,Chris Olave,27,True,
3,8,8,DeVonta Smith,28,False,
3,9,9,Ladd McConkey,29,False,
3,10,10,Kyren Williams,30,False,
4,1,10,Tee Higgins,31,False,
4,2,9,Emeka Egbuka,32,False,
4,3,8,Trey McBride,33,False,
4,4,7,Zay Flowers,34,True,
4,5,6,Tetairoa McMillan,35,False,
4,6,5,Luther Burden III,36,False,"my original slot, traded to Sharks"
4,7,4,Javonte Williams,37,False,
4,8,3,Breece Hall,38,False,
4,9,2,Josh Jacobs,39,False,
4,10,1,Josh Allen,40,False,
5,1,1,Jaylen Waddle,41,False,
5,2,2,Colston Loveland,42,False,
5,3,3,Cam Skattebo,43,False,
5,4,4,Travis Etienne Jr.,44,False,
5,5,5,Bhayshul Tuten,45,False,"my original slot, traded to Sharks"
5,6,6,Bucky Irving,46,False,
5,7,7,Garrett Wilson,47,True,
5,8,8,Lamar Jackson,48,False,
5,9,9,David Montgomery,49,False,
5,10,10,Drake Maye,50,False,
6,1,10,Davante Adams,51,False,
6,2,9,Tyler Warren,52,False,
6,3,8,Jameson Williams,53,False,
6,4,7,D'Andre Swift,54,True,
6,5,6,Jayden Daniels,55,False,
6,6,5,TreVeyon Henderson,56,False,"my original slot, traded to Sharks"
6,7,4,Quinshon Judkins,57,False,
6,8,3,Joe Burrow,58,False,
6,9,2,Terry McLaurin,59,False,
6,10,1,DJ Moore,60,False,
7,1,1,Rome Odunze,61,False,
7,2,2,Jadarian Price,62,False,
7,3,3,Mike Evans,63,False,
7,4,4,Carnell Tate,64,False,
7,5,5,Christian Watson,65,True,
7,6,6,Sam LaPorta,66,False,
7,7,7,Jonathon Brooks,67,False,
7,8,8,Brian Thomas Jr.,68,False,
7,9,9,Parker Washington,69,False,
7,10,10,Tucker Kraft,70,False,
8,1,10,Marvin Harrison Jr.,71,False,
8,2,9,Jalen Hurts,72,False,
8,3,8,Jaylen Warren,73,False,
8,4,7,Caleb Williams,74,True,
8,5,6,Rhamondre Stevenson,75,False,
8,6,5,RJ Harvey,76,False,"my original slot, traded to Sharks"
8,7,4,Harold Fannin Jr.,77,False,
8,8,3,Kyle Pitts,78,False,
8,9,2,DK Metcalf,79,False,
8,10,1,Michael Pittman Jr.,80,False,
9,1,1,Jordyn Tyson,81,False,
9,2,2,Chuba Hubbard,82,False,
9,3,3,Courtland Sutton,83,False,
9,4,4,Jordan Addison,84,False,
9,5,5,Makai Lemon,85,True,
9,6,6,Tony Pollard,86,False,
9,7,7,Chris Godwin,87,False,
