overall,round,slot,player,pos,nfl_team,picked_by,k,final,adp
5,1,5,Christian McCaffrey,RB,SF,1.0841794146336645e+18,christian mccaffrey,12.176922423207584,5.3
16,2,5,Saquon Barkley,RB,PHI,1.0841794146336645e+18,saquon barkley,9.633204356032396,18.7
27,3,7,Chris Olave,WR,NO,,chris olave,8.419248047021613,20.1
34,4,7,Zay Flowers,WR,BAL,,zay flowers,8.33498281382771,26.6
47,5,7,Garrett Wilson,WR,NYJ,,garrett wilson,7.72482466317768,28.5
54,6,7,D'Andre Swift,RB,CHI,,dandre swift,5.964104229073328,44.4
65,7,5,Christian Watson,WR,GB,1.0841794146336645e+18,christian watson,6.005679518107883,68.7
74,8,7,Caleb Williams,QB,CHI,,caleb williams,5.500854847552748,106.4
85,9,5,Makai Lemon,WR,PHI,1.0841794146336645e+18,makai lemon,3.787655271368103,106.4
87,9,7,Chris Godwin,WR,TB,,chris godwin,4.2155338010971715,88.1
105,11,5,Dallas Goedert,TE,PHI,1.0841794146336645e+18,dallas goedert,1.7846746627675345,105.3
116,12,5,Jordan Mason,RB,MIN,1.0841794146336645e+18,jordan mason,1.6904332672888045,122.3
125,13,5,Chris Rodriguez,RB,JAX,1.0841794146336645e+18,chris rodriguez,0.6675374584407907,160.6
136,14,5,Kyler Murray,QB,MIN,1.0841794146336645e+18,kyler murray,2.5779126724764483,145.0
145,15,5,Los Angeles Chargers,DEF,LAC,1.0841794146336645e+18,los angeles chargers,,
