position,tier,order,name
RB,1,1,Christian McCaffrey
RB,1,2,Jahmyr Gibbs
RB,1,3,Bijan Robinson
RB,2,1,Jonathan Taylor
RB,2,2,James Cook III
RB,2,3,Chase Brown
RB,2,4,Omarion Hampton
RB,2,5,De'Von Achane
RB,2,6,Kenneth Walker
RB,2,7,Saquon Barkley
RB,3,1,Derrick Henry
RB,4,1,Travis Etienne Jr.
RB,4,2,Jeremiyah Love
RB,4,3,Kyren Williams
RB,4,4,Javonte Williams
RB,4,5,Breece Hall
RB,5,1,D'Andre Swift
RB,5,2,Josh Jacobs
RB,5,3,David Montgomery
RB,5,4,Quinshon Judkins
RB,5,5,Cam Skattebo
RB,6,1,TreVeyon Henderson
RB,6,2,Bucky Irving
RB,6,3,Jadarian Price
RB,6,4,Tony Pollard
RB,6,5,Bhayshul Tuten
RB,6,6,Jaylen Warren
RB,6,7,Rachaad White
RB,6,8,RJ Harvey
RB,6,9,Rico Dowdle
RB,6,10,Rhamondre Stevenson
RB,6,11,Chuba Hubbard
RB,6,12,Kenny Gainwell
WR,1,1,Ja'Marr Chase
WR,1,2,Puka Nacua
WR,2,1,Jaxon Smith-Njigba
WR,2,2,Amon-Ra St. Brown
WR,2,3,CeeDee Lamb
WR,2,4,Justin Jefferson
WR,3,1,A.J. Brown
WR,3,2,Drake London
WR,3,3,Chris Olave
WR,3,4,Nico Collins
WR,3,5,George Pickens
WR,3,6,Malik Nabers
WR,3,7,Rashee Rice
WR,3,8,DeVonta Smith
WR,3,9,Ladd McConkey
WR,4,1,Emeka Egbuka
WR,4,2,Zay Flowers
WR,4,3,Garrett Wilson
WR,4,4,Tee Higgins
WR,4,5,Luther Burden III
WR,4,6,Jaylen Waddle
WR,4,7,DJ Moore
WR,4,8,Tetairoa McMillan
