overall,rnd,pick_in_rnd,slot,original,owner,traded
1,1,1,1,vcashdaddy,vcashdaddy,0
2,1,2,2,JamesCS,JamesCS,0
3,1,3,3,Crollll,Crollll,0
4,1,4,4,cosabosa,cosabosa,0
5,1,5,5,timmy2tufff,timmy2tufff,0
6,1,6,6,WillHayes33,WillHayes33,0
7,1,7,7,SharksGeneralManager,SharksGeneralManager,0
8,1,8,8,HouseofCB,HouseofCB,0
9,1,9,9,OscarDempsey,OscarDempsey,0
10,1,10,10,drdray1,drdray1,0
11,2,1,10,drdray1,WillHayes33,1
12,2,2,9,OscarDempsey,cosabosa,1
13,2,3,8,HouseofCB,HouseofCB,0
14,2,4,7,SharksGeneralManager,SharksGeneralManager,0
15,2,5,6,WillHayes33,drdray1,1
16,2,6,5,timmy2tufff,timmy2tufff,0
17,2,7,4,cosabosa,vcashdaddy,1
18,2,8,3,Crollll,Crollll,0
19,2,9,2,JamesCS,JamesCS,0
20,2,10,1,vcashdaddy,OscarDempsey,1
21,3,1,1,vcashdaddy,OscarDempsey,1
22,3,2,2,JamesCS,JamesCS,0
23,3,3,3,Crollll,Crollll,0
24,3,4,4,cosabosa,vcashdaddy,1
25,3,5,5,timmy2tufff,SharksGeneralManager,1
26,3,6,6,WillHayes33,drdray1,1
27,3,7,7,SharksGeneralManager,timmy2tufff,1
28,3,8,8,HouseofCB,HouseofCB,0
29,3,9,9,OscarDempsey,cosabosa,1
30,3,10,10,drdray1,WillHayes33,1
31,4,1,10,drdray1,drdray1,0
32,4,2,9,OscarDempsey,OscarDempsey,0
33,4,3,8,HouseofCB,HouseofCB,0
34,4,4,7,SharksGeneralManager,timmy2tufff,1
35,4,5,6,WillHayes33,WillHayes33,0
36,4,6,5,timmy2tufff,SharksGeneralManager,1
37,4,7,4,cosabosa,OscarDempsey,1
38,4,8,3,Crollll,Crollll,0
39,4,9,2,JamesCS,JamesCS,0
40,4,10,1,vcashdaddy,vcashdaddy,0
41,5,1,1,vcashdaddy,vcashdaddy,0
42,5,2,2,JamesCS,JamesCS,0
43,5,3,3,Crollll,Crollll,0
44,5,4,4,cosabosa,cosabosa,0
45,5,5,5,timmy2tufff,SharksGeneralManager,1
46,5,6,6,WillHayes33,WillHayes33,0
47,5,7,7,SharksGeneralManager,timmy2tufff,1
48,5,8,8,HouseofCB,HouseofCB,0
49,5,9,9,OscarDempsey,OscarDempsey,0
50,5,10,10,drdray1,drdray1,0
51,6,1,10,drdray1,drdray1,0
52,6,2,9,OscarDempsey,cosabosa,1
53,6,3,8,HouseofCB,HouseofCB,0
54,6,4,7,SharksGeneralManager,timmy2tufff,1
55,6,5,6,WillHayes33,WillHayes33,0
56,6,6,5,timmy2tufff,SharksGeneralManager,1
57,6,7,4,cosabosa,cosabosa,0
58,6,8,3,Crollll,Crollll,0
59,6,9,2,JamesCS,JamesCS,0
60,6,10,1,vcashdaddy,vcashdaddy,0
61,7,1,1,vcashdaddy,cosabosa,1
62,7,2,2,JamesCS,JamesCS,0
63,7,3,3,Crollll,Crollll,0
64,7,4,4,cosabosa,vcashdaddy,1
65,7,5,5,timmy2tufff,timmy2tufff,0
66,7,6,6,WillHayes33,WillHayes33,0
67,7,7,7,SharksGeneralManager,SharksGeneralManager,0
68,7,8,8,HouseofCB,HouseofCB,0
69,7,9,9,OscarDempsey,OscarDempsey,0
70,7,10,10,drdray1,drdray1,0
71,8,1,10,drdray1,drdray1,0
72,8,2,9,OscarDempsey,OscarDempsey,0
73,8,3,8,HouseofCB,HouseofCB,0
74,8,4,7,SharksGeneralManager,timmy2tufff,1
75,8,5,6,WillHayes33,WillHayes33,0
76,8,6,5,timmy2tufff,SharksGeneralManager,1
77,8,7,4,cosabosa,cosabosa,0
78,8,8,3,Crollll,Crollll,0
79,8,9,2,JamesCS,JamesCS,0
80,8,10,1,vcashdaddy,vcashdaddy,0
81,9,1,1,vcashdaddy,vcashdaddy,0
82,9,2,2,JamesCS,JamesCS,0
83,9,3,3,Crollll,Crollll,0
84,9,4,4,cosabosa,cosabosa,0
85,9,5,5,timmy2tufff,timmy2tufff,0
86,9,6,6,WillHayes33,WillHayes33,0
87,9,7,7,SharksGeneralManager,timmy2tufff,1
88,9,8,8,HouseofCB,HouseofCB,0
89,9,9,9,OscarDempsey,OscarDempsey,0
90,9,10,10,drdray1,drdray1,0
91,10,1,10,drdray1,drdray1,0
92,10,2,9,OscarDempsey,OscarDempsey,0
93,10,3,8,HouseofCB,HouseofCB,0
94,10,4,7,SharksGeneralManager,SharksGeneralManager,0
95,10,5,6,WillHayes33,WillHayes33,0
96,10,6,5,timmy2tufff,SharksGeneralManager,1
97,10,7,4,cosabosa,cosabosa,0
98,10,8,3,Crollll,Crollll,0
99,10,9,2,JamesCS,JamesCS,0
100,10,10,1,vcashdaddy,vcashdaddy,0
101,11,1,1,vcashdaddy,vcashdaddy,0
102,11,2,2,JamesCS,JamesCS,0
103,11,3,3,Crollll,Crollll,0
104,11,4,4,cosabosa,cosabosa,0
105,11,5,5,timmy2tufff,timmy2tufff,0
