rb_adp_rank,player_id,name,position,team,adp,adp_formatted,times_drafted,high,low,stdev,bye,pulled_meta,norm,gsis_id,display_name,birth_date,rookie_season,last_season,years_of_experience,draft_year,draft_round,draft_pick,draft_team,height,weight,college_name,ngs_position
1,5672,Jahmyr Gibbs,RB,DET,1.6,1.02,993,1,4,0.7,6,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 5187, ""start_date"": ""2026-08-01"", ""end_date"": ""2026-08-08""}",jahmyr gibbs,00-0039139,Jahmyr Gibbs,2002-03-20,2023,2026,4,2023.0,1.0,12.0,DET,69.0,202.0,Alabama; Georgia Tech,
2,5670,Bijan Robinson,RB,ATL,2.0,1.02,709,1,4,0.8,11,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 5187, ""start_date"": ""2026-08-01"", ""end_date"": ""2026-08-08""}",bijan robinson,00-0038542,Bijan Robinson,2002-01-30,2023,2026,4,2023.0,1.0,8.0,ATL,71.0,215.0,Texas,
3,2434,Christian McCaffrey,RB,SF,5.3,1.05,588,2,10,1.3,8,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 5187, ""start_date"": ""2026-08-01"", ""end_date"": ""2026-08-08""}",christian mccaffrey,00-0033280,Christian McCaffrey,1996-06-07,2017,2026,10,2017.0,1.0,8.0,CAR,71.0,210.0,Stanford,
4,4864,Jonathan Taylor,RB,IND,7.5,1.08,904,3,15,1.6,13,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 5187, ""start_date"": ""2026-08-01"", ""end_date"": ""2026-08-08""}",jonathan taylor,00-0036223,Jonathan Taylor,1999-01-19,2020,2026,7,2020.0,2.0,41.0,IND,70.0,226.0,Wisconsin,
5,5683,De'Von Achane,RB,MIA,9.4,1.09,339,4,14,1.8,6,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 5187, ""start_date"": ""2026-08-01"", ""end_date"": ""2026-08-08""}",devon achane,00-0039040,De'Von Achane,2001-10-13,2023,2026,4,2023.0,3.0,84.0,MIA,69.0,191.0,Texas A&M,
6,5706,Chase Brown,RB,CIN,12.2,1.12,719,6,19,2.3,6,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 5187, ""start_date"": ""2026-08-01"", ""end_date"": ""2026-08-08""}",chase brown,00-0038597,Chase Brown,2000-03-21,2023,2026,4,2023.0,5.0,163.0,CIN,70.0,211.0,Illinois; Western Michigan,
7,6500,Ashton Jeanty,RB,LV,14.1,2.02,612,6,22,3.0,13,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 5187, ""start_date"": ""2026-08-01"", ""end_date"": ""2026-08-08""}",ashton jeanty,00-0040122,Ashton Jeanty,2003-12-02,2025,2026,2,2025.0,1.0,6.0,LV,68.0,208.0,Boise State,
8,5652,James Cook III,RB,BUF,15.1,2.03,1422,7,23,3.0,7,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 5187, ""start_date"": ""2026-08-01"", ""end_date"": ""2026-08-08""}",james cook,00-0037248,James Cook,1999-09-25,2022,2026,5,2022.0,2.0,63.0,BUF,71.0,190.0,Georgia,
9,2350,Derrick Henry,RB,BAL,16.1,2.04,368,7,24,3.1,13,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 5187, ""start_date"": ""2026-08-01"", ""end_date"": ""2026-08-08""}",derrick henry,00-0032764,Derrick Henry,1994-01-04,2016,2026,11,2016.0,2.0,45.0,TEN,75.0,252.0,Alabama,
10,2860,Saquon Barkley,RB,PHI,18.7,2.07,1237,9,28,3.4,10,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 5187, ""start_date"": ""2026-08-01"", ""end_date"": ""2026-08-08""}",saquon barkley,00-0034844,Saquon Barkley,1997-02-09,2018,2026,9,2018.0,1.0,2.0,NYG,72.0,232.0,Penn State,
