wr_adp_rank,player_id,name,position,team,adp,adp_formatted,times_drafted,high,low,stdev,bye,pulled_meta,norm,gsis_id,display_name,birth_date,rookie_season,last_season,years_of_experience,draft_year,draft_round,draft_pick,draft_team,height,weight,college_name,ngs_position
1,5714,Puka Nacua,WR,LAR,2.8,1.03,50,1,4,0.6,11,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 1737, ""start_date"": ""2026-07-06"", ""end_date"": ""2026-07-13""}",puka nacua,00-0039075,Puka Nacua,2001-05-29,2023,2026,4,2023.0,5.0,177.0,LA,74.0,216.0,BYU; Washington,
2,5177,Ja'Marr Chase,WR,CIN,3.9,1.04,298,1,7,0.9,6,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 1737, ""start_date"": ""2026-07-06"", ""end_date"": ""2026-07-13""}",jamarr chase,00-0036900,Ja'Marr Chase,2000-03-01,2021,2026,6,2021.0,1.0,5.0,CIN,72.0,205.0,LSU,
3,5671,Jaxon Smith-Njigba,WR,SEA,6.1,1.06,154,2,10,1.3,11,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 1737, ""start_date"": ""2026-07-06"", ""end_date"": ""2026-07-13""}",jaxon smithnjigba,00-0038543,Jaxon Smith-Njigba,2002-02-14,2023,2026,4,2023.0,1.0,20.0,SEA,72.0,197.0,Ohio State,
4,5182,Amon-Ra St. Brown,WR,DET,7.6,1.08,115,5,12,1.5,6,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 1737, ""start_date"": ""2026-07-06"", ""end_date"": ""2026-07-13""}",amonra st brown,00-0036963,Amon-Ra St. Brown,1999-10-24,2021,2026,6,2021.0,4.0,112.0,DET,72.0,202.0,USC,
5,4876,Justin Jefferson,WR,MIN,10.0,1.10,134,6,15,1.5,6,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 1737, ""start_date"": ""2026-07-06"", ""end_date"": ""2026-07-13""}",justin jefferson,00-0036322,Justin Jefferson,1999-06-16,2020,2026,7,2020.0,1.0,22.0,MIN,73.0,195.0,LSU,
6,4869,CeeDee Lamb,WR,DAL,10.6,1.11,201,6,15,1.7,14,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 1737, ""start_date"": ""2026-07-06"", ""end_date"": ""2026-07-13""}",ceedee lamb,00-0036358,CeeDee Lamb,1999-04-08,2020,2026,7,2020.0,1.0,17.0,DAL,74.0,200.0,Oklahoma,
7,5574,Drake London,WR,ATL,12.6,2.01,52,8,16,1.6,11,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 1737, ""start_date"": ""2026-07-06"", ""end_date"": ""2026-07-13""}",drake london,00-0037238,Drake London,2001-07-24,2022,2026,5,2022.0,1.0,8.0,ATL,76.0,215.0,USC,
8,3247,A.J. Brown,WR,NE,14.2,2.02,74,9,20,2.3,11,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 1737, ""start_date"": ""2026-07-06"", ""end_date"": ""2026-07-13""}",aj brown,00-0035676,A.J. Brown,1997-06-30,2019,2026,8,2019.0,2.0,51.0,TEN,73.0,226.0,Mississippi,
9,5576,George Pickens,WR,DAL,17.4,2.05,96,12,24,2.6,14,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 1737, ""start_date"": ""2026-07-06"", ""end_date"": ""2026-07-13""}",george pickens,00-0037247,George Pickens,2001-03-04,2022,2026,5,2022.0,2.0,52.0,PIT,75.0,200.0,Georgia,
10,5544,Chris Olave,WR,NO,21.2,2.09,41,18,26,2.0,8,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 1737, ""start_date"": ""2026-07-06"", ""end_date"": ""2026-07-13""}",chris olave,00-0037239,Chris Olave,2000-06-27,2022,2026,5,2022.0,1.0,11.0,NO,72.0,187.0,Ohio State,
11,5207,Nico Collins,WR,HOU,23.2,2.11,173,15,30,2.8,8,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 1737, ""start_date"": ""2026-07-06"", ""end_date"": ""2026-07-13""}",nico collins,00-0036554,Nico Collins,1999-03-19,2021,2026,6,2021.0,3.0,89.0,HOU,76.0,222.0,Michigan,
12,5675,Zay Flowers,WR,BAL,25.4,3.01,47,21,31,2.5,13,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 1737, ""start_date"": ""2026-07-06"", ""end_date"": ""2026-07-13""}",zay flowers,00-0039064,Zay Flowers,2000-09-11,2023,2026,4,2023.0,1.0,22.0,BAL,69.0,183.0,Boston College,
13,4870,Tee Higgins,WR,CIN,26.4,3.02,40,21,34,2.7,6,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 1737, ""start_date"": ""2026-07-06"", ""end_date"": ""2026-07-13""}",tee higgins,00-0036410,Tee Higgins,1999-01-18,2020,2026,7,2020.0,2.0,33.0,CIN,76.0,219.0,Clemson,
14,5548,Garrett Wilson,WR,NYJ,27.0,3.03,48,19,33,3.0,13,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 1737, ""start_date"": ""2026-07-06"", ""end_date"": ""2026-07-13""}",garrett wilson,00-0037740,Garrett Wilson,2000-07-22,2022,2026,5,2022.0,1.0,10.0,NYJ,72.0,183.0,Ohio State,
15,5696,Rashee Rice,WR,KC,27.3,3.03,141,19,34,3.2,5,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 1737, ""start_date"": ""2026-07-06"", ""end_date"": ""2026-07-13""}",rashee rice,00-0039067,Rashee Rice,2000-04-22,2023,2026,4,2023.0,2.0,55.0,KC,73.0,203.0,SMU,
16,4883,DeVonta Smith,WR,PHI,28.5,3.04,125,20,36,3.2,10,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 1737, ""start_date"": ""2026-07-06"", ""end_date"": ""2026-07-13""}",devonta smith,00-0036912,DeVonta Smith,1998-11-14,2021,2026,6,2021.0,1.0,10.0,PHI,72.0,170.0,Alabama,
