season,team,source,metric,value,basis_year,definition,preseason_knowable
2026,ARI,computed/fetch_sos.py,mean_opp_preseason_win_total,9.2059,2026 DK win totals (2026-08-08),Mean over the 17 regular-season opponents of that opponent's preseason Vegas win total. Higher = harder. Same construction as Sharp Football's headline SOS.,YES
2026,ATL,computed/fetch_sos.py,mean_opp_preseason_win_total,8.6765,2026 DK win totals (2026-08-08),Mean over the 17 regular-season opponents of that opponent's preseason Vegas win total. Higher = harder. Same construction as Sharp Football's headline SOS.,YES
2026,BAL,computed/fetch_sos.py,mean_opp_preseason_win_total,8.3235,2026 DK win totals (2026-08-08),Mean over the 17 regular-season opponents of that opponent's preseason Vegas win total. Higher = harder. Same construction as Sharp Football's headline SOS.,YES
2026,BUF,computed/fetch_sos.py,mean_opp_preseason_win_total,8.6176,2026 DK win totals (2026-08-08),Mean over the 17 regular-season opponents of that opponent's preseason Vegas win total. Higher = harder. Same construction as Sharp Football's headline SOS.,YES
2026,CAR,computed/fetch_sos.py,mean_opp_preseason_win_total,8.7941,2026 DK win totals (2026-08-08),Mean over the 17 regular-season opponents of that opponent's preseason Vegas win total. Higher = harder. Same construction as Sharp Football's headline SOS.,YES
2026,CHI,computed/fetch_sos.py,mean_opp_preseason_win_total,8.7941,2026 DK win totals (2026-08-08),Mean over the 17 regular-season opponents of that opponent's preseason Vegas win total. Higher = harder. Same construction as Sharp Football's headline SOS.,YES
2026,CIN,computed/fetch_sos.py,mean_opp_preseason_win_total,8.0294,2026 DK win totals (2026-08-08),Mean over the 17 regular-season opponents of that opponent's preseason Vegas win total. Higher = harder. Same construction as Sharp Football's headline SOS.,YES
2026,CLE,computed/fetch_sos.py,mean_opp_preseason_win_total,8.1471,2026 DK win totals (2026-08-08),Mean over the 17 regular-season opponents of that opponent's preseason Vegas win total. Higher = harder. Same construction as Sharp Football's headline SOS.,YES
2026,DAL,computed/fetch_sos.py,mean_opp_preseason_win_total,8.8529,2026 DK win totals (2026-08-08),Mean over the 17 regular-season opponents of that opponent's preseason Vegas win total. Higher = harder. Same construction as Sharp Football's headline SOS.,YES
2026,DEN,computed/fetch_sos.py,mean_opp_preseason_win_total,8.5,2026 DK win totals (2026-08-08),Mean over the 17 regular-season opponents of that opponent's preseason Vegas win total. Higher = harder. Same construction as Sharp Football's headline SOS.,YES
2026,DET,computed/fetch_sos.py,mean_opp_preseason_win_total,7.9706,2026 DK win totals (2026-08-08),Mean over the 17 regular-season opponents of that opponent's preseason Vegas win total. Higher = harder. Same construction as Sharp Football's headline SOS.,YES
2026,GB,computed/fetch_sos.py,mean_opp_preseason_win_total,8.5588,2026 DK win totals (2026-08-08),Mean over the 17 regular-season opponents of that opponent's preseason Vegas win total. Higher = harder. Same construction as Sharp Football's headline SOS.,YES
2026,HOU,computed/fetch_sos.py,mean_opp_preseason_win_total,8.7941,2026 DK win totals (2026-08-08),Mean over the 17 regular-season opponents of that opponent's preseason Vegas win total. Higher = harder. Same construction as Sharp Football's headline SOS.,YES
2026,IND,computed/fetch_sos.py,mean_opp_preseason_win_total,8.4412,2026 DK win totals (2026-08-08),Mean over the 17 regular-season opponents of that opponent's preseason Vegas win total. Higher = harder. Same construction as Sharp Football's headline SOS.,YES
2026,JAX,computed/fetch_sos.py,mean_opp_preseason_win_total,8.6765,2026 DK win totals (2026-08-08),Mean over the 17 regular-season opponents of that opponent's preseason Vegas win total. Higher = harder. Same construction as Sharp Football's headline SOS.,YES
2026,KC,computed/fetch_sos.py,mean_opp_preseason_win_total,8.3824,2026 DK win totals (2026-08-08),Mean over the 17 regular-season opponents of that opponent's preseason Vegas win total. Higher = harder. Same construction as Sharp Football's headline SOS.,YES
2026,LA,computed/fetch_sos.py,mean_opp_preseason_win_total,8.8529,2026 DK win totals (2026-08-08),Mean over the 17 regular-season opponents of that opponent's preseason Vegas win total. Higher = harder. Same construction as Sharp Football's headline SOS.,YES
2026,LAC,computed/fetch_sos.py,mean_opp_preseason_win_total,8.6176,2026 DK win totals (2026-08-08),Mean over the 17 regular-season opponents of that opponent's preseason Vegas win total. Higher = harder. Same construction as Sharp Football's headline SOS.,YES
2026,LV,computed/fetch_sos.py,mean_opp_preseason_win_total,8.7353,2026 DK win totals (2026-08-08),Mean over the 17 regular-season opponents of that opponent's preseason Vegas win total. Higher = harder. Same construction as Sharp Football's headline SOS.,YES
2026,MIA,computed/fetch_sos.py,mean_opp_preseason_win_total,9.2059,2026 DK win totals (2026-08-08),Mean over the 17 regular-season opponents of that opponent's preseason Vegas win total. Higher = harder. Same construction as Sharp Football's headline SOS.,YES
2026,MIN,computed/fetch_sos.py,mean_opp_preseason_win_total,8.6765,2026 DK win totals (2026-08-08),Mean over the 17 regular-season opponents of that opponent's preseason Vegas win total. Higher = harder. Same construction as Sharp Football's headline SOS.,YES
2026,NE,computed/fetch_sos.py,mean_opp_preseason_win_total,8.5,2026 DK win totals (2026-08-08),Mean over the 17 regular-season opponents of that opponent's preseason Vegas win total. Higher = harder. Same construction as Sharp Football's headline SOS.,YES
2026,NO,computed/fetch_sos.py,mean_opp_preseason_win_total,7.9118,2026 DK win totals (2026-08-08),Mean over the 17 regular-season opponents of that opponent's preseason Vegas win total. Higher = harder. Same construction as Sharp Football's headline SOS.,YES
2026,NYG,computed/fetch_sos.py,mean_opp_preseason_win_total,8.6765,2026 DK win totals (2026-08-08),Mean over the 17 regular-season opponents of that opponent's preseason Vegas win total. Higher = harder. Same construction as Sharp Football's headline SOS.,YES
2026,NYJ,computed/fetch_sos.py,mean_opp_preseason_win_total,8.4412,2026 DK win totals (2026-08-08),Mean over the 17 regular-season opponents of that opponent's preseason Vegas win total. Higher = harder. Same construction as Sharp Football's headline SOS.,YES
2026,PHI,computed/fetch_sos.py,mean_opp_preseason_win_total,8.3235,2026 DK win totals (2026-08-08),Mean over the 17 regular-season opponents of that opponent's preseason Vegas win total. Higher = harder. Same construction as Sharp Football's headline SOS.,YES
2026,PIT,computed/fetch_sos.py,mean_opp_preseason_win_total,8.6176,2026 DK win totals (2026-08-08),Mean over the 17 regular-season opponents of that opponent's preseason Vegas win total. Higher = harder. Same construction as Sharp Football's headline SOS.,YES
2026,SEA,computed/fetch_sos.py,mean_opp_preseason_win_total,8.6765,2026 DK win totals (2026-08-08),Mean over the 17 regular-season opponents of that opponent's preseason Vegas win total. Higher = harder. Same construction as Sharp Football's headline SOS.,YES
2026,SF,computed/fetch_sos.py,mean_opp_preseason_win_total,8.2647,2026 DK win totals (2026-08-08),Mean over the 17 regular-season opponents of that opponent's preseason Vegas win total. Higher = harder. Same construction as Sharp Football's headline SOS.,YES
2026,TB,computed/fetch_sos.py,mean_opp_preseason_win_total,8.5,2026 DK win totals (2026-08-08),Mean over the 17 regular-season opponents of that opponent's preseason Vegas win total. Higher = harder. Same construction as Sharp Football's headline SOS.,YES
2026,TEN,computed/fetch_sos.py,mean_opp_preseason_win_total,8.5588,2026 DK win totals (2026-08-08),Mean over the 17 regular-season opponents of that opponent's preseason Vegas win total. Higher = harder. Same construction as Sharp Football's headline SOS.,YES
2026,WAS,computed/fetch_sos.py,mean_opp_preseason_win_total,8.6765,2026 DK win totals (2026-08-08),Mean over the 17 regular-season opponents of that opponent's preseason Vegas win total. Higher = harder. Same construction as Sharp Football's headline SOS.,YES
2026,ARI,computed/fetch_sos.py,mean_opp_preseason_win_total_w15_17,6.1667,2026 DK win totals (2026-08-08),"Same, restricted to weeks 15-17 (fantasy playoffs). Higher = harder.",YES
2026,ATL,computed/fetch_sos.py,mean_opp_preseason_win_total_w15_17,7.8333,2026 DK win totals (2026-08-08),"Same, restricted to weeks 15-17 (fantasy playoffs). Higher = harder.",YES
2026,BAL,computed/fetch_sos.py,mean_opp_preseason_win_total_w15_17,8.1667,2026 DK win totals (2026-08-08),"Same, restricted to weeks 15-17 (fantasy playoffs). Higher = harder.",YES
2026,BUF,computed/fetch_sos.py,mean_opp_preseason_win_total_w15_17,7.8333,2026 DK win totals (2026-08-08),"Same, restricted to weeks 15-17 (fantasy playoffs). Higher = harder.",YES
2026,CAR,computed/fetch_sos.py,mean_opp_preseason_win_total_w15_17,9.5,2026 DK win totals (2026-08-08),"Same, restricted to weeks 15-17 (fantasy playoffs). Higher = harder.",YES
2026,CHI,computed/fetch_sos.py,mean_opp_preseason_win_total_w15_17,10.5,2026 DK win totals (2026-08-08),"Same, restricted to weeks 15-17 (fantasy playoffs). Higher = harder.",YES
2026,CIN,computed/fetch_sos.py,mean_opp_preseason_win_total_w15_17,8.5,2026 DK win totals (2026-08-08),"Same, restricted to weeks 15-17 (fantasy playoffs). Higher = harder.",YES
2026,CLE,computed/fetch_sos.py,mean_opp_preseason_win_total_w15_17,8.8333,2026 DK win totals (2026-08-08),"Same, restricted to weeks 15-17 (fantasy playoffs). Higher = harder.",YES
2026,DAL,computed/fetch_sos.py,mean_opp_preseason_win_total_w15_17,9.1667,2026 DK win totals (2026-08-08),"Same, restricted to weeks 15-17 (fantasy playoffs). Higher = harder.",YES
2026,DEN,computed/fetch_sos.py,mean_opp_preseason_win_total_w15_17,8.8333,2026 DK win totals (2026-08-08),"Same, restricted to weeks 15-17 (fantasy playoffs). Higher = harder.",YES
2026,DET,computed/fetch_sos.py,mean_opp_preseason_win_total_w15_17,8.5,2026 DK win totals (2026-08-08),"Same, restricted to weeks 15-17 (fantasy playoffs). Higher = harder.",YES
