season,week,team,season_type,game_id,opponent_team,completions,attempts,passing_yards,passing_tds,passing_interceptions,sacks_suffered,sack_yards_lost,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_cpoe,passing_2pt_conversions,passing_10,passing_16,passing_20,passing_40,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,rushing_10,rushing_12,rushing_20,rushing_40,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,receiving_10,receiving_16,receiving_20,receiving_40,special_teams_tds,def_tackles_solo,def_tackles_with_assist,def_tackle_assists,def_tackles_for_loss,def_tackles_for_loss_yards,def_fumbles_forced,def_sacks,def_sack_yards,def_qb_hits,def_interceptions,def_interception_yards,def_pass_defended,def_tds,def_fumbles,def_safeties,misc_yards,fumble_recovery_own,fumble_recovery_yards_own,fumble_recovery_opp,fumble_recovery_yards_opp,fumble_recovery_tds,penalties,penalty_yards,timeouts,fumbles_forced_by_opp,fumbles_not_forced,fumbles_out_of_bounds,fumbles_total,fumbles_lost_total,punt_returns,punt_return_yards,kickoff_returns,kickoff_return_yards,fg_made,fg_att,fg_missed,fg_blocked,fg_long,fg_pct,fg_made_0_19,fg_made_20_29,fg_made_30_39,fg_made_40_49,fg_made_50_59,fg_made_60_,fg_missed_0_19,fg_missed_20_29,fg_missed_30_39,fg_missed_40_49,fg_missed_50_59,fg_missed_60_,fg_made_list,fg_missed_list,fg_blocked_list,fg_made_distance,fg_missed_distance,fg_blocked_distance,pat_made,pat_att,pat_missed,pat_blocked,pat_pct,gwfg_made,gwfg_att,gwfg_missed,gwfg_blocked,gwfg_distance,pt_att,pt_blocked,pt_long,pt_yards,pt_inside_20,pt_out_of_bounds,pt_downed,pt_touchback,pt_fair_caught,pt_returned,pt_return_yards,pt_return_tds,pt_net_yards
1999,1,ARI,REG,1999_01_ARI_PHI,PHI,25,48,274,1,3,1,-8,0,0,32,274,15,-1.91123547528976,,0,13,4,2,1,36,78,1,1,1,6,-10.060234814482,0,3,2,0,0,25,47,274,1,1,0,32,0,15,-0.0012812852683791,0,13,4,2,1,0,40,8,8,3,14,3,4,24,2,2,40,6,0,1,0,0,2,0,2,0,0,8,40,4,2,1,0,3,1,4,16,4,105,4,4,0,0,32.0,1.0,0,1,3,0,0,0,0,0,0,0,0,0,31;25;32;31,,,119,0,0,1,1,0,0,1.0,1,1,0,0,31,5,0,40.0,172,0,1,0,0,3,1,2,0,170
1999,1,ATL,REG,1999_01_MIN_ATL,MIN,18,31,290,1,0,2,-12,1,1,0,290,16,12.0352716234826,,0,13,8,6,1,23,81,1,0,0,3,-5.52719601453282,0,2,2,1,0,18,31,290,1,1,1,0,11,16,12.2204080767691,0,13,8,6,1,0,46,7,7,5,11,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,4,84,4,3,0,0,3,3,0,0,3,67,0,2,2,0,,0.0,0,0,0,0,0,0,0,0,2,0,0,0,,35;39,,0,74,0,2,2,0,0,1.0,0,0,0,0,0,2,0,48.0,88,1,0,1,0,0,1,-1,0,89
1999,1,BUF,REG,1999_01_BUF_IND,IND,22,42,300,1,2,5,-26,1,1,20,300,15,-10.9261686133539,,0,12,6,6,1,15,47,0,0,0,1,-1.78110152315628,1,0,0,0,0,22,42,300,1,0,0,20,0,15,-2.78524117339088,0,12,6,6,1,0,35,13,13,1,1,1,0,0,0,2,3,5,0,0,0,1,0,0,1,0,0,13,100,5,1,0,0,1,1,1,27,6,156,2,2,0,0,36.0,1.0,0,1,1,0,0,0,0,0,0,0,0,0,36;29,,,65,0,0,0,0,0,0,,0,0,0,0,0,6,0,44.0,206,0,0,1,2,3,0,0,0,166
1999,1,CAR,REG,1999_01_CAR_NO,NO,16,32,207,1,1,7,-46,1,1,4,207,9,-17.2870123965676,,0,8,4,4,0,16,85,0,0,0,3,-1.1556200152263,0,3,2,2,0,16,30,207,1,0,0,4,0,9,3.18884657352209,0,8,4,4,0,0,47,13,15,6,29,1,4,24,5,0,0,7,0,0,0,0,0,0,0,0,0,6,40,5,2,0,0,2,2,6,22,5,87,1,2,1,0,52.0,0.5,0,0,0,0,1,0,0,0,0,0,1,0,52,53,,52,53,0,1,1,0,0,1.0,0,0,0,0,0,8,0,51.0,355,1,0,1,0,2,5,31,0,324
1999,1,CHI,REG,1999_01_KC_CHI,KC,31,47,322,2,0,1,-15,1,1,0,322,16,-4.00232204254207,,0,14,7,5,0,28,81,0,0,0,6,-6.41417113167699,0,2,1,0,0,31,46,322,2,0,0,0,0,16,8.26824463891608,0,14,7,5,0,0,40,3,3,0,0,0,1,5,1,1,41,4,0,0,0,0,0,0,0,0,0,6,44,3,2,0,0,2,2,0,0,4,92,2,2,0,0,24.0,1.0,0,2,0,0,0,0,0,0,0,0,0,0,21;24,,,45,0,0,2,2,0,0,1.0,0,0,0,0,0,5,0,47.0,183,3,1,1,0,1,2,7,0,176
1999,1,CIN,REG,1999_01_CIN_TEN,TEN,20,34,197,2,2,1,0,0,0,29,197,14,10.4308850719538,,2,10,3,1,0,42,201,2,2,0,12,5.48196889699823,0,9,7,1,0,20,33,197,2,0,0,29,0,14,10.9789499802575,2,10,3,1,0,0,37,9,9,1,1,4,2,7,1,1,5,5,0,0,0,0,2,0,3,21,0,9,79,5,2,0,0,2,0,0,0,6,118,2,2,0,0,38.0,1.0,0,0,2,0,0,0,0,0,0,0,0,0,33;38,,,71,0,0,1,1,0,0,1.0,0,0,0,0,0,3,1,72.0,132,1,0,0,0,0,3,62,0,70
1999,1,CLE,REG,1999_01_PIT_CLE,PIT,6,16,52,0,2,3,-21,1,1,24,52,2,-20.5906957093976,,0,2,1,0,0,9,9,0,0,0,0,-3.14764502912294,0,0,0,0,0,6,13,52,0,0,0,24,0,2,-4.28563387109898,0,2,1,0,0,0,57,16,16,3,16,0,1,12,1,0,0,1,0,0,0,0,0,0,0,0,0,4,23,0,1,1,0,2,2,0,0,8,119,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,0,6,0,60.0,285,0,0,0,2,1,3,17,0,228
1999,1,DAL,REG,1999_01_DAL_WAS,WAS,28,49,362,5,3,1,-7,0,0,39,362,15,12.898532832507,,0,12,6,4,1,34,186,1,1,0,13,10.3219901614939,0,8,6,1,0,28,49,362,5,0,0,39,0,15,14.3029320198111,0,12,6,4,1,0,48,7,7,0,0,2,2,13,1,0,0,2,0,0,0,0,1,0,2,0,0,9,99,3,1,0,0,1,0,0,0,6,131,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,5,5,0,0,1.0,0,0,0,0,0,4,0,52.0,168,0,0,0,0,0,4,48,0,120
1999,1,DEN,REG,1999_01_MIA_DEN,MIA,24,40,270,3,0,2,-30,1,1,0,270,17,7.87913079758342,,0,9,3,3,1,26,113,0,1,0,5,-2.85949433244445,0,3,3,1,0,24,39,270,3,0,0,0,9,17,18.5826994367007,0,9,3,3,1,0,34,12,12,1,3,0,0,0,0,0,0,3,0,0,0,0,1,-2,0,0,0,4,30,4,1,1,0,2,1,1,3,4,105,0,2,1,1,,0.0,0,0,0,0,0,0,0,0,0,1,0,0,,41,44.0,0,41,44,3,3,0,0,1.0,0,0,0,0,0,3,0,54.0,115,1,0,1,1,0,1,0,0,95
1999,1,DET,REG,1999_01_DET_SEA,SEA,16,26,216,3,1,5,-14,0,0,3,216,10,-3.81758064450435,,0,10,4,2,2,36,167,0,0,0,9,-4.49282551801298,0,7,6,0,0,16,26,216,3,1,0,3,0,10,3.01382627314899,0,10,4,2,2,0,39,9,9,0,0,3,6,28,6,0,0,4,0,0,1,0,1,1,2,6,0,11,123,0,1,0,0,1,0,3,11,5,92,2,2,0,0,51.0,1.0,0,0,0,1,1,0,0,0,0,0,0,0,51;49,,,100,0,0,2,3,1,0,0.666666666666667,0,0,0,0,0,7,0,55.0,278,3,0,0,1,3,3,6,0,252
1999,1,GB,REG,1999_01_OAK_GB,LV,28,47,333,4,3,3,-15,0,0,23,333,19,8.02746704762103,,0,15,7,3,1,20,91,0,1,1,5,-3.37094870192232,0,2,1,0,0,28,42,333,4,0,0,23,0,19,13.4957032485981,0,15,7,3,1,0,29,28,28,4,18,1,4,17,4,1,0,4,0,0,0,0,0,0,0,0,0,7,47,3,1,0,0,1,1,2,20,3,53,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,4,4,0,0,1.0,0,0,0,0,0,4,0,44.0,157,0,0,2,0,0,2,3,0,154
