season,team,win_total_consensus,win_total_dk,dk_over_odds,win_total_src,implied_ppg,implied_season_points,points_src,points_is_proxy
2026,ARI,3.5-4.5,4.5,154,"vegasinsider.com/nfl/odds/win-totals/ (BetMGM/DK/Caesars/Rivers), page updated 2026-08-08, retrieved 2026-08-09",18.4,312.8,"firstdown.studio/implied-totals/season (implied team totals from Vegas game lines), updated 2026-08-08, retrieved 2026-08-09",TRUE
2026,ATL,7.5,6.5,-140,"vegasinsider.com/nfl/odds/win-totals/ (BetMGM/DK/Caesars/Rivers), page updated 2026-08-08, retrieved 2026-08-09",21.2,360.4,"firstdown.studio/implied-totals/season (implied team totals from Vegas game lines), updated 2026-08-08, retrieved 2026-08-09",TRUE
2026,BAL,11.5,10.5,-150,"vegasinsider.com/nfl/odds/win-totals/ (BetMGM/DK/Caesars/Rivers), page updated 2026-08-08, retrieved 2026-08-09",25.9,440.3,"firstdown.studio/implied-totals/season (implied team totals from Vegas game lines), updated 2026-08-08, retrieved 2026-08-09",TRUE
2026,BUF,10.5,10.5,-120,"vegasinsider.com/nfl/odds/win-totals/ (BetMGM/DK/Caesars/Rivers), page updated 2026-08-08, retrieved 2026-08-09",26.1,443.7,"firstdown.studio/implied-totals/season (implied team totals from Vegas game lines), updated 2026-08-08, retrieved 2026-08-09",TRUE
2026,CAR,6.5-7.5,6.5,-166,"vegasinsider.com/nfl/odds/win-totals/ (BetMGM/DK/Caesars/Rivers), page updated 2026-08-08, retrieved 2026-08-09",20.8,353.6,"firstdown.studio/implied-totals/season (implied team totals from Vegas game lines), updated 2026-08-08, retrieved 2026-08-09",TRUE
2026,CHI,9.5,9.5,100,"vegasinsider.com/nfl/odds/win-totals/ (BetMGM/DK/Caesars/Rivers), page updated 2026-08-08, retrieved 2026-08-09",24.6,418.2,"firstdown.studio/implied-totals/season (implied team totals from Vegas game lines), updated 2026-08-08, retrieved 2026-08-09",TRUE
2026,CIN,10.5,9.5,-160,"vegasinsider.com/nfl/odds/win-totals/ (BetMGM/DK/Caesars/Rivers), page updated 2026-08-08, retrieved 2026-08-09",26.0,442.0,"firstdown.studio/implied-totals/season (implied team totals from Vegas game lines), updated 2026-08-08, retrieved 2026-08-09",TRUE
2026,CLE,5.5-6.5,6.5,140,"vegasinsider.com/nfl/odds/win-totals/ (BetMGM/DK/Caesars/Rivers), page updated 2026-08-08, retrieved 2026-08-09",18.7,317.9,"firstdown.studio/implied-totals/season (implied team totals from Vegas game lines), updated 2026-08-08, retrieved 2026-08-09",TRUE
2026,DAL,9.5,8.5,-150,"vegasinsider.com/nfl/odds/win-totals/ (BetMGM/DK/Caesars/Rivers), page updated 2026-08-08, retrieved 2026-08-09",25.7,436.9,"firstdown.studio/implied-totals/season (implied team totals from Vegas game lines), updated 2026-08-08, retrieved 2026-08-09",TRUE
2026,DEN,9.5,9.5,-115,"vegasinsider.com/nfl/odds/win-totals/ (BetMGM/DK/Caesars/Rivers), page updated 2026-08-08, retrieved 2026-08-09",22.3,379.1,"firstdown.studio/implied-totals/season (implied team totals from Vegas game lines), updated 2026-08-08, retrieved 2026-08-09",TRUE
2026,DET,10.5,10.5,-115,"vegasinsider.com/nfl/odds/win-totals/ (BetMGM/DK/Caesars/Rivers), page updated 2026-08-08, retrieved 2026-08-09",26.1,443.7,"firstdown.studio/implied-totals/season (implied team totals from Vegas game lines), updated 2026-08-08, retrieved 2026-08-09",TRUE
2026,GB,9.5,10.5,140,"vegasinsider.com/nfl/odds/win-totals/ (BetMGM/DK/Caesars/Rivers), page updated 2026-08-08, retrieved 2026-08-09",24.8,421.6,"firstdown.studio/implied-totals/season (implied team totals from Vegas game lines), updated 2026-08-08, retrieved 2026-08-09",TRUE
2026,HOU,9.5,9.5,-146,"vegasinsider.com/nfl/odds/win-totals/ (BetMGM/DK/Caesars/Rivers), page updated 2026-08-08, retrieved 2026-08-09",22.5,382.5,"firstdown.studio/implied-totals/season (implied team totals from Vegas game lines), updated 2026-08-08, retrieved 2026-08-09",TRUE
2026,IND,7.5,8.5,132,"vegasinsider.com/nfl/odds/win-totals/ (BetMGM/DK/Caesars/Rivers), page updated 2026-08-08, retrieved 2026-08-09",23.4,397.8,"firstdown.studio/implied-totals/season (implied team totals from Vegas game lines), updated 2026-08-08, retrieved 2026-08-09",TRUE
2026,JAX,8.5-9.5,9.5,120,"vegasinsider.com/nfl/odds/win-totals/ (BetMGM/DK/Caesars/Rivers), page updated 2026-08-08, retrieved 2026-08-09",23.4,397.8,"firstdown.studio/implied-totals/season (implied team totals from Vegas game lines), updated 2026-08-08, retrieved 2026-08-09",TRUE
2026,KC,10.5,10.5,115,"vegasinsider.com/nfl/odds/win-totals/ (BetMGM/DK/Caesars/Rivers), page updated 2026-08-08, retrieved 2026-08-09",24.1,409.7,"firstdown.studio/implied-totals/season (implied team totals from Vegas game lines), updated 2026-08-08, retrieved 2026-08-09",TRUE
2026,LA,11.5,10.5,-210,"vegasinsider.com/nfl/odds/win-totals/ (BetMGM/DK/Caesars/Rivers), page updated 2026-08-08, retrieved 2026-08-09",26.6,452.2,"firstdown.studio/implied-totals/season (implied team totals from Vegas game lines), updated 2026-08-08, retrieved 2026-08-09",TRUE
2026,LAC,9.5,10.5,130,"vegasinsider.com/nfl/odds/win-totals/ (BetMGM/DK/Caesars/Rivers), page updated 2026-08-08, retrieved 2026-08-09",23.8,404.6,"firstdown.studio/implied-totals/season (implied team totals from Vegas game lines), updated 2026-08-08, retrieved 2026-08-09",TRUE
2026,LV,5.5-6.5,5.5,-146,"vegasinsider.com/nfl/odds/win-totals/ (BetMGM/DK/Caesars/Rivers), page updated 2026-08-08, retrieved 2026-08-09",19.2,326.4,"firstdown.studio/implied-totals/season (implied team totals from Vegas game lines), updated 2026-08-08, retrieved 2026-08-09",TRUE
2026,MIA,3.5-4.5,4.5,122,"vegasinsider.com/nfl/odds/win-totals/ (BetMGM/DK/Caesars/Rivers), page updated 2026-08-08, retrieved 2026-08-09",19.0,323.0,"firstdown.studio/implied-totals/season (implied team totals from Vegas game lines), updated 2026-08-08, retrieved 2026-08-09",TRUE
2026,MIN,8.5,8.5,-110,"vegasinsider.com/nfl/odds/win-totals/ (BetMGM/DK/Caesars/Rivers), page updated 2026-08-08, retrieved 2026-08-09",22.4,380.8,"firstdown.studio/implied-totals/season (implied team totals from Vegas game lines), updated 2026-08-08, retrieved 2026-08-09",TRUE
2026,NE,9.5,10.5,115,"vegasinsider.com/nfl/odds/win-totals/ (BetMGM/DK/Caesars/Rivers), page updated 2026-08-08, retrieved 2026-08-09",23.8,404.6,"firstdown.studio/implied-totals/season (implied team totals from Vegas game lines), updated 2026-08-08, retrieved 2026-08-09",TRUE
2026,NO,7.5,7.5,-120,"vegasinsider.com/nfl/odds/win-totals/ (BetMGM/DK/Caesars/Rivers), page updated 2026-08-08, retrieved 2026-08-09",21.5,365.5,"firstdown.studio/implied-totals/season (implied team totals from Vegas game lines), updated 2026-08-08, retrieved 2026-08-09",TRUE
2026,NYG,7.5,7.5,-110,"vegasinsider.com/nfl/odds/win-totals/ (BetMGM/DK/Caesars/Rivers), page updated 2026-08-08, retrieved 2026-08-09",22.1,375.7,"firstdown.studio/implied-totals/season (implied team totals from Vegas game lines), updated 2026-08-08, retrieved 2026-08-09",TRUE
2026,NYJ,5.5,5.5,-120,"vegasinsider.com/nfl/odds/win-totals/ (BetMGM/DK/Caesars/Rivers), page updated 2026-08-08, retrieved 2026-08-09",18.5,314.5,"firstdown.studio/implied-totals/season (implied team totals from Vegas game lines), updated 2026-08-08, retrieved 2026-08-09",TRUE
2026,PHI,10.5,10.5,115,"vegasinsider.com/nfl/odds/win-totals/ (BetMGM/DK/Caesars/Rivers), page updated 2026-08-08, retrieved 2026-08-09",23.8,404.6,"firstdown.studio/implied-totals/season (implied team totals from Vegas game lines), updated 2026-08-08, retrieved 2026-08-09",TRUE
2026,PIT,8.5,8.5,110,"vegasinsider.com/nfl/odds/win-totals/ (BetMGM/DK/Caesars/Rivers), page updated 2026-08-08, retrieved 2026-08-09",21.5,365.5,"firstdown.studio/implied-totals/season (implied team totals from Vegas game lines), updated 2026-08-08, retrieved 2026-08-09",TRUE
2026,SEA,10.5,10.5,-115,"vegasinsider.com/nfl/odds/win-totals/ (BetMGM/DK/Caesars/Rivers), page updated 2026-08-08, retrieved 2026-08-09",24.8,421.6,"firstdown.studio/implied-totals/season (implied team totals from Vegas game lines), updated 2026-08-08, retrieved 2026-08-09",TRUE
2026,SF,10.5,10.5,125,"vegasinsider.com/nfl/odds/win-totals/ (BetMGM/DK/Caesars/Rivers), page updated 2026-08-08, retrieved 2026-08-09",25.0,425.0,"firstdown.studio/implied-totals/season (implied team totals from Vegas game lines), updated 2026-08-08, retrieved 2026-08-09",TRUE
2026,TB,8.5,8.5,125,"vegasinsider.com/nfl/odds/win-totals/ (BetMGM/DK/Caesars/Rivers), page updated 2026-08-08, retrieved 2026-08-09",23.3,396.1,"firstdown.studio/implied-totals/season (implied team totals from Vegas game lines), updated 2026-08-08, retrieved 2026-08-09",TRUE
