k,name,position,espn_adp,ffc_adp,ffc_equiv,pool
jahmyr gibbs,Jahmyr Gibbs,RB,1.61,1.6,1.6,matched
bijan robinson,Bijan Robinson,RB,2.61,2.0,2.0,matched
puka nacua,Puka Nacua,WR,3.79,2.9,2.9,matched
jamarr chase,Ja'Marr Chase,WR,4.71,3.9,3.8999999999999995,matched
jaxon smith njigba,Jaxon Smith-Njigba,WR,5.83,5.9,5.591958512006325,matched
christian mccaffrey,Christian McCaffrey,RB,6.65,5.3,5.591958512006325,matched
jonathan taylor,Jonathan Taylor,RB,8.08,7.5,7.245688373094718,matched
amon ra st brown,Amon-Ra St. Brown,WR,8.33,7.0,7.245688373094718,matched
ceedee lamb,CeeDee Lamb,WR,10.59,11.3,11.220683505587505,matched
devon achane,De'Von Achane,RB,12.32,9.4,11.220683505587505,matched
justin jefferson,Justin Jefferson,WR,12.15,13.3,11.220683505587505,matched
james cook,James Cook III,RB,12.97,15.1,14.332959804660137,matched
jeremiyah love,Jeremiyah Love,RB,19.34,25.6,21.077558739681454,matched
drake london,Drake London,WR,18.86,10.6,14.332959804660137,matched
ashton jeanty,Ashton Jeanty,RB,17.84,14.1,14.332959804660137,matched
rashee rice,Rashee Rice,WR,22.61,11.4,21.077558739681454,matched
trey mcbride,Trey McBride,TE,19.49,35.3,21.077558739681454,matched
omarion hampton,Omarion Hampton,RB,22.08,19.8,21.077558739681454,matched
saquon barkley,Saquon Barkley,RB,17.01,18.7,14.332959804660137,matched
derrick henry,Derrick Henry,RB,20.91,16.1,21.077558739681454,matched
chase brown,Chase Brown,RB,26.14,12.2,21.905821305289546,matched
kenneth walker,Kenneth Walker III,RB,24.82,26.5,21.905821305289546,matched
josh jacobs,Josh Jacobs,RB,28.56,24.6,22.31095833317905,matched
brock bowers,Brock Bowers,TE,23.73,40.7,21.905821305289546,matched
nico collins,Nico Collins,WR,27.77,23.2,22.31095833317905,matched
garrett wilson,Garrett Wilson,WR,36.31,28.5,28.5,matched
