name,position,team,adp_aug18,stdev,times_drafted,k,adp_jul,team_jul,adp_aug08,espn_rank,d_jul_aug18,ffc_rank,espn_gap,team_change
A.J. Brown,WR,NE,17.3,2.9,922.0,a j brown,14.2,NE,17.5,28.0,3.1000000000000014,17.0,-11.0,False
Aaron Jones Sr.,RB,MIN,100.1,12.5,422.0,aaron jones,95.6,MIN,89.4,143.0,4.5,104.0,-39.0,False
Aaron Rodgers,QB,PIT,165.7,30.6,19.0,aaron rodgers,,,169.0,385.0,,227.0,-158.0,False
Adonai Mitchell,WR,NYJ,162.4,16.3,67.0,adonai mitchell,161.5,NYJ,160.7,191.0,0.9000000000000057,213.0,22.0,False
AJ Barner,TE,SEA,161.6,8.4,12.0,aj barner,,,,312.0,,206.0,-106.0,False
Alec Pierce,WR,IND,58.7,6.8,338.0,alec pierce,59.4,IND,55.5,74.0,-0.6999999999999957,59.0,-15.0,False
Alvin Kamara,RB,NO,144.7,18.4,329.0,alvin kamara,155.2,NO,132.8,176.0,-10.5,159.0,-17.0,False
Amon-Ra St. Brown,WR,DET,6.4,1.3,933.0,amon ra st brown,7.6,DET,7.0,8.0,-1.1999999999999993,6.0,-2.0,False
Andy Borregales,PK,NE,167.8,15.0,13.0,andy borregales,,,163.4,,,236.0,,False
Antonio Williams,WR,WAS,170.2,8.8,8.0,antonio williams,143.2,WAS,156.9,330.0,27.0,242.5,-87.5,False
Ashton Jeanty,RB,LV,15.1,3.0,1134.0,ashton jeanty,12.5,LV,14.1,13.0,2.5999999999999996,16.0,3.0,False
Atlanta Defense,DEF,ATL,171.7,12.0,90.0,atlanta defense,176.9,ATL,153.7,,-5.200000000000017,247.5,,False
Baker Mayfield,QB,TB,129.6,10.1,362.0,baker mayfield,128.6,TB,128.1,192.0,1.0,135.0,-57.0,False
Baltimore Defense,DEF,BAL,161.1,15.5,436.0,baltimore defense,155.2,BAL,168.4,,5.900000000000006,205.0,,False
Bhayshul Tuten,RB,JAX,54.4,5.9,885.0,bhayshul tuten,61.9,JAX,51.2,64.0,-7.5,54.0,-10.0,False
Bijan Robinson,RB,ATL,1.7,0.7,1167.0,bijan robinson,1.6,ATL,2.0,2.0,0.09999999999999987,1.0,-1.0,False
Blake Corum,RB,LAR,122.6,17.4,1191.0,blake corum,121.2,LAR,121.7,151.0,1.3999999999999915,127.0,-24.0,False
Blake Grupe,PK,IND,172.6,16.1,32.0,blake grupe,,,,,,253.5,,False
Bo Nix,QB,DEN,116.6,12.8,536.0,bo nix,117.0,DEN,119.7,97.0,-0.4000000000000057,124.0,27.0,False
Braelon Allen,RB,NYJ,150.8,21.1,33.0,braelon allen,,,,260.0,,171.0,-89.0,False
Brandon Aiyuk,WR,SF,166.6,19.7,5.0,brandon aiyuk,146.9,SF,,,19.69999999999999,232.0,,False
Brandon Aubrey,PK,DAL,130.2,22.7,1715.0,brandon aubrey,132.5,DAL,131.5,240.0,-2.3000000000000114,136.5,-103.5,False
Breece Hall,RB,NYJ,29.5,3.1,399.0,breece hall,30.7,NYJ,28.3,22.0,-1.1999999999999993,30.0,8.0,False
Brenton Strange,TE,JAX,163.9,15.6,102.0,brenton strange,159.1,JAX,163.8,263.0,4.800000000000011,219.0,-44.0,False
Brian Robinson,RB,ATL,162.7,26.3,30.0,brian robinson,,,164.9,182.0,,215.0,33.0,False
Brian Thomas Jr.,WR,JAX,72.6,8.4,1060.0,brian thomas,83.5,JAX,83.0,91.0,-10.900000000000006,72.5,-18.5,False
Brock Bowers,TE,LV,36.8,7.4,2011.0,brock bowers,36.1,LV,40.7,24.0,0.6999999999999957,38.0,14.0,False
Brock Purdy,QB,SF,88.2,13.1,212.0,brock purdy,100.5,SF,80.1,99.0,-12.299999999999997,91.0,-8.0,False
Bryce Young,QB,CAR,172.6,15.0,32.0,bryce young,,,177.1,313.0,,253.5,-59.5,False
Bucky Irving,RB,TB,45.8,5.0,486.0,bucky irving,47.2,TB,42.8,42.0,-1.4000000000000057,46.0,4.0,False
Buffalo Defense,DEF,BUF,159.2,14.8,505.0,buffalo defense,153.1,BUF,165.7,,6.099999999999994,198.5,,False
C.J. Stroud,QB,HOU,159.0,13.1,122.0,c j stroud,154.6,HOU,159.3,276.0,4.400000000000006,197.0,-79.0,False
Cairo Santos,PK,CHI,164.1,15.1,43.0,cairo santos,148.6,CHI,154.6,256.0,15.5,220.5,-35.5,False
Caleb Douglas,WR,MIA,177.2,26.0,37.0,caleb douglas,,,,190.0,,261.0,71.0,False
Caleb Williams,QB,CHI,91.9,15.1,868.0,caleb williams,109.1,CHI,106.4,104.0,-17.19999999999999,94.0,-10.0,False
Calvin Ridley,WR,TEN,140.0,11.7,85.0,calvin ridley,145.2,TEN,130.2,189.0,-5.199999999999989,150.0,-39.0,False
Cam Little,PK,JAX,155.2,17.9,296.0,cam little,153.1,JAX,164.4,251.0,2.0999999999999943,185.0,-66.0,False
