name,position,team,adp_aug18,stdev,times_drafted,adp_jul13,adp_aug08,d_jul_aug18,d_aug08_aug18
Bijan Robinson,RB,ATL,1.7,0.7,1167,1.6,2.0,0.09999999999999987,-0.30000000000000004
Jahmyr Gibbs,RB,DET,1.8,0.7,1370,2.0,1.6,-0.19999999999999996,0.19999999999999996
Puka Nacua,WR,LAR,3.1,0.7,234,2.8,2.9,0.30000000000000027,0.20000000000000018
Ja'Marr Chase,WR,CIN,3.9,1.0,1629,3.9,3.9,0.0,0.0
Jaxon Smith-Njigba,WR,SEA,5.4,1.1,803,6.1,5.9,-0.6999999999999993,-0.5
Amon-Ra St. Brown,WR,DET,6.4,1.3,933,7.6,7.0,-1.1999999999999993,-0.5999999999999996
Christian McCaffrey,RB,SF,6.5,1.6,1268,4.8,5.3,1.7000000000000002,1.2000000000000002
Jonathan Taylor,RB,IND,7.4,1.8,1425,7.5,7.5,-0.09999999999999964,-0.09999999999999964
De'Von Achane,RB,MIA,10.2,1.9,690,9.0,9.4,1.1999999999999993,0.7999999999999989
Drake London,WR,ATL,10.2,1.6,244,12.6,10.6,-2.4000000000000004,-0.40000000000000036
CeeDee Lamb,WR,DAL,10.7,2.0,987,10.6,11.3,0.09999999999999964,-0.6000000000000014
Justin Jefferson,WR,MIN,12.4,2.7,1065,10.0,13.3,2.4000000000000004,-0.9000000000000004
James Cook III,RB,BUF,12.7,3.0,1956,13.8,15.1,-1.1000000000000014,-2.4000000000000004
Chase Brown,RB,CIN,13.5,2.8,1520,15.8,12.2,-2.3000000000000007,1.3000000000000007
Rashee Rice,WR,KC,14.5,2.3,242,27.3,11.4,-12.8,3.0999999999999996
Ashton Jeanty,RB,LV,15.1,3.0,1134,12.5,14.1,2.5999999999999996,1.0
A.J. Brown,WR,NE,17.3,2.9,922,14.2,17.5,3.1000000000000014,-0.1999999999999993
Derrick Henry,RB,BAL,17.4,2.7,830,15.4,16.1,1.9999999999999982,1.2999999999999972
George Pickens,WR,DAL,19.6,2.7,495,17.4,21.6,2.200000000000003,-2.0
Saquon Barkley,RB,PHI,20.2,3.6,2155,19.6,18.7,0.5999999999999979,1.5
Omarion Hampton,RB,LAC,21.3,4.1,1843,17.1,19.8,4.199999999999999,1.5
Nico Collins,WR,HOU,21.7,3.0,600,23.2,23.2,-1.5,-1.5
Chris Olave,WR,NO,21.9,3.1,370,21.2,20.1,0.6999999999999993,1.7999999999999972
Kenneth Walker,RB,KC,23.4,3.9,1933,,26.5,,-3.1000000000000014
Zay Flowers,WR,BAL,24.4,3.1,293,25.4,26.6,-1.0,-2.200000000000003
Garrett Wilson,WR,NYJ,27.2,3.3,273,27.0,28.5,0.1999999999999993,-1.3000000000000007
Malik Nabers,WR,NYG,27.8,4.1,1446,43.6,33.9,-15.8,-6.099999999999998
DeVonta Smith,WR,PHI,28.4,3.6,986,28.5,29.1,-0.10000000000000142,-0.7000000000000028
Jeremiyah Love,RB,ARI,28.9,4.3,690,22.1,25.6,6.799999999999997,3.299999999999997
Breece Hall,RB,NYJ,29.5,3.1,399,30.7,28.3,-1.1999999999999993,1.1999999999999993
Trey McBride,TE,ARI,30.2,5.8,878,29.0,35.3,1.1999999999999993,-5.099999999999998
