player_id,name,position,team,adp,adp_formatted,times_drafted,high,low,stdev,bye,pulled_meta,k,ffc_rank,espn_rank,adp_jul,gap,resid_gap
5670,Bijan Robinson,RB,ATL,1.7,1.02,1167,1,4,0.7,11,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 6809, ""start_date"": ""2026-08-11"", ""end_date"": ""2026-08-18""}",bijan robinson,1.0,2,1.6,-1.0,3.649583209435086
5672,Jahmyr Gibbs,RB,DET,1.8,1.02,1370,1,4,0.7,6,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 6809, ""start_date"": ""2026-08-11"", ""end_date"": ""2026-08-18""}",jahmyr gibbs,2.0,1,2.0,1.0,5.726952123367486
5714,Puka Nacua,WR,LAR,3.1,1.03,234,1,5,0.7,11,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 6809, ""start_date"": ""2026-08-11"", ""end_date"": ""2026-08-18""}",puka nacua,3.0,4,2.8,-1.0,2.271543964834672
5177,Ja'Marr Chase,WR,CIN,3.9,1.04,1629,1,8,1.0,6,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 6809, ""start_date"": ""2026-08-11"", ""end_date"": ""2026-08-18""}",jamarr chase,4.0,3,3.9,1.0,4.348912878767072
5671,Jaxon Smith-Njigba,WR,SEA,5.4,1.05,803,2,9,1.1,11,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 6809, ""start_date"": ""2026-08-11"", ""end_date"": ""2026-08-18""}",jaxon smith njigba,5.0,5,6.1,0.0,3.4262817926994718
5182,Amon-Ra St. Brown,WR,DET,6.4,1.06,933,3,11,1.3,6,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 6809, ""start_date"": ""2026-08-11"", ""end_date"": ""2026-08-18""}",amon ra st brown,6.0,8,7.6,-2.0,1.5036507066318716
2434,Christian McCaffrey,RB,SF,6.5,1.06,1268,2,13,1.6,8,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 6809, ""start_date"": ""2026-08-11"", ""end_date"": ""2026-08-18""}",christian mccaffrey,7.0,6,4.8,1.0,6.113796693029482
4864,Jonathan Taylor,RB,IND,7.4,1.07,1425,2,12,1.8,13,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 6809, ""start_date"": ""2026-08-11"", ""end_date"": ""2026-08-18""}",jonathan taylor,8.0,7,7.5,1.0,6.1911656069618815
5683,De'Von Achane,RB,MIA,10.2,1.1,690,5,18,1.9,6,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 6809, ""start_date"": ""2026-08-11"", ""end_date"": ""2026-08-18""}",devon achane,9.5,10,9.0,-0.5,4.807218977860481
5574,Drake London,WR,ATL,10.2,1.1,244,6,16,1.6,11,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 6809, ""start_date"": ""2026-08-11"", ""end_date"": ""2026-08-18""}",drake london,9.5,14,12.6,-4.5,-0.7255580946047306
