sample,group,age,f_hat,se,lo,hi
primary,all,21.2,7.9392,0.3397,7.2733,8.6051
primary,all,21.3,8.0313,0.3293,7.3859,8.6767
primary,all,21.4,8.1229,0.3199,7.4959,8.75
primary,all,21.5,8.2141,0.3082,7.61,8.8181
primary,all,21.6,8.3046,0.2988,7.7191,8.8902
primary,all,21.7,8.3945,0.2889,7.8284,8.9607
primary,all,21.8,8.4837,0.2799,7.935,9.0323
primary,all,21.9,8.572,0.2708,8.0413,9.1027
primary,all,22.0,8.6594,0.2629,8.1441,9.1746
primary,all,22.1,8.7457,0.2533,8.2493,9.2422
primary,all,22.2,8.8311,0.2454,8.3501,9.312
primary,all,22.3,8.9152,0.2425,8.4399,9.3905
primary,all,22.4,8.9981,0.2383,8.5311,9.4651
primary,all,22.5,9.0797,0.2249,8.6388,9.5205
primary,all,22.6,9.1598,0.2213,8.726,9.5936
primary,all,22.7,9.2385,0.2185,8.8102,9.6668
primary,all,22.8,9.3156,0.2181,8.8881,9.7431
primary,all,22.9,9.3911,0.2111,8.9774,9.8048
primary,all,23.0,9.4648,0.2066,9.06,9.8697
primary,all,23.1,9.5367,0.2062,9.1326,9.9409
primary,all,23.2,9.6067,0.2009,9.213,10.0005
primary,all,23.3,9.6748,0.2002,9.2823,10.0672
primary,all,23.4,9.7408,0.1969,9.3549,10.1267
primary,all,23.5,9.8046,0.1932,9.4259,10.1833
primary,all,23.6,9.8662,0.1951,9.4838,10.2486
primary,all,23.7,9.9256,0.1962,9.541,10.3101
primary,all,23.8,9.9825,0.198,9.5944,10.3705
primary,all,23.9,10.037,0.1888,9.6668,10.4071
primary,all,24.0,10.0889,0.2016,9.6938,10.4839
primary,all,24.1,10.1382,0.1924,9.761,10.5154
primary,all,24.2,10.1847,0.1946,9.8033,10.5662
primary,all,24.3,10.2285,0.1959,9.8446,10.6124
primary,all,24.4,10.2694,0.1976,9.8821,10.6568
primary,all,24.5,10.3074,0.1992,9.917,10.6978
primary,all,24.6,10.3423,0.1904,9.9691,10.7156
primary,all,24.7,10.3743,0.2018,9.9788,10.7699
primary,all,24.8,10.4033,0.1933,10.0245,10.7821
primary,all,24.9,10.4295,0.2033,10.031,10.8279
primary,all,25.0,10.4527,0.204,10.0529,10.8526
primary,all,25.1,10.4732,0.1956,10.0899,10.8565
primary,all,25.2,10.4909,0.2058,10.0875,10.8943
primary,all,25.3,10.5059,0.196,10.1217,10.8902
primary,all,25.4,10.5183,0.2077,10.1111,10.9254
primary,all,25.5,10.528,0.2076,10.1212,10.9348
primary,all,25.6,10.5352,0.1982,10.1467,10.9237
primary,all,25.7,10.5398,0.1988,10.1501,10.9295
primary,all,25.8,10.5419,0.2087,10.1329,10.951
primary,all,25.9,10.5416,0.2074,10.1351,10.9482
primary,all,26.0,10.5389,0.2047,10.1378,10.9401
primary,all,26.1,10.5339,0.2106,10.1212,10.9466
primary,all,26.2,10.5266,0.2094,10.1161,10.9371
primary,all,26.3,10.517,0.2111,10.1033,10.9307
primary,all,26.4,10.5052,0.2182,10.0776,10.9328
primary,all,26.5,10.4913,0.217,10.0659,10.9166
primary,all,26.6,10.4752,0.2158,10.0522,10.8982
primary,all,26.7,10.4571,0.218,10.0298,10.8844
primary,all,26.8,10.4369,0.2216,10.0026,10.8712
primary,all,26.9,10.4148,0.2242,9.9754,10.8541
primary,all,27.0,10.3907,0.2231,9.9534,10.828
primary,all,27.1,10.3647,0.2307,9.9126,10.8168
primary,all,27.2,10.3369,0.2294,9.8873,10.7865
primary,all,27.3,10.3073,0.2362,9.8443,10.7703
primary,all,27.4,10.276,0.235,9.8154,10.7365
primary,all,27.5,10.2429,0.2335,9.7853,10.7005
primary,all,27.6,10.2081,0.2401,9.7376,10.6787
primary,all,27.7,10.1717,0.2389,9.7034,10.64
primary,all,27.8,10.1336,0.2452,9.6531,10.6142
primary,all,27.9,10.0939,0.2431,9.6174,10.5705
primary,all,28.0,10.0526,0.2489,9.5647,10.5404
primary,all,28.1,10.0096,0.2464,9.5266,10.4926
primary,all,28.2,9.9651,0.2518,9.4716,10.4585
primary,all,28.3,9.919,0.249,9.431,10.4069
primary,all,28.4,9.8713,0.2557,9.3701,10.3725
primary,all,28.5,9.8221,0.2682,9.2965,10.3477
primary,all,28.6,9.7714,0.2719,9.2385,10.3043
primary,all,28.7,9.7192,0.2684,9.1931,10.2452
primary,all,28.8,9.6654,0.2586,9.1586,10.1723
primary,all,28.9,9.6103,0.2627,9.0954,10.1252
primary,all,29.0,9.5536,0.2729,9.0187,10.0886
primary,all,29.1,9.4956,0.2726,8.9612,10.03
primary,all,29.2,9.4361,0.2731,8.9008,9.9715
primary,all,29.3,9.3752,0.269,8.8479,9.9026
primary,all,29.4,9.313,0.2756,8.7728,9.8531
primary,all,29.5,9.2494,0.2792,8.7022,9.7965
primary,all,29.6,9.1844,0.2782,8.6391,9.7297
primary,all,29.7,9.1181,0.2749,8.5793,9.6569
primary,all,29.8,9.0505,0.2815,8.4988,9.6023
primary,all,29.9,8.9816,0.286,8.421,9.5422
primary,all,30.0,8.9114,0.2927,8.3378,9.4851
primary,all,30.1,8.84,0.2893,8.2729,9.4071
primary,all,30.2,8.7673,0.283,8.2126,9.322
primary,all,30.3,8.6934,0.2906,8.1239,9.2629
primary,all,30.4,8.6183,0.2824,8.0648,9.1718
primary,all,30.5,8.542,0.3054,7.9434,9.1405
primary,all,30.6,8.4645,0.2983,7.8799,9.0491
primary,all,30.7,8.3859,0.2998,7.7982,8.9735
primary,all,30.8,8.3061,0.3032,7.7119,8.9003
primary,all,30.9,8.2252,0.2983,7.6404,8.8099
primary,all,31.0,8.1432,0.3192,7.5175,8.7689
primary,all,31.1,8.0601,0.3185,7.4357,8.6844
primary,all,31.2,7.9759,0.3116,7.3651,8.5867
primary,all,31.3,7.8907,0.3174,7.2685,8.5129
primary,all,31.4,7.8044,0.3246,7.1682,8.4406
primary,all,31.5,7.7172,0.3182,7.0934,8.3409
primary,all,31.6,7.6289,0.3325,6.9772,8.2806
primary,all,31.7,7.5396,0.3406,6.8721,8.2071
primary,all,31.8,7.4494,0.3407,6.7816,8.1172
primary,all,31.9,7.3582,0.3393,6.6931,8.0233
primary,all,32.0,7.2661,0.3517,6.5768,7.9554
primary,all,32.1,7.1731,0.3563,6.4747,7.8715
primary,all,32.2,7.0792,0.3517,6.3898,7.7686
primary,all,32.3,6.9844,0.3663,6.2664,7.7023
primary,all,32.4,6.8887,0.3632,6.1769,7.6005
primary,all,32.5,6.7922,0.3819,6.0436,7.5407
primary,all,32.6,6.6948,0.3826,5.9449,7.4448
primary,all,32.7,6.5967,0.384,5.844,7.3493
primary,all,32.8,6.4977,0.3921,5.7291,7.2663
