position,outcome,era,n,players,peak,peak_lo,peak_hi,cliff,cliff_lo,cliff_hi,slope28_32,slope_lo,slope_hi
WR,relative,POOLED,2071,622,25.500000000000064,24.648750000000053,26.75000000000008,28.900000000000112,27.798750000000098,30.05000000000013,-0.05668884476096431,-0.07198635345385972,-0.04099337286231942
WR,relative,1999-2007,368,159,26.05000000000007,21.70000000000001,30.350000000000133,30.650000000000137,22.150000000000016,33.55000000000018,-0.039386387925588795,-0.09058107224740544,0.009449761201975155
WR,relative,2008-2016,800,275,25.700000000000067,23.250000000000032,27.050000000000086,28.80000000000011,27.000000000000085,29.950000000000127,-0.07512653771980504,-0.10096815127340934,-0.04839449678808819
WR,relative,2017-2025,903,301,25.20000000000006,24.250000000000046,26.350000000000076,28.1000000000001,26.800000000000082,29.45125000000012,-0.07277671230598787,-0.09915037505082666,-0.047876411203632924
WR,absolute_confounded,POOLED,2071,622,25.550000000000065,24.797500000000053,26.75000000000008,28.85000000000011,27.648750000000096,29.900000000000126,-0.5878489026723761,-0.7779218184436897,-0.41261700375606625
WR,absolute_confounded,1999-2007,368,159,26.300000000000075,21.70000000000001,30.90125000000014,30.85000000000014,24.020000000000042,33.57750000000018,-0.399747489742039,-0.9166224776716535,0.11273204433823054
WR,absolute_confounded,2008-2016,800,275,26.400000000000077,23.500000000000036,27.750000000000096,29.600000000000122,27.547500000000092,31.202500000000143,-0.5897526396356807,-0.8566524848895245,-0.31311123346719616
WR,absolute_confounded,2017-2025,903,301,25.20000000000006,23.950000000000042,26.401250000000076,28.0000000000001,26.800000000000082,29.150000000000116,-0.732871963699016,-1.0394999210717135,-0.4477409337865583
RB,relative,POOLED,1997,555,24.750000000000053,23.70000000000004,25.801250000000067,27.40000000000009,26.397500000000075,28.2025000000001,-0.08445316257041235,-0.10769707274336265,-0.06317423064698799
RB,relative,1999-2007,594,206,25.500000000000064,21.450000000000006,26.70000000000008,28.200000000000102,22.000000000000014,29.50000000000012,-0.11067070315845093,-0.16305653147087698,-0.06533912640490115
RB,relative,2008-2016,685,241,24.850000000000055,23.75000000000004,27.20750000000008,28.300000000000104,25.750000000000068,31.05125000000014,-0.052391714697933106,-0.0887535984838339,-0.018202256362652706
RB,relative,2017-2025,718,230,24.350000000000048,21.250000000000004,26.05000000000007,27.000000000000085,24.848750000000056,28.0500000000001,-0.07345768161884911,-0.10412646979007033,-0.03584295174100068
RB,absolute_confounded,POOLED,1997,555,24.60000000000005,23.500000000000036,25.700000000000067,27.25000000000009,26.250000000000075,28.1012500000001,-0.8219241597716711,-1.054467258925162,-0.5975985557867919
RB,absolute_confounded,1999-2007,594,206,25.750000000000068,21.450000000000006,27.951250000000098,28.900000000000112,22.000000000000014,30.85000000000014,-0.8689623689048445,-1.479681436692101,-0.399943707822704
RB,absolute_confounded,2008-2016,685,241,24.60000000000005,23.500000000000036,26.400000000000077,27.200000000000088,25.650000000000066,29.351250000000118,-0.5441528891841942,-0.8774180603955062,-0.1763496522607837
RB,absolute_confounded,2017-2025,718,230,24.000000000000043,21.250000000000004,25.451250000000062,26.60000000000008,24.648750000000053,27.650000000000095,-0.8105115364949602,-1.0853084447293295,-0.43218845290879065
