fold,age,f_hat,lo_clamp,hi_clamp
2015,21.0,3.2505,21.0212,35.7892
2015,21.1,3.2119,21.0212,35.7892
2015,21.2,3.163,21.0212,35.7892
2015,21.3,3.1143,21.0212,35.7892
2015,21.4,3.0659,21.0212,35.7892
2015,21.5,3.0178,21.0212,35.7892
2015,21.6,2.97,21.0212,35.7892
2015,21.7,2.9227,21.0212,35.7892
2015,21.8,2.8759,21.0212,35.7892
2015,21.9,2.8297,21.0212,35.7892
2015,22.0,2.7842,21.0212,35.7892
2015,22.1,2.7393,21.0212,35.7892
2015,22.2,2.6953,21.0212,35.7892
2015,22.3,2.6521,21.0212,35.7892
2015,22.4,2.6098,21.0212,35.7892
2015,22.5,2.5685,21.0212,35.7892
2015,22.6,2.5283,21.0212,35.7892
2015,22.7,2.4892,21.0212,35.7892
2015,22.8,2.4512,21.0212,35.7892
2015,22.9,2.4146,21.0212,35.7892
2015,23.0,2.3792,21.0212,35.7892
2015,23.1,2.3453,21.0212,35.7892
2015,23.2,2.3128,21.0212,35.7892
2015,23.3,2.2818,21.0212,35.7892
2015,23.4,2.2524,21.0212,35.7892
2015,23.5,2.2247,21.0212,35.7892
2015,23.6,2.1987,21.0212,35.7892
2015,23.7,2.1745,21.0212,35.7892
2015,23.8,2.1521,21.0212,35.7892
2015,23.9,2.1317,21.0212,35.7892
2015,24.0,2.1133,21.0212,35.7892
2015,24.1,2.097,21.0212,35.7892
2015,24.2,2.0827,21.0212,35.7892
2015,24.3,2.0707,21.0212,35.7892
2015,24.4,2.0609,21.0212,35.7892
2015,24.5,2.0535,21.0212,35.7892
2015,24.6,2.0485,21.0212,35.7892
2015,24.7,2.0459,21.0212,35.7892
2015,24.8,2.0459,21.0212,35.7892
2015,24.9,2.0484,21.0212,35.7892
2015,25.0,2.0534,21.0212,35.7892
2015,25.1,2.0607,21.0212,35.7892
2015,25.2,2.0701,21.0212,35.7892
2015,25.3,2.0816,21.0212,35.7892
2015,25.4,2.0949,21.0212,35.7892
2015,25.5,2.11,21.0212,35.7892
2015,25.6,2.1267,21.0212,35.7892
2015,25.7,2.1449,21.0212,35.7892
2015,25.8,2.1644,21.0212,35.7892
2015,25.9,2.1851,21.0212,35.7892
2015,26.0,2.2069,21.0212,35.7892
2015,26.1,2.2296,21.0212,35.7892
2015,26.2,2.2531,21.0212,35.7892
2015,26.3,2.2772,21.0212,35.7892
2015,26.4,2.3018,21.0212,35.7892
2015,26.5,2.3268,21.0212,35.7892
2015,26.6,2.352,21.0212,35.7892
2015,26.7,2.3773,21.0212,35.7892
2015,26.8,2.4025,21.0212,35.7892
2015,26.9,2.4276,21.0212,35.7892
2015,27.0,2.4523,21.0212,35.7892
2015,27.1,2.4766,21.0212,35.7892
2015,27.2,2.5002,21.0212,35.7892
2015,27.3,2.5232,21.0212,35.7892
2015,27.4,2.5452,21.0212,35.7892
2015,27.5,2.5662,21.0212,35.7892
2015,27.6,2.5861,21.0212,35.7892
2015,27.7,2.6047,21.0212,35.7892
2015,27.8,2.622,21.0212,35.7892
2015,27.9,2.638,21.0212,35.7892
2015,28.0,2.6527,21.0212,35.7892
2015,28.1,2.6662,21.0212,35.7892
2015,28.2,2.6784,21.0212,35.7892
2015,28.3,2.6894,21.0212,35.7892
2015,28.4,2.6992,21.0212,35.7892
2015,28.5,2.7078,21.0212,35.7892
2015,28.6,2.7153,21.0212,35.7892
2015,28.7,2.7215,21.0212,35.7892
2015,28.8,2.7267,21.0212,35.7892
2015,28.9,2.7307,21.0212,35.7892
2015,29.0,2.7336,21.0212,35.7892
2015,29.1,2.7354,21.0212,35.7892
2015,29.2,2.7361,21.0212,35.7892
2015,29.3,2.7358,21.0212,35.7892
2015,29.4,2.7344,21.0212,35.7892
2015,29.5,2.732,21.0212,35.7892
2015,29.6,2.7286,21.0212,35.7892
2015,29.7,2.7242,21.0212,35.7892
2015,29.8,2.7188,21.0212,35.7892
2015,29.9,2.7124,21.0212,35.7892
2015,30.0,2.7051,21.0212,35.7892
2015,30.1,2.6968,21.0212,35.7892
2015,30.2,2.6877,21.0212,35.7892
2015,30.3,2.6776,21.0212,35.7892
2015,30.4,2.6666,21.0212,35.7892
2015,30.5,2.6548,21.0212,35.7892
2015,30.6,2.6422,21.0212,35.7892
2015,30.7,2.6286,21.0212,35.7892
2015,30.8,2.6143,21.0212,35.7892
2015,30.9,2.5992,21.0212,35.7892
2015,31.0,2.5833,21.0212,35.7892
2015,31.1,2.5666,21.0212,35.7892
2015,31.2,2.5491,21.0212,35.7892
2015,31.3,2.5309,21.0212,35.7892
2015,31.4,2.512,21.0212,35.7892
2015,31.5,2.4924,21.0212,35.7892
2015,31.6,2.4721,21.0212,35.7892
2015,31.7,2.4511,21.0212,35.7892
2015,31.8,2.4295,21.0212,35.7892
2015,31.9,2.4072,21.0212,35.7892
2015,32.0,2.3843,21.0212,35.7892
2015,32.1,2.3608,21.0212,35.7892
2015,32.2,2.3367,21.0212,35.7892
2015,32.3,2.312,21.0212,35.7892
2015,32.4,2.2867,21.0212,35.7892
2015,32.5,2.2609,21.0212,35.7892
2015,32.6,2.2346,21.0212,35.7892
2015,32.7,2.2077,21.0212,35.7892
2015,32.8,2.1804,21.0212,35.7892
2015,32.9,2.1525,21.0212,35.7892
2015,33.0,2.1243,21.0212,35.7892
2015,33.1,2.0955,21.0212,35.7892
2015,33.2,2.0663,21.0212,35.7892
2015,33.3,2.0367,21.0212,35.7892
2015,33.4,2.0068,21.0212,35.7892
2015,33.5,1.9764,21.0212,35.7892
2015,33.6,1.9456,21.0212,35.7892
2015,33.7,1.9145,21.0212,35.7892
2015,33.8,1.8831,21.0212,35.7892
2015,33.9,1.8513,21.0212,35.7892
2015,34.0,1.8193,21.0212,35.7892
2015,34.1,1.7869,21.0212,35.7892
2015,34.2,1.7543,21.0212,35.7892
2015,34.3,1.7214,21.0212,35.7892
2015,34.4,1.6883,21.0212,35.7892
2015,34.5,1.655,21.0212,35.7892
2015,34.6,1.6214,21.0212,35.7892
2015,34.7,1.5877,21.0212,35.7892
2015,34.8,1.5538,21.0212,35.7892
2015,34.9,1.5197,21.0212,35.7892
2015,35.0,1.4855,21.0212,35.7892
2015,35.1,1.4511,21.0212,35.7892
2015,35.2,1.4167,21.0212,35.7892
2015,35.3,1.3821,21.0212,35.7892
2015,35.4,1.3475,21.0212,35.7892
2015,35.5,1.3128,21.0212,35.7892
2015,35.6,1.278,21.0212,35.7892
2015,35.7,1.2433,21.0212,35.7892
2015,35.8,1.2122,21.0212,35.7892
2015,35.9,1.2122,21.0212,35.7892
2015,36.0,1.2122,21.0212,35.7892
2016,21.0,-3.8566,21.0294,35.3073
2016,21.1,-3.694,21.0294,35.3073
2016,21.2,-3.4637,21.0294,35.3073
2016,21.3,-3.234,21.0294,35.3073
2016,21.4,-3.0049,21.0294,35.3073
2016,21.5,-2.7767,21.0294,35.3073
2016,21.6,-2.5496,21.0294,35.3073
2016,21.7,-2.3237,21.0294,35.3073
2016,21.8,-2.0993,21.0294,35.3073
2016,21.9,-1.8764,21.0294,35.3073
2016,22.0,-1.6554,21.0294,35.3073
2016,22.1,-1.4365,21.0294,35.3073
2016,22.2,-1.2197,21.0294,35.3073
2016,22.3,-1.0052,21.0294,35.3073
2016,22.4,-0.7934,21.0294,35.3073
2016,22.5,-0.5843,21.0294,35.3073
2016,22.6,-0.3781,21.0294,35.3073
2016,22.7,-0.175,21.0294,35.3073
2016,22.8,0.0247,21.0294,35.3073
2016,22.9,0.2209,21.0294,35.3073
2016,23.0,0.4134,21.0294,35.3073
2016,23.1,0.6021,21.0294,35.3073
2016,23.2,0.7866,21.0294,35.3073
2016,23.3,0.967,21.0294,35.3073
2016,23.4,1.1429,21.0294,35.3073
2016,23.5,1.3141,21.0294,35.3073
2016,23.6,1.4805,21.0294,35.3073
2016,23.7,1.642,21.0294,35.3073
2016,23.8,1.7982,21.0294,35.3073
2016,23.9,1.9491,21.0294,35.3073
2016,24.0,2.0943,21.0294,35.3073
2016,24.1,2.2339,21.0294,35.3073
2016,24.2,2.3674,21.0294,35.3073
2016,24.3,2.4949,21.0294,35.3073
2016,24.4,2.616,21.0294,35.3073
2016,24.5,2.7306,21.0294,35.3073
2016,24.6,2.8386,21.0294,35.3073
