player_id,name,season,n_games,adot,target_share,yac_per_rec,td_per_target,slot,ppg,cluster,is_top30_recent
00-0020337,Steve Smith,2014,16,10.5448,0.2419,4.5949,0.0448,0,13.7188,1,False
00-0020337,Steve Smith,2016,14,8.6436,0.1721,4.0143,0.0495,0,13.1357,1,False
00-0020498,Reggie Wayne,2014,15,9.6897,0.1883,4.2656,0.0172,0,10.1267,1,False
00-0022044,Andre Johnson,2014,15,9.2381,0.3196,4.5765,0.0204,0,12.7067,1,False
00-0022044,Andre Johnson,2015,15,10.3553,0.129,3.5854,0.0526,0,7.6867,1,False
00-0022084,Anquan Boldin,2014,16,9.6947,0.269,4.8193,0.0382,1,13.725,2,False
00-0022084,Anquan Boldin,2015,14,8.0541,0.2418,4.087,0.036,1,12.1357,2,False
00-0022084,Anquan Boldin,2016,16,5.7474,0.1599,3.4478,0.0842,1,10.8375,2,False
00-0022414,Malcom Floyd,2014,15,17.0879,0.1695,2.3846,0.0659,0,11.5733,0,False
00-0022414,Malcom Floyd,2015,14,19.7647,0.1143,2.8667,0.0441,0,7.2929,0,False
00-0022427,Wes Welker,2014,13,6.381,0.123,3.9792,0.0317,0,8.1231,1,False
00-0022811,Jerricho Cotchery,2014,15,11.3846,0.1548,4.1458,0.0128,0,7.6,1,False
00-0022811,Jerricho Cotchery,2015,12,8.6346,0.1344,4.7027,0.0577,0,8.5583,1,False
00-0022921,Larry Fitzgerald,2014,14,9.9712,0.2068,5.2857,0.0192,1,10.8143,2,False
00-0022921,Larry Fitzgerald,2015,16,8.5379,0.258,4.2385,0.0621,1,17.5312,2,False
00-0022921,Larry Fitzgerald,2016,16,7.6667,0.2322,3.3458,0.04,1,15.2375,2,False
00-0022921,Larry Fitzgerald,2017,16,8.2981,0.2692,3.7431,0.0373,1,16.34,2,False
00-0022921,Larry Fitzgerald,2018,16,9.2232,0.2263,2.971,0.0536,1,11.605,2,False
00-0022921,Larry Fitzgerald,2019,16,7.8165,0.1968,4.5733,0.0367,1,11.0875,2,False
00-0022921,Larry Fitzgerald,2020,13,6.0,0.1516,3.4259,0.0139,1,7.7615,2,False
00-0023310,Lance Moore,2015,9,9.6923,0.101,2.1154,0.1026,0,8.7444,0,False
00-0023367,Nate Washington,2014,15,14.0282,0.1458,3.5128,0.0282,0,7.6533,1,False
00-0023367,Nate Washington,2015,13,11.3511,0.1938,3.4468,0.0426,0,10.5231,1,False
00-0023462,Roddy White,2014,14,9.88,0.222,2.275,0.056,0,15.15,1,False
00-0023462,Roddy White,2015,14,10.1594,0.128,2.4419,0.0145,0,7.1143,1,False
00-0023496,Vincent Jackson,2014,16,14.2746,0.2674,2.0,0.0141,0,11.2625,1,False
00-0023496,Vincent Jackson,2015,9,13.541,0.2234,3.2188,0.0492,0,11.7556,1,False
00-0023921,Miles Austin,2014,12,8.1667,0.1778,4.2553,0.0278,0,9.65,1,False
00-0023921,Miles Austin,2015,8,13.2857,0.0924,4.7692,0.0357,0,5.175,0,False
00-0024267,Greg Jennings,2014,16,10.9457,0.1779,3.339,0.0652,0,10.575,1,False
00-0024267,Greg Jennings,2015,9,9.9091,0.0907,3.2941,0.0303,0,4.6222,1,False
00-0024272,Devin Hester,2014,12,7.9107,0.1129,6.9143,0.0357,0,7.6667,0,False
00-0024324,Jason Avant,2014,13,9.0333,0.1296,4.4242,0.0167,0,5.7154,1,False
00-0024324,Jason Avant,2015,8,6.3636,0.0849,3.2667,0.0,0,3.3625,1,False
00-0024334,Brandon Marshall,2014,13,11.7075,0.2107,3.6721,0.0755,0,13.7769,1,False
00-0024334,Brandon Marshall,2015,16,12.1503,0.2864,4.0183,0.0809,0,21.2,1,False
00-0024334,Brandon Marshall,2016,15,12.5156,0.2462,2.9831,0.0234,0,10.3867,1,False
00-0024466,Marques Colston,2014,15,11.2121,0.1599,5.0,0.0505,0,11.8133,1,False
00-0024466,Marques Colston,2015,13,8.5373,0.122,4.2667,0.0597,0,9.3077,0,False
00-0025389,Calvin Johnson,2014,12,14.9764,0.2804,3.2429,0.063,0,18.75,1,False
00-0025389,Calvin Johnson,2015,15,12.9459,0.2438,3.3908,0.0608,0,17.2333,1,False
00-0025396,Ted Ginn,2015,14,16.0312,0.2143,5.4773,0.1042,0,13.1357,0,False
00-0025396,Ted Ginn,2016,14,12.5269,0.1853,3.3846,0.043,0,11.2857,1,False
00-0025396,Ted Ginn,2017,14,12.1594,0.1453,5.8077,0.058,0,11.3071,0,False
00-0025396,Ted Ginn,2019,12,15.5472,0.1191,1.5862,0.0377,0,6.9667,1,False
00-0025410,Dwayne Bowe,2014,15,9.1684,0.2074,3.8,0.0,0,9.0267,1,False
00-0025465,James Jones,2014,16,8.5179,0.1781,2.9726,0.0536,0,10.85,1,False
00-0025465,James Jones,2015,16,15.0606,0.1728,4.42,0.0808,0,11.9375,0,False
00-0026035,Danny Amendola,2014,8,6.4444,0.1104,2.84,0.0278,1,6.15,2,False
00-0026035,Danny Amendola,2015,13,6.7791,0.166,4.1094,0.0349,1,11.4031,2,False
00-0026035,Danny Amendola,2016,9,9.0,0.0874,3.0,0.1481,1,7.2333,2,False
00-0026035,Danny Amendola,2017,15,7.9302,0.1569,3.4426,0.0233,1,9.26,2,False
00-0026035,Danny Amendola,2018,13,7.4805,0.199,3.8421,0.013,1,9.4708,2,False
00-0026035,Danny Amendola,2019,13,8.8947,0.2,3.3607,0.0105,1,10.6892,2,False
00-0026035,Danny Amendola,2020,14,8.087,0.1364,6.3043,0.0,1,7.6,2,False
00-0026176,Jordy Nelson,2014,16,11.4768,0.2817,5.1122,0.0861,0,20.4938,1,False
00-0026176,Jordy Nelson,2016,16,12.25,0.2452,3.7216,0.0921,0,19.0438,1,False
00-0026176,Jordy Nelson,2017,14,10.9545,0.1833,2.4151,0.0682,0,9.8,1,False
00-0026176,Jordy Nelson,2018,13,9.0465,0.1894,3.8254,0.0349,0,12.0692,1,False
00-0026182,Eddie Royal,2014,15,9.6444,0.1642,5.8065,0.0778,0,12.08,0,False
00-0026182,Eddie Royal,2015,9,3.72,0.1684,4.7838,0.02,0,7.4111,1,False
00-0026182,Eddie Royal,2016,8,6.1905,0.1424,5.9688,0.0476,0,10.9375,0,False
00-0026189,DeSean Jackson,2014,15,14.5263,0.1859,8.3929,0.0632,0,13.9733,0,False
00-0026189,DeSean Jackson,2015,8,15.0625,0.1846,5.2667,0.0833,0,13.35,0,False
00-0026189,DeSean Jackson,2016,15,14.89,0.1742,5.0179,0.04,0,12.0333,0,False
00-0026189,DeSean Jackson,2017,13,16.1573,0.1809,3.7959,0.0337,0,10.4462,0,False
00-0026189,DeSean Jackson,2018,12,19.2027,0.1489,4.4146,0.0541,0,12.6083,0,False
00-0026189,DeSean Jackson,2021,9,18.5,0.0935,10.0,0.0667,0,7.6222,0,False
00-0026224,Harry Douglas,2014,12,8.2973,0.1591,4.6667,0.027,0,10.05,1,False
00-0026224,Harry Douglas,2015,14,12.0417,0.1485,3.6111,0.0278,0,6.3214,1,False
00-0026345,Pierre Garcon,2014,16,9.3048,0.192,5.0147,0.0286,0,10.075,1,False
00-0026345,Pierre Garcon,2015,16,10.7117,0.2,2.2778,0.0541,0,11.6063,1,False
00-0026345,Pierre Garcon,2016,16,10.3246,0.1878,4.3291,0.0263,0,12.5688,1,False
00-0026345,Pierre Garcon,2017,8,9.5373,0.2127,4.75,0.0,0,11.25,1,False
00-0026364,Steve Johnson,2014,11,9.1458,0.1337,5.4118,0.0625,0,8.6091,0,False
00-0026364,Steve Johnson,2015,9,5.8154,0.1826,5.8889,0.0462,0,12.5222,1,False
