player_id,name,season,age,G,M,p_hat,mean_tgt,G_snap,p_hat_snap,rookie_season
00-0020337,Steve Smith,2014,35,16,16,1.0,8.375,16.0,1.0,2001
00-0020337,Steve Smith,2015,36,7,16,0.4375,10.428571428571429,7.0,0.4375,2001
00-0020337,Steve Smith,2016,37,14,16,0.875,7.214285714285714,13.0,0.8125,2001
00-0020494,Santana Moss,2014,35,3,16,0.1875,4.333333333333333,3.0,0.1875,2001
00-0020498,Reggie Wayne,2014,36,15,16,0.9375,7.733333333333333,15.0,0.9375,2001
00-0022044,Andre Johnson,2014,33,15,16,0.9375,9.8,15.0,0.9375,2003
00-0022044,Andre Johnson,2015,34,15,16,0.9375,5.066666666666666,16.0,1.0,2003
00-0022044,Andre Johnson,2016,35,6,16,0.375,3.8333333333333335,6.0,0.375,2003
00-0022084,Anquan Boldin,2014,34,16,16,1.0,8.1875,16.0,1.0,2003
00-0022084,Anquan Boldin,2015,35,14,16,0.875,7.928571428571429,14.0,0.875,2003
00-0022084,Anquan Boldin,2016,36,16,16,1.0,5.9375,16.0,1.0,2003
00-0022097,Brandon Lloyd,2014,33,7,16,0.4375,4.285714285714286,11.0,0.6875,2003
00-0022414,Malcom Floyd,2014,33,15,16,0.9375,6.066666666666666,16.0,1.0,2004
00-0022414,Malcom Floyd,2015,34,14,16,0.875,4.857142857142857,12.0,0.75,2004
00-0022427,Wes Welker,2014,33,13,16,0.8125,4.846153846153846,14.0,0.875,2004
00-0022427,Wes Welker,2015,34,6,16,0.375,3.5,4.0,0.25,2004
00-0022811,Jerricho Cotchery,2014,32,15,16,0.9375,5.2,15.0,0.9375,2004
00-0022811,Jerricho Cotchery,2015,33,12,16,0.75,4.333333333333333,13.0,0.8125,2004
00-0022921,Larry Fitzgerald,2014,31,14,16,0.875,7.428571428571429,14.0,0.875,2004
00-0022921,Larry Fitzgerald,2015,32,16,16,1.0,9.0625,16.0,1.0,2004
00-0022921,Larry Fitzgerald,2016,33,16,16,1.0,9.375,16.0,1.0,2004
00-0022921,Larry Fitzgerald,2017,34,16,16,1.0,10.0625,16.0,1.0,2004
00-0022921,Larry Fitzgerald,2018,35,16,16,1.0,7.0,16.0,1.0,2004
00-0022921,Larry Fitzgerald,2019,36,16,16,1.0,6.8125,16.0,1.0,2004
00-0022921,Larry Fitzgerald,2020,37,13,16,0.8125,5.538461538461538,13.0,0.8125,2004
00-0023310,Lance Moore,2014,31,7,16,0.4375,3.142857142857143,7.0,0.4375,2005
00-0023310,Lance Moore,2015,32,9,16,0.5625,4.333333333333333,14.0,0.875,2005
