rank,name,team,position,adp,adp_rank,adp_rank_overall,edge,tier,n_seasons,n_games,mu_hat,n_eff,pi_market,tau2,sigma2_tier,V,B,theta_star,post_var,arm,value_prior,view_shift,value_post_views,post_SD_bl,replacement,vorp,sched,avail,floor_p25,bust_sched,usable,floor_ref,floor_gap,final,thin_data_flag,from_v01_judkins,from_v03_jt,from_v04_cmc,from_v05_lamb,from_v06_pickens,from_v07_jsn,from_v08_arsb,from_v09_barkley,from_v10_rice,from_v12_skattebo,from_v13_javonte,from_v17_djmoore,from_v18_egbuka,from_v20_gibbs,from_v23_pierce,from_v15_achane,from_v24_love,from_v25_montgomery,from_v26_sutton,from_v28_tmac,from_v19_odunze,from_v27_burden,from_v29_johnston,from_v30_hampton,from_v32_cook,from_v14_devonta,from_v21_walker,from_v33_nacua,from_v34_jeanty,from_v35_etienne,from_v36_metcalf,from_v37_mcconkey,from_v16_evans,from_v31_london,from_v22_jacobs,from_v38_hall,from_v39_nabers
1,Jahmyr Gibbs,DET,RB,1.6,1,1,0,vet,3,49.0,20.73764705882353,2.3333333333333335,19.40125646412411,11.74653700580229,39.64076972639763,16.988901311313267,0.5912177543223429,19.94754921252784,6.94476122963473,pi_market (market-anchored),19.40125646412411,0.7989948287007103,20.20025129282482,0.8333523402279932,6.209252692992744,13.990998599832075,54.0,0.907,9.35,0.18518518518518517,True,6.1499999999999995,3.2,14.310998599832075,,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.798994828700711,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2,Ja'Marr Chase,CIN,WR,3.9,2,4,2,vet,5,78.0,20.23370018975332,2.8181818181818183,19.556530987394957,10.782394134943546,43.140579588937385,15.307947596074555,0.5867285202276731,19.836385705709844,6.326338155306967,theta_star,19.836385705709844,0.0,19.836385705709844,1.7785300328230287,6.381994555367663,13.454391150342182,54.0,0.907,8.3,0.2222222222222222,True,4.6625,3.637500000000001,13.818141150342182,,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0
3,Bijan Robinson,ATL,RB,2.0,2,2,-1,vet,3,50.0,20.4031512605042,2.3333333333333335,19.40125646412411,11.74653700580229,39.64076972639763,16.988901311313267,0.5912177543223429,19.810813268921123,6.94476122963473,pi_market (market-anchored),19.40125646412411,0.0,19.40125646412411,1.8634324819583254,6.209252692992744,13.192003771131365,54.0,0.944,11.025,0.14814814814814814,True,6.1499999999999995,4.875000000000001,13.679503771131365,,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0
4,Amon-Ra St. Brown,DET,WR,7.0,4,7,3,vet,5,79.0,19.551040480708412,2.8181818181818183,18.379251629089865,10.782394134943546,43.140579588937385,15.307947596074555,0.5867285202276731,18.863518541778976,6.326338155306967,theta_star,18.863518541778976,0.20824072911051417,19.07175927088949,1.2576106467530965,6.381994555367663,12.689764715521829,54.0,0.926,12.450000000000001,0.14814814814814814,True,4.6625,7.787500000000001,13.46851471552183,,0.0,0.0,0.0,-0.0,0.0,-0.0,0.2082407291105124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0
5,Puka Nacua,LAR,WR,2.9,1,3,-2,vet,3,44.0,21.267494270435446,2.3333333333333335,19.556530987394957,10.782394134943546,43.140579588937385,18.48881982383031,0.6316382999991158,20.186784330974845,6.810573101316178,theta_star,20.186784330974845,-1.0983921654874216,19.088392165487424,1.3048537371403144,6.381994555367663,12.706397610119762,54.0,0.815,6.625,0.2962962962962963,True,4.6625,1.9625000000000004,12.902647610119761,,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0983921654874234,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0
6,Christian McCaffrey,SF,RB,5.3,3,5,-1,vet,9,112.0,21.040844255510425,2.9883040935672516,18.801468895250412,11.74653700580229,39.64076972639763,13.265306503354196,0.5303610067165963,19.853166885026585,6.229905191831054,pi_market (market-anchored),18.801468895250412,0.19970622094991697,19.00117511620033,1.578594969183806,6.209252692992744,12.791922423207584,54.0,0.685,0.0,0.3333333333333333,True,6.1499999999999995,-6.1499999999999995,12.176922423207584,,0.0,0.0,0.19970622094991766,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0
7,Jaxon Smith-Njigba,SEA,WR,5.9,3,6,-1,vet,3,51.0,17.608403361344536,2.3333333333333335,18.379251629089865,10.782394134943546,43.140579588937385,18.48881982383031,0.6316382999991158,18.09530065074046,6.810573101316178,theta_star,18.09530065074046,-0.25265032537022947,17.84265032537023,1.3048537371403144,6.381994555367663,11.460655770002568,54.0,0.944,6.6,0.2962962962962963,True,4.6625,1.9375,11.654405770002567,,0.0,0.0,0.0,-0.0,0.0,-0.25265032537022947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0
8,Rashee Rice,KC,WR,11.4,7,12,4,vet,3,27.0,18.79970238095238,2.3333333333333335,16.94065359477124,10.782394134943546,43.140579588937385,18.48881982383031,0.6316382999991158,17.625455966033506,6.810573101316178,theta_star,17.625455966033506,0.2572720169832472,17.882727983016753,1.3048537371403144,6.381994555367663,11.500733427649092,48.0,0.583,0.0,0.5,True,4.6625,-4.6625,11.034483427649091,,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.2572720169832472,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0
9,CeeDee Lamb,DAL,WR,11.3,6,11,2,vet,6,93.0,17.72019257703081,2.9076923076923076,17.439970562535834,10.782394134943546,43.140579588937385,14.836707266036667,0.579126763028035,17.55790850884714,6.244373013062324,theta_star,17.55790850884714,-0.7789542544235744,16.778954254423567,1.2494371745972588,6.381994555367663,10.396959699055905,54.0,0.833,9.075,0.2037037037037037,True,4.6625,4.4125,10.838209699055906,,0.0,0.0,0.0,-0.7789542544235708,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0
10,Jonathan Taylor,IND,RB,7.5,4,8,-2,vet,6,83.0,19.129223244853495,2.9076923076923076,16.783941579810566,11.74653700580229,39.64076972639763,13.633068953522995,0.5371662970407058,17.869416977324924,6.309843786458436,pi_market (market-anchored),16.783941579810566,0.39802921009471603,17.181970789905282,1.2559701217045767,6.209252692992744,10.972718096912537,54.0,0.759,3.725,0.3333333333333333,True,6.1499999999999995,-2.4249999999999994,10.730218096912537,,0.0,0.39802921009471603,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0
