rank_model,name,team,adp,adp_rank,tier,n_seasons,n_games,mu_hat,n_eff,m_deep,tau2,B,theta_star,post_SD,arm,board_value,delta_rank_vs_adp,thin_data_flag,team_2025,g_2025,ppg_2025,targets,tgt_share_2025,ay_share_2025,snap_share_2025,rz_tgt_share_2025,i10_tgt_share_2025,rec_tds,team_vacated_share_2026,position,carries,carry_share_full,touches_pg,gl10_carries,sig,pi,value,view
1,Puka Nacua,LAR,2.9,1,vet,3,44,21.26749427043545,2.3333333333333335,19.556530987394957,10.782394134943546,0.6316382999991158,20.186784330974845,2.6097074742806288,theta_star,20.186784330974845,0,,LA,16.0,23.4375,166.0,0.2857142857142857,0.2885040530582166,0.6826291079812207,0.1559633027522936,0.175438596491228,10.0,0.0258175559380378,WR,,,,,6.810573101316178,20.186784330974845,20.186784330974845,0.0
2,Ja'Marr Chase,CIN,3.9,2,vet,5,78,20.23370018975332,2.8181818181818183,19.556530987394957,10.782394134943546,0.5867285202276731,19.836385705709844,2.515221293506193,theta_star,19.836385705709844,0,,CIN,16.0,19.6,185.0,0.3042763157894737,0.3335457828765668,0.9435946462715104,0.2784810126582278,0.2105263157894736,8.0,0.0674342105263157,WR,,,,,6.326338155306967,19.836385705709844,19.836385705709844,0.0
3,Amon-Ra St. Brown,DET,7.0,4,vet,5,79,19.551040480708412,2.8181818181818183,18.379251629089865,10.782394134943546,0.5867285202276731,18.863518541778976,2.515221293506193,theta_star,18.863518541778976,1,,DET,17.0,19.058823529411764,172.0,0.3127272727272727,0.372454448017149,0.8544131028207461,0.3888888888888889,0.5,11.0,0.1454545454545454,WR,,,,,6.326338155306967,18.863518541778976,19.07175927088949,0.20824072911051417
4,Jaxon Smith-Njigba,SEA,5.9,3,vet,3,51,17.608403361344536,2.3333333333333335,18.379251629089865,10.782394134943546,0.6316382999991158,18.09530065074046,2.6097074742806288,theta_star,18.09530065074046,-1,,SEA,17.0,21.170588235294115,163.0,0.3582417582417582,0.4877594465141032,0.7791353383458647,0.2786885245901639,0.2692307692307692,10.0,0.0879120879120879,WR,,,,,6.810573101316178,18.09530065074046,17.84265032537023,-0.25265032537022947
5,Rashee Rice,KC,11.4,7,vet,3,27,18.79970238095238,2.3333333333333335,16.94065359477124,10.782394134943546,0.6316382999991158,17.625455966033506,2.6097074742806288,theta_star,17.625455966033506,2,,KC,8.0,18.7625,78.0,0.1420765027322404,0.0745643061989852,0.7319223985890653,0.2307692307692307,0.3181818181818182,5.0,0.3169398907103825,WR,,,,,6.810573101316178,17.625455966033506,17.882727983016753,0.2572720169832472
6,CeeDee Lamb,DAL,11.3,6,vet,6,93,17.72019257703081,2.9076923076923076,17.439970562535834,10.782394134943546,0.579126763028035,17.55790850884714,2.4988743491945176,theta_star,17.55790850884714,0,,DAL,13.0,15.453846153846154,117.0,0.1927512355848435,0.2767804300651016,0.7305389221556886,0.1683168316831683,0.1489361702127659,3.0,0.0939044481054365,WR,,,,,6.244373013062324,17.55790850884714,16.778954254423567,-0.7789542544235744
7,Drake London,ATL,10.6,5,vet,4,60,15.66433366013072,2.6470588235294117,17.943725961538462,10.782394134943546,0.6018310388772187,17.036142696895674,2.5473867911679027,theta_star,17.036142696895674,-2,,ATL,12.0,16.825,112.0,0.2157996146435452,0.2928057553956834,0.9020356234096693,0.25,0.32,7.0,0.3179190751445087,WR,,,,,6.489179463816704,17.036142696895674,17.036142696895674,0.0
8,A.J. Brown,NE,17.5,9,vet,7,103,16.283783478564047,2.953488372093023,16.42261932202348,10.782394134943546,0.5753131613547278,16.36365756657404,2.490633103599775,theta_star,16.36365756657404,1,,PHI,15.0,14.686666666666667,121.0,0.2607758620689655,0.3178674994423377,0.9054779806659506,0.2203389830508474,0.2272727272727272,7.0,0.2759336099585062,WR,,,,,6.203253256747047,16.36365756657404,16.363657566574044,3.552713678800501e-15
9,Justin Jefferson,MIN,13.3,8,vet,6,94,15.596991129785248,2.9076923076923076,16.42261932202348,10.782394134943546,0.579126763028035,16.075134512220863,2.4988743491945176,theta_star,16.075134512220863,-1,,MIN,17.0,11.852941176470589,141.0,0.3012820512820512,0.3827521959009848,0.94005994005994,0.24,0.3571428571428571,2.0,0.1794871794871795,WR,,,,,6.244373013062324,16.075134512220863,16.075134512220863,0.0
10,Nico Collins,HOU,23.2,12,vet,5,63,15.530952380952382,2.8181818181818183,15.39774859415863,10.782394134943546,0.5867285202276731,15.452797920238162,2.515221293506193,theta_star,15.452797920238162,2,,HOU,15.0,15.08,120.0,0.2169981916817359,0.3208814270724029,0.7687747035573123,0.24,0.2571428571428571,6.0,0.1844484629294756,WR,,,,,6.326338155306967,15.452797920238162,15.452797920238163,1.7763568394002505e-15
11,Davante Adams,LAR,41.2,20,vet,12,175,16.807252616496957,2.9985355137905785,14.318447404719464,10.782394134943546,0.5716106102813692,15.384625150521371,2.4826056657812847,theta_star,15.384625150521371,9,,LA,14.0,15.921428571428573,114.0,0.1962134251290878,0.2660280029476787,0.7032115171650055,0.2935779816513761,0.4035087719298245,14.0,0.0258175559380378,WR,,,,,6.163330891769336,15.384625150521371,15.384625150521373,1.7763568394002505e-15
12,Chris Olave,NO,20.1,10,vet,4,53,15.070611111111113,2.6470588235294117,15.39774859415863,10.782394134943546,0.6018310388772187,15.267492602389275,2.5473867911679027,theta_star,15.267492602389275,-2,,NO,16.0,16.75,156.0,0.2761061946902655,0.3845832462920409,0.8399621212121212,0.2884615384615384,0.3076923076923077,9.0,0.2761061946902655,WR,,,,,6.489179463816704,15.267492602389275,15.267492602389275,0.0
13,George Pickens,DAL,21.6,11,vet,4,64,14.679516806722688,2.6470588235294117,15.39774859415863,10.782394134943546,0.6018310388772187,15.111770989509903,2.5473867911679027,theta_star,15.111770989509903,-2,,DAL,17.0,17.170588235294115,137.0,0.2257001647446458,0.305188400078911,0.8161888701517707,0.2277227722772277,0.2127659574468085,9.0,0.0939044481054365,WR,,,,,6.489179463816704,15.111770989509903,15.555885494754952,0.44411450524504836
14,Malik Nabers,NYG,33.9,18,vet,2,19,15.59666666666667,1.8,14.50235995970254,10.782394134943546,0.6897097655400394,14.841912644377548,2.7270354839591304,theta_star,14.841912644377548,4,,NYG,4.0,14.275,35.0,0.0695825049701789,0.1240778001341381,0.779783393501805,0.0634920634920634,0.12,2.0,0.3518886679920477,WR,,,,,7.436722530772209,14.841912644377548,14.841912644377548,0.0
15,Tee Higgins,CIN,39.2,19,vet,6,81,15.041179138321995,2.9076923076923076,14.318447404719464,10.782394134943546,0.579126763028035,14.62262584890312,2.4988743491945176,theta_star,14.62262584890312,4,,CIN,15.0,14.106666666666666,98.0,0.1611842105263158,0.2791586998087954,0.8077731092436975,0.189873417721519,0.1842105263157894,11.0,0.0674342105263157,WR,,,,,6.244373013062324,14.62262584890312,14.62262584890312,0.0
16,Garrett Wilson,NYJ,28.5,14,vet,4,58,14.05036414565826,2.6470588235294117,14.881502854988153,10.782394134943546,0.6018310388772187,14.55056921854534,2.5473867911679027,theta_star,14.55056921854534,-2,,NYJ,7.0,14.214285714285714,59.0,0.125,0.1571680376028202,0.888631090487239,0.0851063829787234,0.05,4.0,0.2457627118644068,WR,,,,,6.489179463816704,14.55056921854534,14.55056921854534,0.0
17,Zay Flowers,BAL,26.6,13,vet,3,48,13.793508403361344,2.3333333333333335,14.881502854988153,10.782394134943546,0.6316382999991158,14.480727369195373,2.6097074742806288,theta_star,14.480727369195373,-4,,BAL,17.0,14.311764705882354,118.0,0.2899262899262899,0.3518410286382232,0.8658777120315582,0.2037037037037037,0.2,5.0,0.2800982800982801,WR,,,,,6.810573101316178,14.480727369195373,14.480727369195371,-1.7763568394002505e-15
18,DeVonta Smith,PHI,29.1,15,vet,5,80,13.246547949204496,2.8181818181818183,14.881502854988153,10.782394134943546,0.5867285202276731,14.205822621713915,2.515221293506193,theta_star,14.205822621713915,-3,,PHI,17.0,11.870588235294116,113.0,0.2435344827586207,0.3022529556100825,0.8425047438330171,0.1864406779661017,0.1363636363636363,4.0,0.3771551724137931,WR,,,,,6.326338155306967,14.205822621713915,14.947911310856957,0.742088689143042
19,Tetairoa McMillan,CAR,33.9,17,soph,1,17,12.552941176470588,1.0,14.50235995970254,9.389576648040723,0.8088492921551105,14.129727179401629,2.7558578383878753,theta_star,14.129727179401629,-2,single season: n_eff = 1,CAR,17.0,12.552941176470588,122.0,0.2541666666666666,0.408695652173913,0.8718190386427899,0.2142857142857142,0.2222222222222222,7.0,0.1583333333333333,WR,,,,,7.594752425403893,14.129727179401629,14.664863589700813,0.5351364102991845
20,Emeka Egbuka,TB,33.7,16,soph,1,17,11.511764705882351,1.0,14.564388227965946,9.389576648040723,0.8088492921551105,13.980877080935706,2.7558578383878753,theta_star,13.980877080935706,-4,single season: n_eff = 1,TB,17.0,11.511764705882351,127.0,0.2347504621072088,0.3490230905861456,0.781305114638448,0.1971830985915492,0.1739130434782608,6.0,0.3049907578558225,WR,,,,,7.594752425403893,13.980877080935706,14.420438540467854,0.43956145953214865
21,Ladd McConkey,LAC,44.2,22,vet,2,32,12.55625,1.8,13.894337842606388,10.782394134943546,0.6897097655400394,13.47914225219603,2.7270354839591304,theta_star,13.47914225219603,1,,LAC,16.0,11.30625,106.0,0.1948529411764706,0.2300923889133304,0.7807835820895522,0.1948051948051948,0.2,6.0,0.3033088235294117,WR,,,,,7.436722530772209,13.47914225219603,13.47914225219603,0.0
22,Terry McLaurin,WAS,42.6,21,vet,7,107,12.817073380533316,2.953488372093023,13.894337842606388,10.782394134943546,0.5753131613547278,13.436837803823677,2.490633103599775,theta_star,13.436837803823677,-1,,WAS,10.0,11.42,60.0,0.1388888888888889,0.2098549274637318,0.6983870967741935,0.1702127659574468,0.1304347826086956,3.0,0.5231481481481481,WR,,,,,6.203253256747047,13.436837803823677,13.436837803823678,1.7763568394002505e-15
23,Jameson Williams,DET,45.8,23,vet,4,43,12.649264069264069,2.6470588235294117,13.894337842606388,10.782394134943546,0.6018310388772187,13.398588111753456,2.5473867911679027,theta_star,13.398588111753456,0,,DET,17.0,12.93529411764706,102.0,0.1854545454545454,0.3453912111468382,0.902638762511374,0.1,0.0952380952380952,7.0,0.1454545454545454,WR,,,,,6.489179463816704,13.398588111753456,13.398588111753456,0.0
24,Jaylen Waddle,DEN,48.8,24,vet,5,77,12.542768003975784,2.8181818181818183,13.894337842606388,10.782394134943546,0.5867285202276731,13.335772575379874,2.515221293506193,theta_star,13.335772575379874,0,,MIA,16.0,12.1325,100.0,0.2164502164502164,0.388459250446163,0.7805405405405406,0.1746031746031746,0.1666666666666666,6.0,0.0205479452054794,WR,,,,,6.326338155306967,13.335772575379874,13.335772575379874,0.0
25,DJ Moore,BUF,51.3,26,vet,8,130,12.27039600153787,2.9766536964980546,13.894337842606388,10.782394134943546,0.5734031673209011,13.201569396751497,2.48649531434888,theta_star,13.201569396751497,1,,CHI,17.0,10.128235294117648,85.0,0.1597744360902255,0.1998381877022653,0.8483535528596187,0.1666666666666666,0.2307692307692307,6.0,0.1189979123173277,WR,,,,,6.182658948278935,13.201569396751497,13.690784698375747,0.48921530162425064
26,Mike Evans,SF,60.0,30,vet,12,175,13.662406955944771,2.9985355137905785,12.853924073475545,10.782394134943546,0.5716106102813692,13.200269562094498,2.4826056657812847,theta_star,13.200269562094498,4,,TB,8.0,10.6,62.0,0.1146025878003696,0.1829484902309058,0.6538461538461539,0.1267605633802817,0.217391304347826,3.0,0.3090909090909091,WR,,,,,6.163330891769336,13.200269562094498,13.61513478104725,0.41486521895275175
27,Rome Odunze,CHI,49.7,25,vet,2,29,10.957843137254905,1.8,13.894337842606388,10.782394134943546,0.6897097655400394,12.983172211992445,2.7270354839591304,theta_star,12.983172211992445,-2,,CHI,12.0,12.175,90.0,0.169172932330827,0.2532362459546926,0.879951980792317,0.1818181818181818,0.1923076923076923,6.0,0.3026315789473684,WR,,,,,7.436722530772209,12.983172211992445,13.471586105996222,0.4884138940037772
28,Courtland Sutton,DEN,59.8,29,vet,8,112,13.1324141950898,2.9766536964980546,12.853924073475545,10.782394134943546,0.5734031673209011,12.972727077288605,2.48649531434888,theta_star,12.972727077288605,1,,DEN,17.0,12.923529411764704,124.0,0.2123287671232876,0.3435828877005347,0.8552631578947368,0.2235294117647059,0.2058823529411764,7.0,0.0205479452054794,WR,,,,,6.182658948278935,12.972727077288605,12.186363538644303,-0.7863635386443022
29,Christian Watson,GB,68.7,33,vet,4,42,11.954043771043771,2.6470588235294117,12.853924073475545,10.782394134943546,0.6018310388772187,12.495619668321432,2.5473867911679027,m_deep (market),12.853924073475545,4,,GB,10.0,13.24,55.0,0.1195652173913043,0.2281111370534672,0.6752827140549273,0.0895522388059701,0.16,6.0,0.4021739130434782,WR,,,,,6.489179463816704,12.853924073475545,12.853924073475545,0.0
30,DK Metcalf,PIT,65.1,32,vet,7,111,12.933944341516131,2.953488372093023,12.853924073475545,10.782394134943546,0.5753131613547278,12.887907628137247,2.490633103599775,m_deep (market),12.853924073475545,2,,PIT,15.0,12.48,99.0,0.1896551724137931,0.3182926829268293,0.8719101123595505,0.1756756756756756,0.2058823529411764,6.0,0.4789272030651341,WR,,,,,6.203253256747047,12.853924073475545,12.853924073475547,1.7763568394002505e-15
31,Marvin Harrison Jr.,ARI,63.9,31,vet,2,28,11.598395721925137,1.8,12.853924073475545,10.782394134943546,0.6897097655400394,12.46434588690184,2.7270354839591304,m_deep (market),12.853924073475545,0,,ARI,12.0,10.65,73.0,0.1183144246353322,0.2030042918454935,0.7173637515842839,0.099009900990099,0.1470588235294117,4.0,0.2593192868719611,WR,,,,,7.436722530772209,12.853924073475545,12.853924073475545,0.0
32,Wan'Dale Robinson,TEN,70.9,34,vet,4,52,12.04959663865546,2.6470588235294117,12.739458663273002,10.782394134943546,0.6018310388772187,12.464777017612978,2.5473867911679027,m_deep (market),12.739458663273002,2,,NYG,16.0,13.61875,140.0,0.2783300198807157,0.265369997764364,0.9051162790697674,0.2063492063492063,0.2,4.0,0.3094339622641509,WR,,,,,6.489179463816704,12.739458663273002,12.739458663273002,0.0
