name,team,adp,position,curve,out_of_support,board_value,post_SD,pi,sd,value_final,view
Puka Nacua,LAR,2.9,WR,19.556530987394957,False,20.186784330974845,2.6097074742806288,20.186784330974845,2.6097074742806288,19.088392165487424,-1.0983921654874216
Ja'Marr Chase,CIN,3.9,WR,19.556530987394957,False,19.836385705709844,2.515221293506193,19.836385705709844,2.515221293506193,19.836385705709844,0.0
Jaxon Smith-Njigba,SEA,5.9,WR,18.379251629089865,False,18.09530065074046,2.6097074742806288,18.09530065074046,2.6097074742806288,17.84265032537023,-0.25265032537022947
Amon-Ra St. Brown,DET,7.0,WR,18.379251629089865,False,18.863518541778976,2.515221293506193,18.863518541778976,2.515221293506193,19.07175927088949,0.20824072911051417
Drake London,ATL,10.6,WR,17.943725961538462,False,17.036142696895674,2.5473867911679027,17.036142696895674,2.5473867911679027,15.968071348447836,-1.0680713484478375
CeeDee Lamb,DAL,11.3,WR,17.439970562535834,False,17.55790850884714,2.4988743491945176,17.55790850884714,2.4988743491945176,16.778954254423567,-0.7789542544235744
Rashee Rice,KC,11.4,WR,16.94065359477124,False,17.625455966033506,2.6097074742806288,17.625455966033506,2.6097074742806288,17.882727983016753,0.2572720169832472
Justin Jefferson,MIN,13.3,WR,16.42261932202348,False,16.075134512220863,2.4988743491945176,16.075134512220863,2.4988743491945176,16.075134512220863,0.0
A.J. Brown,NE,17.5,WR,16.42261932202348,False,16.36365756657404,2.490633103599775,16.36365756657404,2.490633103599775,16.363657566574044,3.552713678800501e-15
Chris Olave,NO,20.1,WR,15.39774859415863,False,15.267492602389275,2.5473867911679027,15.267492602389275,2.5473867911679027,15.267492602389275,0.0
George Pickens,DAL,21.6,WR,15.39774859415863,False,15.111770989509903,2.5473867911679027,15.111770989509903,2.5473867911679027,15.555885494754952,0.44411450524504836
Nico Collins,HOU,23.2,WR,15.39774859415863,False,15.452797920238162,2.515221293506193,15.452797920238162,2.515221293506193,15.452797920238163,1.7763568394002505e-15
Zay Flowers,BAL,26.6,WR,14.881502854988153,False,14.480727369195373,2.6097074742806288,14.480727369195373,2.6097074742806288,14.480727369195371,-1.7763568394002505e-15
Garrett Wilson,NYJ,28.5,WR,14.881502854988153,False,14.55056921854534,2.5473867911679027,14.55056921854534,2.5473867911679027,14.55056921854534,0.0
DeVonta Smith,PHI,29.1,WR,14.881502854988153,False,14.205822621713915,2.515221293506193,14.205822621713915,2.515221293506193,15.252911310856959,1.0470886891430435
Emeka Egbuka,TB,33.7,WR,14.564388227965946,False,13.980877080935706,2.7558578383878753,13.980877080935706,2.7558578383878753,14.420438540467854,0.43956145953214865
Tetairoa McMillan,CAR,33.9,WR,14.50235995970254,False,14.129727179401629,2.7558578383878753,14.129727179401629,2.7558578383878753,14.664863589700813,0.5351364102991845
Malik Nabers,NYG,33.9,WR,14.50235995970254,False,14.841912644377548,2.7270354839591304,14.841912644377548,2.7270354839591304,14.763530115502036,-0.07838252887551178
Tee Higgins,CIN,39.2,WR,14.318447404719464,False,14.62262584890312,2.4988743491945176,14.62262584890312,2.4988743491945176,14.62262584890312,0.0
Davante Adams,LAR,41.2,WR,14.318447404719464,False,15.384625150521371,2.4826056657812847,15.384625150521371,2.4826056657812847,15.384625150521373,1.7763568394002505e-15
Terry McLaurin,WAS,42.6,WR,13.894337842606388,False,13.436837803823677,2.490633103599775,13.436837803823677,2.490633103599775,13.436837803823678,1.7763568394002505e-15
Ladd McConkey,LAC,44.2,WR,13.894337842606388,False,13.47914225219603,2.7270354839591304,13.47914225219603,2.7270354839591304,14.189571126098015,0.710428873901984
Jameson Williams,DET,45.8,WR,13.894337842606388,False,13.398588111753456,2.5473867911679027,13.398588111753456,2.5473867911679027,13.398588111753456,0.0
Jaylen Waddle,DEN,48.8,WR,13.894337842606388,False,13.335772575379874,2.515221293506193,13.335772575379874,2.515221293506193,13.335772575379874,0.0
Rome Odunze,CHI,49.7,WR,13.894337842606388,False,12.983172211992445,2.7270354839591304,12.983172211992445,2.7270354839591304,13.471586105996222,0.4884138940037772
DJ Moore,BUF,51.3,WR,13.894337842606388,False,13.201569396751497,2.48649531434888,13.201569396751497,2.48649531434888,13.690784698375747,0.48921530162425064
Luther Burden III,CHI,53.4,WR,13.173062271062271,False,12.512124739680027,2.7558578383878753,12.512124739680027,2.7558578383878753,13.206062369840014,0.6939376301599864
Alec Pierce,IND,55.5,WR,12.853924073475545,False,12.015566896456772,2.5473867911679027,12.015566896456772,2.5473867911679027,11.874453517165417,-0.1411133792913546
Courtland Sutton,DEN,59.8,WR,12.853924073475545,False,12.972727077288605,2.48649531434888,12.972727077288605,2.48649531434888,12.186363538644303,-0.7863635386443022
Mike Evans,SF,60.0,WR,12.853924073475545,False,13.200269562094498,2.4826056657812847,13.200269562094498,2.4826056657812847,13.200134781047247,-0.00013478104725095363
Marvin Harrison Jr.,ARI,63.9,WR,12.853924073475545,False,12.853924073475545,2.7270354839591304,12.853924073475545,2.7270354839591304,12.853924073475545,0.0
DK Metcalf,PIT,65.1,WR,12.853924073475545,False,12.853924073475545,2.490633103599775,12.853924073475545,2.490633103599775,13.101962036737774,0.24803796326222916
Christian Watson,GB,68.7,WR,12.853924073475545,False,12.853924073475545,2.5473867911679027,12.853924073475545,2.5473867911679027,12.853924073475545,0.0
Wan'Dale Robinson,TEN,70.9,WR,12.739458663273002,False,12.739458663273002,2.5473867911679027,12.739458663273002,2.5473867911679027,12.739458663273002,0.0
Michael Pittman Jr.,PIT,72.2,WR,12.739458663273002,False,12.739458663273002,2.4988743491945176,12.739458663273002,2.4988743491945176,12.739458663273,-1.7763568394002505e-15
Parker Washington,JAX,75.4,WR,12.43820922971078,False,12.43820922971078,2.6097074742806288,12.43820922971078,2.6097074742806288,12.438209229710779,-1.7763568394002505e-15
Jakobi Meyers,JAX,76.1,WR,12.43820922971078,False,12.43820922971078,2.490633103599775,12.43820922971078,2.490633103599775,12.43820922971078,0.0
Carnell Tate,TEN,76.4,WR,12.43820922971078,False,12.43820922971078,3.3797501259033287,12.43820922971078,3.3797501259033287,12.43820922971078,0.0
Brian Thomas Jr.,JAX,83.0,WR,11.063778356464836,False,11.063778356464836,2.7270354839591304,11.063778356464836,2.7270354839591304,11.063778356464836,0.0
Jordyn Tyson,NO,85.6,WR,11.063778356464836,False,11.063778356464836,3.3797501259033287,11.063778356464836,3.3797501259033287,11.063778356464836,0.0
Michael Wilson,ARI,87.8,WR,11.063778356464836,False,11.063778356464836,2.6097074742806288,11.063778356464836,2.6097074742806288,11.063778356464836,0.0
Chris Godwin Jr.,TB,88.1,WR,11.063778356464836,False,11.063778356464836,2.484422099733776,11.063778356464836,2.484422099733776,11.063778356464836,0.0
Stefon Diggs,WAS,88.1,WR,11.063778356464836,False,11.063778356464836,2.4828652920657546,11.063778356464836,2.4828652920657546,11.063778356464836,0.0
Josh Downs,IND,92.4,WR,11.063778356464836,False,11.063778356464836,2.6097074742806288,11.063778356464836,2.6097074742806288,11.063778356464836,0.0
Jayden Reed,GB,92.5,WR,11.063778356464836,False,11.063778356464836,2.6097074742806288,11.063778356464836,2.6097074742806288,11.063778356464836,0.0
Quentin Johnston,LAC,95.2,WR,10.82380934425052,False,10.82380934425052,2.6097074742806288,10.82380934425052,2.6097074742806288,12.51190467212526,1.6880953278747395
Deebo Samuel Sr.,SF,97.7,WR,10.82380934425052,False,10.82380934425052,2.490633103599775,10.82380934425052,2.490633103599775,10.82380934425052,0.0
Khalil Shakir,BUF,101.1,WR,10.82380934425052,False,10.82380934425052,2.5473867911679027,10.82380934425052,2.5473867911679027,10.82380934425052,0.0
Jordan Addison,MIN,102.8,WR,10.82380934425052,False,10.82380934425052,2.6097074742806288,10.82380934425052,2.6097074742806288,10.82380934425052,0.0
Xavier Worthy,KC,104.4,WR,10.82380934425052,False,10.82380934425052,2.7270354839591304,10.82380934425052,2.7270354839591304,10.82380934425052,0.0
