name,team,adp,position,value_final,rk,adp_rk,edge
Josh Allen,,26.7,QB,21.533993551111884,1,28,27
Jahmyr Gibbs,DET,1.6,RB,20.36005025856496,2,1,-1
Puka Nacua,LAR,2.9,WR,20.186784330974845,3,3,0
Ja'Marr Chase,CIN,3.9,WR,19.836385705709844,4,4,0
Drake Maye,,49.6,QB,19.516798543728473,5,49,44
Lamar Jackson,,52.8,QB,19.516798543728473,6,54,48
Joe Burrow,,57.8,QB,19.516798543728473,7,58,51
Dak Prescott,,67.3,QB,19.516798543728473,8,69,61
Bijan Robinson,ATL,2.0,RB,19.40125646412411,9,2,-7
Amon-Ra St. Brown,DET,7.0,WR,19.175879635444748,10,7,-3
Christian McCaffrey,SF,5.3,RB,19.16094009296026,11,5,-6
Rashee Rice,KC,11.4,WR,18.011363991508375,12,12,0
Jaxon Smith-Njigba,SEA,5.9,WR,17.716325162685113,13,6,-7
Matthew Stafford,,83.6,QB,17.634423450195044,14,86,72
Jaxson Dart,,104.3,QB,17.634423450195044,15,106,91
Jayden Daniels,,71.3,QB,17.634423450195044,16,72,56
Jalen Hurts,,74.6,QB,17.634423450195044,17,76,59
Brock Purdy,,80.1,QB,17.634423450195044,18,82,64
Trevor Lawrence,,90.4,QB,17.634423450195044,19,94,75
Patrick Mahomes,,96.2,QB,17.634423450195044,20,99,79
Jared Goff,,105.4,QB,17.634423450195044,21,109,88
Caleb Williams,,106.4,QB,17.634423450195044,22,110,88
Justin Herbert,,108.5,QB,17.634423450195044,23,112,89
Bo Nix,,119.7,QB,17.614257741334594,24,120,96
Jonathan Taylor,IND,7.5,RB,17.38098539495264,25,8,-17
Drake London,ATL,10.6,WR,17.036142696895674,26,10,-16
Chase Brown,CIN,12.2,RB,16.78394157981057,27,13,-14
CeeDee Lamb,DAL,11.3,WR,16.38947712721178,28,11,-17
A.J. Brown,NE,17.5,WR,16.363657566574044,29,18,-11
De'Von Achane,MIA,9.4,RB,16.195985394952643,30,9,-21
Justin Jefferson,MIN,13.3,WR,16.075134512220863,31,14,-17
Baker Mayfield,,128.1,QB,15.920930567961449,32,127,95
Saquon Barkley,PHI,18.7,RB,15.86497852451257,33,19,-14
George Pickens,DAL,21.6,WR,15.777942747377477,34,22,-12
Sam Darnold,,140.1,QB,15.693481275118744,35,139,104
Tyler Shough,,136.7,QB,15.693481275118744,36,135,99
Kyler Murray,,145.0,QB,15.693481275118744,37,144,107
Jordan Love,,148.4,QB,15.56658179584737,38,147,109
Daniel Jones,,158.5,QB,15.56658179584737,39,162,123
C.J. Stroud,,159.3,QB,15.56658179584737,40,164,124
Malik Willis,,159.9,QB,15.56658179584737,41,168,127
Derrick Henry,BAL,16.1,RB,15.48991409805029,42,17,-25
James Cook III,BUF,15.1,RB,15.489914098050289,43,16,-27
Nico Collins,HOU,23.2,WR,15.452797920238163,44,23,-21
Davante Adams,LAR,41.2,WR,15.384625150521371,45,42,-3
DeVonta Smith,PHI,29.1,WR,15.318955655428478,46,31,-15
Chris Olave,NO,20.1,WR,15.267492602389275,47,21,-26
Ashton Jeanty,LV,14.1,RB,15.030362747759364,48,15,-33
Kenneth Walker,KC,26.5,RB,14.95602661382735,49,26,-23
Tetairoa McMillan,CAR,33.9,WR,14.932431794850404,50,35,-15
Malik Nabers,NYG,33.9,WR,14.841912644377548,51,35,-16
Emeka Egbuka,TB,33.7,WR,14.640219270233928,52,34,-18
Tee Higgins,CIN,39.2,WR,14.62262584890312,53,40,-13
Garrett Wilson,NYJ,28.5,WR,14.55056921854534,54,30,-24
Zay Flowers,BAL,26.6,WR,14.480727369195373,55,27,-28
Omarion Hampton,LAC,19.8,RB,14.434106455309395,56,20,-36
Josh Jacobs,GB,24.6,RB,14.252628131398012,57,24,-33
Cam Skattebo,NYG,30.6,RB,14.169081014677856,58,32,-26
Javonte Williams,DAL,36.7,RB,14.169081014677854,59,38,-21
DJ Moore,BUF,51.3,WR,13.935392349187874,60,53,-7
Mike Evans,SF,60.0,WR,13.822567390523623,61,60,-1
Rome Odunze,CHI,49.7,WR,13.715793052998112,62,50,-12
Jeremiyah Love,ARI,25.6,RB,13.658526613827346,63,25,-38
Luther Burden III,CHI,53.4,WR,13.553031184920007,64,55,-9
Ladd McConkey,LAC,44.2,WR,13.47914225219603,65,45,-20
Trey McBride,,35.3,TE,13.476185064935066,66,37,-29
Terry McLaurin,WAS,42.6,WR,13.43683780382368,67,43,-24
Kyren Williams,LAR,32.2,RB,13.416324058711414,68,33,-35
Travis Etienne Jr.,NO,37.1,RB,13.416324058711414,69,39,-30
Breece Hall,NYJ,28.3,RB,13.416324058711414,70,29,-41
Jameson Williams,DET,45.8,WR,13.398588111753456,71,47,-24
Jaylen Waddle,DEN,48.8,WR,13.335772575379874,72,48,-24
Brock Bowers,,40.7,TE,12.894331232492998,73,41,-32
DK Metcalf,PIT,65.1,WR,12.85392407347555,74,66,-8
Marvin Harrison Jr.,ARI,63.9,WR,12.853924073475545,75,64,-11
Christian Watson,GB,68.7,WR,12.853924073475545,76,70,-6
Wan'Dale Robinson,TEN,70.9,WR,12.739458663273002,77,71,-6
Michael Pittman Jr.,PIT,72.2,WR,12.739458663273,78,74,-4
Quentin Johnston,LAC,95.2,WR,12.51190467212526,79,98,19
Carnell Tate,TEN,76.4,WR,12.43820922971078,80,80,0
Jakobi Meyers,JAX,76.1,WR,12.43820922971078,81,79,-2
Parker Washington,JAX,75.4,WR,12.43820922971078,82,78,-4
Quinshon Judkins,CLE,49.8,RB,12.110070009647217,83,51,-32
Bucky Irving,TB,42.8,RB,12.035856922066072,84,44,-40
D'Andre Swift,CHI,44.4,RB,12.03585692206607,85,46,-39
Courtland Sutton,DEN,59.8,WR,11.793181769322151,86,59,-27
Alec Pierce,IND,55.5,WR,11.761562813732333,87,56,-31
Colston Loveland,,60.8,TE,11.629775407394895,88,61,-27
Tyler Warren,,65.8,TE,11.629775407394895,89,67,-22
Bhayshul Tuten,JAX,51.2,RB,11.36028003858886,90,52,-38
TreVeyon Henderson,NE,55.7,RB,11.36028003858886,91,57,-34
David Montgomery,HOU,63.6,RB,11.25138799732762,92,63,-29
Stefon Diggs,WAS,88.1,WR,11.063778356464836,93,90,-3
Chris Godwin Jr.,TB,88.1,WR,11.063778356464836,94,90,-4
Brian Thomas Jr.,JAX,83.0,WR,11.063778356464836,95,84,-11
Jordyn Tyson,NO,85.6,WR,11.063778356464836,96,87,-9
Michael Wilson,ARI,87.8,WR,11.063778356464836,97,89,-8
Josh Downs,IND,92.4,WR,11.063778356464836,98,96,-2
Jayden Reed,GB,92.5,WR,11.063778356464836,99,97,-2
Chuba Hubbard,CAR,74.7,RB,10.925918745824406,100,77,-23
Rhamondre Stevenson,NE,72.2,RB,10.925918745824406,101,74,-27
Rico Dowdle,PIT,71.3,RB,10.925918745824406,102,72,-30
