name,team,adp,position,vorp,rk,adp_rk,edge,vorp_new,vorp_rost,vorp_meta,sched,avail,floor_p25,bust_sched,yrs,usable,floor_gap,adj_0.0,adj_0.25,adj_0.5,adj_1.0,final,value_final,view
Jahmyr Gibbs,DET,1.6,RB,10.658463791696615,1,1,0,9.49812730570906,14.722541191819149,13.99025129282482,54.0,0.907,9.35,0.1851851851851851,3.0,True,3.2,13.99025129282482,14.79025129282482,15.59025129282482,17.19025129282482,14.31025129282482,20.20025129282482,0.7989948287007103
Puka Nacua,LAR,2.9,WR,9.887948392065653,2,3,1,10.087722495909986,12.910810980411584,12.708392165487425,54.0,0.815,6.625,0.2962962962962963,3.0,True,1.9625000000000004,12.708392165487425,13.199017165487424,13.689642165487424,14.670892165487423,12.904642165487424,19.088392165487424,-1.0983921654874216
Bijan Robinson,ATL,2.0,RB,9.859468962995903,3,2,-1,8.69913247700835,13.923546363118437,13.191256464124109,54.0,0.944,11.025,0.1481481481481481,3.0,True,4.875000000000001,13.191256464124107,14.410006464124107,15.628756464124107,18.06625646412411,13.67875646412411,19.40125646412411,0.0
Ja'Marr Chase,CIN,3.9,WR,9.537549766800652,4,4,0,9.737323870644984,12.560412355146582,13.456385705709845,54.0,0.907,8.3,0.2222222222222222,5.0,True,3.637500000000001,13.456385705709843,14.365760705709844,15.275135705709843,17.093885705709845,13.820135705709845,19.836385705709844,0.0
Christian McCaffrey,SF,5.3,RB,9.459387615072124,5,5,0,8.29905112908457,13.523465015194656,12.791175116200328,54.0,0.685,0.0,0.3333333333333333,9.0,True,-6.1499999999999995,12.791175116200328,11.253675116200329,9.71617511620033,6.641175116200329,12.176175116200328,19.00117511620033,0.19970622094991697
Amon-Ra St. Brown,DET,7.0,WR,8.772923331980298,6,7,1,8.972697435824632,11.795785920326228,12.691759270889492,54.0,0.926,12.45,0.1481481481481481,5.0,True,7.7875,12.691759270889492,14.638634270889492,16.585509270889492,20.479259270889493,13.470509270889492,19.07175927088949,0.20824072911051417
Jonathan Taylor,IND,7.5,RB,7.640183288777077,7,8,1,6.479846802789522,11.704260688899607,10.971970789905281,54.0,0.759,3.725,0.3333333333333333,6.0,True,-2.4249999999999994,10.97197078990528,10.36572078990528,9.75947078990528,8.54697078990528,10.729470789905282,17.181970789905282,0.39802921009471603
Rashee Rice,KC,11.4,WR,7.583892044107561,8,12,4,7.7836661479518945,10.606754632453493,11.502727983016754,48.0,0.583,0.0,0.5,3.0,True,-4.6625,11.502727983016754,10.337102983016754,9.171477983016754,6.840227983016755,11.036477983016754,17.882727983016753,0.2572720169832472
Jaxon Smith-Njigba,SEA,5.9,WR,7.543814386461037,9,6,-3,7.74358849030537,10.566676974806969,11.46265032537023,54.0,0.944,6.6,0.2962962962962963,3.0,True,1.9375,11.46265032537023,11.94702532537023,12.43140032537023,13.40015032537023,11.65640032537023,17.84265032537023,-0.25265032537022947
Chase Brown,CIN,12.2,RB,7.242154078682365,10,13,3,6.08181759269481,11.306231478804897,10.573941579810569,54.0,0.833,1.45,0.4259259259259259,3.0,True,-4.699999999999999,10.573941579810567,9.398941579810568,8.223941579810568,5.873941579810568,10.103941579810568,16.78394157981057,3.552713678800501e-15
De'Von Achane,MIA,9.4,RB,6.850183288777078,11,9,-2,5.689846802789523,10.91426068889961,10.181970789905282,54.0,0.815,4.5249999999999995,0.2962962962962963,3.0,True,-1.625,10.181970789905282,9.775720789905282,9.369470789905282,8.556970789905282,10.019470789905283,16.391970789905283,-0.3919707899052831
Drake London,ATL,10.6,WR,6.737306757986481,12,10,-2,6.937080861830815,9.760169346332413,9.588071348447837,54.0,0.833,4.575,0.3703703703703703,4.0,True,-0.0874999999999994,9.088071348447835,9.066196348447836,9.044321348447836,9.000571348447835,9.579321348447838,15.968071348447836,-1.0680713484478375
CeeDee Lamb,DAL,11.3,WR,6.480118315514375,13,11,-2,6.679892419358708,9.502980903860305,10.398954254423568,54.0,0.833,9.075,0.2037037037037037,6.0,True,4.4125,10.398954254423568,11.502079254423569,12.605204254423567,14.811454254423568,10.840204254423568,16.778954254423567,-0.7789542544235744
Omarion Hampton,LAC,19.8,RB,6.385033789933676,14,20,6,5.224697303946121,10.449111190056207,9.71682129106188,18.0,,,,1.0,False,0.0,9.71682129106188,9.71682129106188,9.71682129106188,9.71682129106188,9.71682129106188,15.92682129106188,1.4927148357524853
Ashton Jeanty,LV,14.1,RB,6.239663489909242,15,15,0,5.079327003921687,10.303740890031774,8.330725495518724,18.0,,,,1.0,False,0.0,9.571450991037448,9.571450991037448,9.571450991037448,9.571450991037448,8.330725495518724,14.540725495518725,-1.2407254955187224
Saquon Barkley,PHI,18.7,RB,6.1981695478969385,16,19,3,5.037833061909383,10.26224694801947,9.529957049025146,54.0,0.852,7.175,0.2777777777777778,8.0,True,1.0250000000000004,9.529957049025146,9.786207049025146,10.042457049025144,10.554957049025148,9.632457049025145,15.739957049025145,0.25004295097485496
A.J. Brown,NE,17.5,WR,6.064821627664852,17,18,1,6.264595731509186,9.087684216010782,9.983657566574045,54.0,0.833,3.875,0.3148148148148148,7.0,True,-0.7874999999999996,9.983657566574044,9.786782566574043,9.589907566574045,9.196157566574044,9.904907566574046,16.363657566574044,3.552713678800501e-15
Derrick Henry,BAL,16.1,RB,5.948126596922085,18,17,-1,4.78779011093453,10.012203997044615,9.279914098050291,54.0,0.944,10.125,0.2037037037037037,10.0,True,3.975000000000001,9.279914098050291,10.273664098050292,11.267414098050292,13.254914098050293,9.677414098050292,15.48991409805029,0.0
James Cook III,BUF,15.1,RB,5.948126596922084,19,16,-3,4.787790110934528,10.012203997044615,9.984957049025141,54.0,0.926,8.225,0.2407407407407407,4.0,True,2.075,9.98495704902514,10.50370704902514,11.02245704902514,12.05995704902514,10.19245704902514,16.19495704902514,0.7050429509748515
Justin Jefferson,MIN,13.3,WR,5.776298573311671,20,14,-6,5.976072677156004,8.7991611616576,9.695134512220864,54.0,0.815,4.7,0.3333333333333333,6.0,True,0.0375000000000005,9.695134512220864,9.704509512220865,9.713884512220863,9.732634512220866,9.698884512220864,16.075134512220863,0.0
George Pickens,DAL,21.6,WR,5.257049555845759,21,22,1,5.456823659690093,8.279912144191687,9.17588549475495,54.0,0.889,6.075,0.3518518518518518,4.0,True,1.4125000000000003,9.17588549475495,9.529010494754951,9.882135494754952,10.588385494754952,9.31713549475495,15.555885494754952,0.44411450524504836
Kenneth Walker,KC,26.5,RB,5.240265726526493,22,26,4,4.079929240538938,9.304343126649025,9.382053227654698,54.0,0.796,3.125,0.3888888888888889,4.0,True,-3.0249999999999995,9.382053227654698,8.625803227654698,7.869553227654698,6.357053227654698,9.079553227654698,15.592053227654699,1.1579467723453032
Nico Collins,HOU,23.2,WR,5.153961981328971,23,23,0,5.3537360851733045,8.1768245696749,9.072797920238163,54.0,0.778,5.425000000000001,0.3333333333333333,5.0,True,0.7625000000000011,9.072797920238164,9.263422920238163,9.454047920238164,9.835297920238164,9.149047920238162,15.452797920238163,1.7763568394002505e-15
Davante Adams,LAR,41.2,WR,5.085789211612179,24,42,18,5.285563315456512,8.108651799958107,9.004625150521374,54.0,0.833,6.95,0.3148148148148148,12.0,True,2.2875000000000005,9.004625150521374,9.576500150521374,10.148375150521376,11.292125150521375,9.233375150521374,15.384625150521373,1.7763568394002505e-15
Josh Allen,,26.7,QB,5.0081838901579445,25,28,3,4.849408788486372,9.227516410789324,9.433993551111884,54.0,0.907,14.445,0.1296296296296296,12.0,True,4.625,9.433993551111884,10.590243551111884,11.746493551111884,14.058993551111884,9.896493551111885,21.533993551111884,
Chris Olave,NO,20.1,WR,4.968656663480083,26,21,-5,5.168430767324416,7.991519251826012,8.887492602389276,54.0,0.741,0.0,0.3888888888888889,4.0,True,-4.6625,8.887492602389276,7.721867602389276,6.556242602389276,4.2249926023892765,8.421242602389276,15.267492602389275,0.0
Josh Jacobs,GB,24.6,RB,4.79149766311931,27,24,-3,3.631161177131755,8.855575063241842,7.857285164247517,54.0,0.833,5.875,0.2962962962962963,7.0,True,-0.2749999999999994,8.123285164247516,8.054535164247516,7.985785164247517,7.848285164247517,7.829785164247517,14.067285164247517,-0.36682129106187844
