name,team,position,adp,stdev,tier,mu_hat,n_eff,m_hat,B,pi,sig
Christian McCaffrey,SF,RB,6.6,1.6,vet,21.040844255510425,2.9883040935672516,18.69492684919034,0.5696001108880141,19.704609440736384,7.913078293153824
Jahmyr Gibbs,DET,RB,1.5,0.7,vet,20.73764705882353,2.3333333333333335,18.69492684919034,0.6289297055215988,19.45291963891591,7.913078293153824
Bijan Robinson,ATL,RB,2.0,0.7,vet,20.4031512605042,2.3333333333333335,18.69492684919034,0.6289297055215988,19.328798184531767,7.913078293153824
Puka Nacua,LAR,WR,3.1,0.9,vet,21.267494270435446,2.3333333333333335,18.08470833749912,0.6744860315109984,19.12074961738019,5.956804714567722
Jonathan Taylor,IND,RB,7.4,1.7,vet,19.129223244853495,2.9076923076923076,18.69492684919034,0.5762910609229639,18.87894211424176,7.913078293153824
Ja'Marr Chase,CIN,WR,3.8,1.0,vet,20.23370018975332,2.8181818181818183,18.08470833749912,0.6317546130769396,18.87606467362697,5.956804714567722
Amon-Ra St. Brown,DET,WR,6.3,1.3,vet,19.551040480708412,2.8181818181818183,18.08470833749912,0.6317546130769396,18.624678384932945,5.956804714567722
De'Von Achane,MIA,RB,10.4,1.9,vet,19.541923436041085,2.3333333333333335,17.583151129678246,0.6289297055215988,18.30999334621644,7.913078293153824
CeeDee Lamb,DAL,WR,10.7,2.0,vet,17.72019257703081,2.9076923076923076,18.08470833749912,0.6244509526839487,17.94781479092356,5.956804714567722
Jaxon Smith-Njigba,SEA,WR,5.4,1.1,vet,17.608403361344536,2.3333333333333335,18.08470833749912,0.6744860315109984,17.92966441449998,5.956804714567722
Drake London,ATL,WR,9.9,1.6,vet,15.664333660130719,2.6470588235294117,18.08470833749912,0.6462038944829394,17.228389202754066,5.956804714567722
Justin Jefferson,MIN,WR,11.6,2.3,vet,15.596991129785248,2.9076923076923076,18.08470833749912,0.6244509526839487,17.150448510150426,5.956804714567722
James Cook III,BUF,RB,12.7,2.9,vet,16.868582887700533,2.6470588235294117,16.87973838048392,0.5990423993652927,16.875265500863595,7.913078293153824
Derrick Henry,BAL,RB,17.7,2.6,vet,17.4887018189485,2.9941463414634146,16.114492158903186,0.5691212249060925,16.706609933945728,7.913078293153824
Rashee Rice,KC,WR,14.6,2.2,vet,18.79970238095238,2.3333333333333335,15.258774295026134,0.6744860315109984,16.41139584841015,5.956804714567722
Chase Brown,CIN,RB,13.4,2.6,vet,15.224159663865548,2.3333333333333335,16.87973838048392,0.6289297055215988,16.265402298576166,7.913078293153824
Ashton Jeanty,LV,RB,15.0,3.1,soph,14.41764705882353,1.0,16.190543020377497,0.8064887327080991,15.847467676080495,8.087792038404505
A.J. Brown,NE,WR,18.1,3.3,vet,16.283783478564047,2.953488372093023,15.258774295026134,0.6207791150229675,15.647479184716968,5.956804714567722
Saquon Barkley,PHI,RB,19.7,3.3,vet,16.724331142713496,2.9766536964980546,14.483353079184461,0.5705574978420087,15.44572430606754,7.913078293153824
Nico Collins,HOU,WR,21.0,2.9,vet,15.530952380952382,2.8181818181818183,15.258774295026134,0.6317546130769396,15.359002619590022,5.956804714567722
Chris Olave,NO,WR,20.1,3.6,vet,15.070611111111111,2.6470588235294117,15.258774295026134,0.6462038944829394,15.192202893355308,5.956804714567722
Davante Adams,LAR,WR,41.9,4.3,vet,16.807252616496957,2.9985355137905785,14.121116510466548,0.6172092103455751,15.14934467161319,5.956804714567722
Josh Jacobs,GB,RB,30.8,3.9,vet,16.11477060842508,2.953488372093023,14.387153529204111,0.5724707331543313,15.125760392473508,7.913078293153824
George Pickens,DAL,WR,20.3,3.0,vet,14.679516806722688,2.6470588235294117,15.258774295026134,0.6462038944829394,15.05383525157278,5.956804714567722
Cam Skattebo,NYG,RB,36.6,4.9,soph,17.82857142857143,1.0,14.387153529204111,0.8064887327080991,15.053106668191711,8.087792038404505
Kyren Williams,LAR,RB,31.6,4.3,vet,15.926058823529413,2.6470588235294117,14.387153529204111,0.5990423993652927,15.004189303620832,7.913078293153824
Malik Nabers,NYG,WR,27.3,3.5,vet,15.59666666666667,1.8,14.61763665901109,0.7287039305478349,14.883243651963772,5.956804714567722
Tee Higgins,CIN,WR,36.3,4.9,vet,15.041179138321995,2.9076923076923076,14.61763665901109,0.6244509526839487,14.77669763361418,5.956804714567722
Omarion Hampton,LAC,RB,23.3,4.3,soph,15.077777777777776,1.0,14.483353079184461,0.8064887327080991,14.59838095591886,8.087792038404505
Garrett Wilson,NYJ,WR,25.8,3.0,vet,14.05036414565826,2.6470588235294117,14.61763665901109,0.6462038944829394,14.416937853019984,5.956804714567722
Jeremiyah Love,ARI,RB,27.9,3.5,rookie,,0.0,14.387153529204111,1.0,14.387153529204111,7.341232830602354
Breece Hall,NYJ,RB,35.0,5.0,vet,14.311621848739495,2.6470588235294117,14.387153529204111,0.5990423993652927,14.356868527833111,7.913078293153824
Zay Flowers,BAL,WR,25.6,3.0,vet,13.793508403361345,2.3333333333333335,14.61763665901109,0.6744860315109984,14.349371399970623,5.956804714567722
Tetairoa McMillan,CAR,WR,32.6,3.6,soph,12.552941176470588,1.0,14.61763665901109,0.8299991366179679,14.266636644358224,5.519659526545828
DeVonta Smith,PHI,WR,29.6,3.7,vet,13.246547949204496,2.8181818181818183,14.61763665901109,0.6317546130769396,14.11273956656252,5.956804714567722
Emeka Egbuka,TB,WR,35.0,4.1,soph,11.511764705882353,1.0,14.61763665901109,0.8299991366179679,14.089635745425166,5.519659526545828
