name,team,adp,stdev,tier,exp,mu_hat,n_eff,m_flat,B_flat,theta_flat,m_rec,B_rec,theta_rec,delta,rank_flat,rank_rec,rank_move
Puka Nacua,LAR,3.1,0.7,vet,3,21.267494270435446,2.3333333333333335,18.700576563958915,0.621878608295669,19.671183059522313,18.08470833749912,0.6566994203916416,19.177360593045492,-0.4938224664768214,1,1,0
Ja'Marr Chase,CIN,3.9,1.0,vet,5,20.23370018975332,2.8181818181818183,18.700576563958915,0.5765765939326639,19.349736991515087,18.08470833749912,0.6129728859440955,18.916426452206714,-0.4333105393083727,2,2,0
Amon-Ra St. Brown,DET,6.4,1.3,vet,5,19.551040480708412,2.8181818181818183,18.25394794129773,0.5765765939326639,18.803167282319535,18.08470833749912,0.6129728859440955,18.65221863513282,-0.1509486471867163,3,3,0
CeeDee Lamb,DAL,10.7,2.0,vet,6,17.72019257703081,2.9076923076923076,18.00710576923077,0.5689252974641728,17.883424750249567,18.08470833749912,0.6055293123544404,17.940917554809545,0.05749280455997763,5,4,1
Jaxon Smith-Njigba,SEA,5.4,1.1,vet,3,17.608403361344536,2.3333333333333335,18.25394794129773,0.621878608295669,18.009853726318642,18.08470833749912,0.6566994203916416,17.921192563114907,-0.08866116320373507,4,5,-1
Drake London,ATL,10.2,1.6,vet,4,15.664333660130719,2.6470588235294117,18.00710576923077,0.5917919916269676,17.05076743250315,18.08470833749912,0.6277248580259435,17.183663010851387,0.1328955783482364,7,6,1
Justin Jefferson,MIN,12.4,2.7,vet,6,15.596991129785248,2.9076923076923076,16.461948529411764,0.5689252974641728,16.0890872756616,17.227959930016993,0.6055293123544404,16.584590545861126,0.49550327019952434,9,7,2
Rashee Rice,KC,14.5,2.3,vet,3,18.79970238095238,2.3333333333333335,16.174372178623514,0.621878608295669,17.16706568841152,15.258774295026134,0.6566994203916416,16.474376959276128,-0.6926887291353907,6,8,-2
A.J. Brown,NE,17.3,2.9,vet,7,16.283783478564047,2.953488372093023,16.174372178623514,0.5650886768831952,16.221956391844582,15.258774295026134,0.6017904477618925,15.666942743042714,-0.555013648801868,8,9,-1
Nico Collins,HOU,21.7,3.0,vet,5,15.530952380952382,2.8181818181818183,15.309814510824573,0.5765765939326639,15.403449461004566,15.258774295026134,0.6129728859440955,15.36411459413143,-0.03933486687313703,10,10,0
Davante Adams,LAR,41.2,4.4,vet,12,16.807252616496957,2.9985355137905785,14.133351985789945,0.5613649486199527,15.306218526325257,14.121116510466548,0.5981574996074587,15.200520159708493,-0.1056983666167639,11,11,0
Chris Olave,NO,21.9,3.1,vet,4,15.070611111111111,2.6470588235294117,15.309814510824573,0.5917919916269676,15.212169767431481,15.258774295026134,0.6277248580259435,15.188725819019878,-0.0234439484116038,12,12,0
George Pickens,DAL,19.6,2.7,vet,4,14.679516806722688,2.6470588235294117,15.309814510824573,0.5917919916269676,15.052521940351047,15.258774295026134,0.6277248580259435,15.043131131328433,-0.009390809022614022,14,13,1
Malik Nabers,NYG,27.8,4.1,vet,2,15.59666666666667,1.8,14.888359769943483,0.68071091917743,15.114514427938516,14.61763665901109,0.7126175998344494,14.898992652445248,-0.21552177549326856,13,14,-1
Tee Higgins,CIN,36.0,4.5,vet,6,15.041179138321995,2.9076923076923076,14.183591681330652,0.5689252974641728,14.553275939251652,14.61763665901109,0.6055293123544404,14.784711752071967,0.23143581282031533,16,15,1
Garrett Wilson,NYJ,27.2,3.3,vet,4,14.05036414565826,2.6470588235294117,14.888359769943483,0.5917919916269676,14.546283245128695,14.61763665901109,0.6277248580259435,14.406455203564686,-0.13982804156400874,17,16,1
Zay Flowers,BAL,24.4,3.1,vet,3,13.793508403361345,2.3333333333333335,15.179405480140774,0.621878608295669,14.655368148709972,14.61763665901109,0.6566994203916416,14.334712951174907,-0.3206551975350642,15,17,-2
Tetairoa McMillan,CAR,33.4,3.6,soph,1,12.552941176470588,1.0,14.888359769943483,0.8003191236070806,14.422021338454496,14.61763665901109,0.8151287659220753,14.235933857158711,-0.18608748129578423,18,18,0
DeVonta Smith,PHI,28.4,3.6,vet,5,13.246547949204496,2.8181818181818183,14.888359769943483,0.5765765939326639,14.193178216684567,14.61763665901109,0.6129728859440955,14.086988152540009,-0.1061900641445579,19,19,0
Emeka Egbuka,TB,37.1,5.1,soph,1,11.511764705882353,1.0,14.183591681330652,0.8003191236070806,13.650078929302893,14.61763665901109,0.8151287659220753,14.043450278148166,0.3933713488452728,20,20,0
Ladd McConkey,LAC,39.0,5.2,vet,2,12.55625,1.8,14.133351985789945,0.68071091917743,13.629800542383624,14.121116510466548,0.7126175998344494,13.671401416749982,0.04160087436635784,21,21,0
Mike Evans,SF,53.4,6.7,vet,12,13.662406955944771,2.9985355137905785,13.11668762609939,0.5613649486199527,13.356059252385204,12.345496916178542,0.5981574996074587,12.874687339350245,-0.48137191303495896,22,22,0
Terry McLaurin,WAS,46.2,4.6,vet,7,12.817073380533317,2.953488372093023,13.68010859492245,0.5650886768831952,13.304764807936078,12.759274924960417,0.6017904477618925,12.782290822074156,-0.5224739858619216,23,23,0
Jameson Williams,DET,44.0,4.3,vet,4,12.649264069264069,2.6470588235294117,13.68010859492245,0.5917919916269676,13.259309604161198,12.759274924960417,0.6277248580259435,12.718320618037371,-0.5409889861238266,24,24,0
Jaylen Waddle,DEN,45.5,5.4,vet,5,12.542768003975784,2.8181818181818183,13.68010859492245,0.5765765939326639,13.198531968045176,12.759274924960417,0.6129728859440955,12.675480876158606,-0.5230510918865701,25,25,0
DJ Moore,BUF,50.3,6.1,vet,8,12.27039600153787,2.9766536964980546,13.555967770655272,0.5631676143229414,12.99438838779264,12.345496916178542,0.5999167231427581,12.315450296154125,-0.6789380916385142,26,26,0
Christian Watson,GB,61.1,8.5,vet,4,11.954043771043773,2.6470588235294117,12.496525615649945,0.5917919916269676,12.27508018228473,12.017118503975786,0.6277248580259435,11.993637348818545,-0.28144283346618515,28,27,1
Rome Odunze,CHI,49.1,5.2,vet,2,10.957843137254903,1.8,13.555967770655272,0.68071091917743,12.726414944594392,12.345496916178542,0.7126175998344494,11.946709642592669,-0.779705302001723,27,28,-1
Luther Burden III,CHI,58.5,7.4,soph,1,9.715384615384615,1.0,12.496525615649945,0.8003191236070806,11.941184943344684,12.017118503975786,0.8151287659220753,11.591594119472955,-0.34959082387172913,29,29,0
Alec Pierce,IND,58.7,6.8,vet,4,10.748392857142857,2.6470588235294117,12.496525615649945,0.5917919916269676,11.782923823928112,12.017118503975786,0.6277248580259435,11.54480348367493,-0.2381203402531824,30,30,0
