name,team,position,adp,stdev,tier,mu_hat,n_eff,m_hat,B,pi,sig,theta_bar,shift,post_SD,rank,mkt_rank
Jahmyr Gibbs,DET,RB,1.8,0.7,vet,20.73764705882353,2.3333333333333335,18.69492684919034,0.6289297055215988,19.45291963891591,7.913078293153824,20.210583927783183,0.7576642888672751,0.8895548489640098,1,2
Christian McCaffrey,SF,RB,6.5,1.6,vet,21.040844255510425,2.9883040935672516,18.69492684919034,0.5696001108880141,19.704609440736384,7.913078293153824,19.72368755258911,0.01907811185272479,1.7791096979280197,2,7
Bijan Robinson,ATL,RB,1.7,0.7,vet,20.4031512605042,2.3333333333333335,18.69492684919034,0.6289297055215988,19.328798184531767,7.913078293153824,19.328798184531767,0.0,1.9891051119980843,3,1
Puka Nacua,LAR,WR,3.1,0.7,vet,21.26749427043545,2.3333333333333335,18.08470833749912,0.6744860315109984,19.12074961738019,5.956804714567722,19.12074961738019,0.0,1.7258048433365405,4,3
Amon-Ra St. Brown,DET,WR,6.4,1.3,vet,19.551040480708412,2.8181818181818183,18.08470833749912,0.6317546130769396,18.624678384932945,5.956804714567722,18.952339192466475,0.32766080753352966,1.220328307727855,5,6
Ja'Marr Chase,CIN,WR,3.9,1.0,vet,20.23370018975332,2.8181818181818183,18.08470833749912,0.6317546130769396,18.87606467362697,5.956804714567722,18.87606467362697,0.0,1.7258048433365405,6,4
Jonathan Taylor,IND,RB,7.4,1.8,vet,19.129223244853495,2.9076923076923076,18.69492684919034,0.5762910609229639,18.87894211424176,7.913078293153824,18.22947105712088,-0.6494710571208806,1.4065097131866726,7,8
Jaxon Smith-Njigba,SEA,WR,5.4,1.1,vet,17.608403361344536,2.3333333333333335,18.08470833749912,0.6744860315109984,17.92966441449998,5.956804714567722,17.75983220724999,-0.1698322072499927,1.220328307727855,8,5
Rashee Rice,KC,WR,14.5,2.3,vet,18.79970238095238,2.3333333333333335,15.258774295026134,0.6744860315109984,16.41139584841015,5.956804714567722,17.275697924205076,0.8643020757949245,1.220328307727855,9,15
Drake London,ATL,WR,10.2,1.6,vet,15.66433366013072,2.6470588235294117,18.08470833749912,0.6462038944829394,17.228389202754066,5.956804714567722,17.228389202754066,0.0,1.7258048433365405,10,9
De'Von Achane,MIA,RB,10.2,1.9,vet,19.541923436041085,2.3333333333333335,17.583151129678246,0.6289297055215988,18.30999334621644,7.913078293153824,17.15499667310822,-1.1549966731082222,1.4065097131866726,11,9
CeeDee Lamb,DAL,WR,10.7,2.0,vet,17.72019257703081,2.9076923076923076,18.08470833749912,0.6244509526839487,17.94781479092356,5.956804714567722,16.97390739546178,-0.9739073954617794,1.220328307727855,12,11
James Cook III,BUF,RB,12.7,3.0,vet,16.868582887700533,2.6470588235294117,16.87973838048392,0.5990423993652927,16.875265500863595,7.913078293153824,16.875265500863595,0.0,1.9891051119980843,13,13
Derrick Henry,BAL,RB,17.4,2.7,vet,17.4887018189485,2.994146341463414,16.114492158903186,0.5691212249060925,16.706609933945728,7.913078293153824,16.706609933945728,0.0,1.9891051119980843,14,18
Justin Jefferson,MIN,WR,12.4,2.7,vet,15.596991129785248,2.9076923076923076,17.227959930016993,0.6244509526839487,16.615451150887758,5.956804714567722,16.615451150887758,0.0,1.7258048433365405,15,12
Chase Brown,CIN,RB,13.5,2.8,vet,15.224159663865548,2.3333333333333335,16.87973838048392,0.6289297055215988,16.265402298576166,7.913078293153824,16.265402298576166,0.0,1.9891051119980843,16,14
