rank,name,team,position,adp,adp_rank,adp_rank_overall,edge,adp_espn,adp_ffc_equiv_espn,adp_price_used,tier,n_seasons,n_games,mu_hat,n_eff,pi_market,tau2,sigma2_tier,V,B,theta_star,age_2026,mu_star_z,mu_star,theta_star_mu_star,theta_used,proj,w_market,w_history,w_projection,post_var,arm,value_prior,view_shift_player,value_post_views,struct_shift,value_ranked,post_SD_bl,replacement,vorp,sched,avail,floor_p25,bust_sched,usable,floor_ref,floor_ref_positional,floor_ref_source,floor_gap,final,thin_data_flag,from_v01_judkins,from_v03_jt,from_v04_cmc,from_v05_lamb,from_v06_pickens,from_v07_jsn,from_v08_arsb,from_v09_barkley,from_v10_rice,from_v12_skattebo,from_v13_javonte,from_v17_djmoore,from_v18_egbuka,from_v20_gibbs,from_v23_pierce,from_v15_achane,from_v24_love,from_v25_montgomery,from_v26_sutton,from_v28_tmac,from_v19_odunze,from_v27_burden,from_v29_johnston,from_v30_hampton,from_v32_cook,from_v14_devonta,from_v21_walker,from_v33_nacua,from_v34_jeanty,from_v35_etienne,from_v36_metcalf,from_v37_mcconkey,from_v16_evans,from_v31_london,from_v22_jacobs,from_v38_hall,from_v39_nabers,from_s01_delta_rb
1,Jahmyr Gibbs,DET,RB,1.6,1,1,0,1.61,1.6,1.6,vet,3,49.0,20.73764705882353,2.3333333333333335,19.40125646412411,11.74653700580229,39.64076972639763,16.988901311313267,0.5912177543223429,19.94754921252784,24.451745379876797,0.014014249365496117,17.80777642423258,18.749870114974726,18.749870114974726,,,,,6.94476122963473,pi_market (market-anchored),19.40125646412411,0.7989948287007103,20.20025129282482,1.4,21.60025129282482,0.8333523402279932,7.4745791409013185,14.1256721519235,54.0,0.907,9.35,0.18518518518518517,True,6.075,6.1125,top70,3.2749999999999995,14.4531721519235,,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.798994828700711,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,1.4
2,Bijan Robinson,ATL,RB,2.0,2,2,0,2.61,2.0,2.0,vet,3,50.0,20.4031512605042,2.3333333333333335,19.40125646412411,11.74653700580229,39.64076972639763,16.988901311313267,0.5912177543223429,19.810813268921123,24.58590006844627,0.009150818882047983,17.5152363819632,18.630284939545213,18.630284939545213,,,,,6.94476122963473,pi_market (market-anchored),19.40125646412411,0.0,19.40125646412411,1.4,20.80125646412411,1.8634324819583254,7.4745791409013185,13.326677323222789,54.0,0.944,11.025,0.14814814814814814,True,6.075,6.1125,top70,4.95,13.821677323222788,,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,1.4
3,Christian McCaffrey,SF,RB,5.3,3,5,2,6.65,5.591958512006325,5.3,vet,9,112.0,21.040844255510425,2.9883040935672516,18.801468895250412,11.74653700580229,39.64076972639763,13.265306503354196,0.5303610067165963,19.853166885026585,30.234086242299796,-0.09998792535909036,16.08751548843996,17.52689054945789,17.52689054945789,,,,,6.229905191831054,pi_market (market-anchored),18.801468895250412,0.19970622094991697,19.00117511620033,1.4,20.401175116200328,1.578594969183806,7.4745791409013185,12.926595975299009,54.0,0.685,0.0,0.3333333333333333,True,6.075,6.1125,top70,-6.075,12.319095975299009,,0.0,0.0,0.19970622094991766,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,1.4
4,Amon-Ra St. Brown,DET,WR,7.0,4,7,3,8.33,7.245688373094718,7.0,vet,5,79.0,19.551040480708412,2.8181818181818183,18.379251629089865,10.782394134943546,43.140579588937385,15.307947596074555,0.5867285202276731,18.863518541778976,26.855578370978783,-0.039718919493463165,17.118638732813867,17.858276272025805,17.858276272025805,,,,,6.326338155306967,theta_star,17.858276272025805,0.7108618639871018,18.569138136012906,0.0,18.569138136012906,1.2576106467530965,7.920755406757527,10.64838272925538,54.0,0.926,12.450000000000001,0.14814814814814814,True,4.65,4.6875,top70,7.800000000000001,11.428382729255379,,0.0,0.0,0.0,-0.0,0.0,-0.0,0.7108618639870983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0
5,Ja'Marr Chase,CIN,WR,3.9,2,4,-1,4.71,3.899999999999999,3.9,vet,5,78.0,20.23370018975332,2.8181818181818183,19.556530987394957,10.782394134943546,43.140579588937385,15.307947596074555,0.5867285202276731,19.836385705709844,26.50239561943874,-0.03041015187168411,17.716656791624978,18.79616345591418,18.79616345591418,,,,,6.326338155306967,theta_star,18.79616345591418,0.0,18.79616345591418,0.0,18.79616345591418,1.7785300328230287,7.920755406757527,10.875408049156652,54.0,0.907,8.3,0.2222222222222222,True,4.65,4.6875,top70,3.6500000000000004,11.240408049156652,,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0
6,Puka Nacua,LAR,WR,2.9,1,3,-3,3.79,2.9,2.9,vet,3,44.0,21.267494270435446,2.3333333333333335,19.556530987394957,10.782394134943546,43.140579588937385,18.48881982383031,0.6316382999991158,20.186784330974845,25.259411362080765,0.024076758225212432,19.056164570481116,19.372215163437225,19.372215163437225,,,,,6.810573101316178,theta_star,19.372215163437225,-0.6911075817186152,18.68110758171861,0.0,18.68110758171861,1.3048537371403144,7.920755406757527,10.760352174961083,54.0,0.815,6.625,0.2962962962962963,True,4.65,4.6875,top70,1.9749999999999996,10.957852174961083,,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6911075817186134,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0
7,Jonathan Taylor,IND,RB,7.5,4,8,1,8.08,7.245688373094718,7.5,vet,6,83.0,19.129223244853495,2.9076923076923076,16.783941579810566,11.74653700580229,39.64076972639763,13.633068953522995,0.5371662970407058,17.869416977324924,27.616700889801507,-0.08358811026791324,15.156683933469862,16.030791897685873,16.030791897685873,,,,,6.309843786458436,pi_market (market-anchored),16.783941579810566,0.39802921009471603,17.181970789905282,1.4,18.58197078990528,1.2559701217045767,7.4745791409013185,11.107391649003961,54.0,0.759,3.725,0.3333333333333333,True,6.075,6.1125,top70,-2.35,10.872391649003962,,0.0,0.39802921009471603,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,1.4
8,James Cook III,BUF,RB,15.1,8,16,8,12.97,14.332959804660137,15.1,vet,4,64.0,16.26278711484594,2.6470588235294117,15.48991409805029,11.74653700580229,39.64076972639763,14.975401896639104,0.5604159919425199,15.829656716492797,26.934976043805612,-0.06499630274805014,13.660327794935577,14.685657217840056,14.685657217840056,,,,,6.582947187996207,pi_market (market-anchored),15.48991409805029,0.7050429509748515,16.19495704902514,1.4,17.59495704902514,1.2828627350574386,7.4745791409013185,10.120377908123821,54.0,0.926,8.225,0.24074074074074073,True,6.075,6.1125,top70,2.1499999999999995,10.33537790812382,,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.7050429509748541,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,1.4
9,Chase Brown,CIN,RB,12.2,6,13,4,26.14,21.905821305289543,12.2,vet,3,40.0,15.10171068427371,2.3333333333333335,16.783941579810566,11.74653700580229,39.64076972639763,16.988901311313267,0.5912177543223429,16.096275456584674,26.4476386036961,-0.04985838368927425,13.181766249608296,15.311436259005827,15.311436259005827,,,,,6.94476122963473,pi_market (market-anchored),16.783941579810566,3.552713678800501e-15,16.78394157981057,1.4,18.18394157981057,1.8634324819583254,7.4745791409013185,10.709362438909249,54.0,0.833,1.45,0.42592592592592593,True,6.075,6.1125,top70,-4.625,10.246862438909249,,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,1.4
10,De'Von Achane,MIA,RB,9.4,5,9,-1,12.32,11.220683505587504,9.4,vet,3,44.0,19.045530939648586,2.3333333333333335,16.783941579810566,11.74653700580229,39.64076972639763,16.988901311313267,0.5912177543223429,17.708439157125845,24.88432580424367,-0.0011586368843108867,16.486014400999977,16.662154238607965,16.662154238607965,,,,,6.94476122963473,pi_market (market-anchored),16.783941579810566,-0.3919707899052831,16.391970789905283,1.4,17.79197078990528,1.3176457442760108,7.4745791409013185,10.317391649003962,54.0,0.815,4.5249999999999995,0.2962962962962963,True,6.075,6.1125,top70,-1.5500000000000007,10.162391649003963,,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.3919707899052831,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,1.4
