overall_rank,name,team,adp,position,pi,sig,theta_bar,shift,post_SD,theta_tau0.25,theta_tau1.0
1,Puka Nacua,LAR,2.9,WR,20.203916686693887,6.995706845089024,20.203916686693887,0.0,1.87025490844016,20.203916686693887,20.203916686693887
2,Jahmyr Gibbs,DET,1.6,RB,19.40125646412411,12.991944015840865,20.20025129282482,0.7989948287007103,1.1398220920758144,20.20025129282482,20.20025129282482
3,Ja'Marr Chase,CIN,3.9,WR,19.84343855707492,6.485773461465934,19.84343855707492,0.0,1.8008016911178661,19.84343855707492,19.84343855707492
4,Bijan Robinson,ATL,2.0,RB,19.40125646412411,12.991944015840865,19.40125646412411,0.0,2.5487196801375456,19.40125646412411,19.40125646412411
5,Amon-Ra St. Brown,DET,7.0,WR,18.8757229547572,6.485773461465934,19.077861477378605,0.20213852262140364,1.2733590873616458,19.0778614773786,19.0778614773786
6,Christian McCaffrey,SF,5.3,RB,18.801468895250412,12.991944015840865,19.001175116200326,0.19970622094991342,2.279644184151629,19.001175116200326,19.001175116200326
7,Rashee Rice,KC,11.4,WR,17.644071143471628,6.995706845089024,17.892035571735814,0.2479644282641864,1.3224699283054628,17.892035571735814,17.892035571735814
8,Jaxon Smith-Njigba,SEA,5.9,WR,18.087581930614007,6.995706845089024,17.838790965307005,-0.24879096530700195,1.3224699283054628,17.838790965307005,17.838790965307005
9,Jonathan Taylor,IND,7.5,RB,16.783941579810566,12.991944015840865,17.181970789905282,0.39802921009471603,1.8022169691688668,17.181970789905282,17.181970789905282
10,Drake London,ATL,10.6,WR,17.012665957525968,6.657037092896323,17.012665957525968,0.0,1.8244227981606023,17.012665957525968,17.012665957525968
11,Chase Brown,CIN,12.2,RB,16.783941579810566,12.991944015840865,16.783941579810566,0.0,2.5487196801375456,16.783941579810566,16.783941579810566
12,CeeDee Lamb,DAL,11.3,WR,17.560841294429405,6.399653037140908,16.7804206472147,-0.7804206472147044,1.2648767763245663,16.7804206472147,16.7804206472147
13,De'Von Achane,MIA,9.4,RB,16.783941579810566,12.991944015840865,16.391970789905283,-0.3919707899052831,1.8022169691688668,16.391970789905283,16.391970789905283
14,A.J. Brown,NE,17.5,WR,16.362201246889388,6.356469858895891,16.362201246889388,0.0,1.782760480111657,16.362201246889388,16.362201246889388
15,Justin Jefferson,MIN,13.3,WR,16.06649354065811,6.399653037140908,16.06649354065811,0.0,1.7888058918089615,16.06649354065811,16.06649354065811
16,Saquon Barkley,PHI,18.7,RB,15.48991409805029,12.991944015840865,15.739957049025145,0.25004295097485496,1.8022169691688668,15.739957049025145,15.739957049025145
17,George Pickens,DAL,21.6,WR,15.10437351761783,6.657037092896323,15.552186758808913,0.4478132411910831,1.2900617323306978,15.552186758808913,15.552186758808913
18,Derrick Henry,BAL,16.1,RB,15.48991409805029,12.991944015840865,15.489914098050289,-1.7763568394002505e-15,2.5487196801375456,15.489914098050289,15.489914098050289
19,James Cook III,BUF,15.1,RB,15.48991409805029,12.991944015840865,15.489914098050289,-1.7763568394002505e-15,2.5487196801375456,15.489914098050289,15.489914098050289
20,Nico Collins,HOU,23.2,WR,15.454185264060428,6.485773461465934,15.454185264060428,0.0,1.8008016911178661,15.454185264060428,15.454185264060428
21,Davante Adams,LAR,41.2,WR,15.410785459607643,6.3145576846418425,15.410785459607643,0.0,1.7768733332235367,15.410785459607643,15.410785459607643
