rank,name,team,position,adp,adp_rank,adp_rank_overall,edge,adp_espn,adp_ffc_equiv_espn,adp_price_used,n_seasons,n_games,mu_hat,n_eff,pi_market,tau2,sigma2_tier,V,B,theta_star,age_2026,mu_star_z,mu_star,theta_star_mu_star,theta_used,proj,w_market,w_history,w_projection,post_var,arm,value_prior,view_shift_player,value_post_views,struct_shift,value_ranked,post_SD_bl,replacement,vorp,sched,avail,floor_p25,bust_sched,usable,floor_ref,floor_ref_positional,floor_ref_source,floor_gap,final,thin_data_flag,from_v01_judkins,from_v03_jt,from_v04_cmc,from_v05_lamb,from_v06_pickens,from_v07_jsn,from_v08_arsb,from_v09_barkley,from_v10_rice,from_v12_skattebo,from_v13_javonte,from_v17_djmoore,from_v18_egbuka,from_v20_gibbs,from_v23_pierce,from_v15_achane,from_v24_love,from_v25_montgomery,from_v26_sutton,from_v28_tmac,from_v19_odunze,from_v27_burden,from_v29_johnston,from_v30_hampton,from_v32_cook,from_v14_devonta,from_v21_walker,from_v33_nacua,from_v34_jeanty,from_v35_etienne,from_v36_metcalf,from_v37_mcconkey,from_v16_evans,from_v31_london,from_v22_jacobs,from_v38_hall,from_v39_nabers,from_s01_delta_rb,k,obs_pick,price,exp_pick,tier,order,BOARD
1,Jahmyr Gibbs,DET,RB,1.5,1,1,0,1.61,1.6,1.6,3,49.0,20.73764705882353,2.3333333333333335,19.40125646412411,11.74653700580229,39.64076972639763,16.988901311313267,0.5912177543223429,19.94754921252784,24.451745379876797,0.0140142493654961,17.80777642423258,18.74987011497473,18.74987011497473,,,,,6.94476122963473,theta_star,18.74987011497473,1.320103908020215,20.06997402299494,1.4,21.46997402299494,0.8333523402279932,7.4745791409013185,13.99539488209362,54.0,0.907,9.35,0.1851851851851851,True,6.1125,6.1125,top70,3.2375,14.31914488209362,,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.320103908020218,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,1.4,jahmyr gibbs,1.0,1.5550000000000002,1.0,1.0,2.0,1.0
2,Bijan Robinson,ATL,RB,2.0,2,2,0,2.61,2.0,2.0,3,50.0,20.4031512605042,2.3333333333333335,19.40125646412411,11.74653700580229,39.64076972639763,16.988901311313267,0.5912177543223429,19.810813268921123,24.58590006844627,0.0091508188820479,17.5152363819632,18.630284939545213,18.630284939545213,,,,,6.94476122963473,theta_star,18.630284939545213,0.0,18.630284939545213,1.4,20.03028493954521,1.8634324819583257,7.4745791409013185,12.555705798643892,54.0,0.944,11.025,0.1481481481481481,True,6.1125,6.1125,top70,4.9125000000000005,13.046955798643893,,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,1.4,bijan robinson,2.0,2.3049999999999997,2.0,1.0,3.0,2.0
3,Amon-Ra St. Brown,DET,WR,6.3,4,6,3,8.33,7.245688373094718,7.245688373094718,5,79.0,19.551040480708412,2.8181818181818183,18.328297591797643,10.782394134943546,43.140579588937385,15.307947596074555,0.5867285202276731,18.833622354878884,26.855578370978783,-0.0397189194934631,17.118638732813867,17.828380085125712,17.828380085125712,,,,,6.326338155306967,theta_star,17.828380085125712,0.7258099574371464,18.55419004256286,0.0,18.55419004256286,1.2576106467530963,7.920755406757527,10.633434635805331,54.0,0.926,12.45,0.1481481481481481,True,4.65,4.6875,top70,7.800000000000001,11.41343463580533,,0.0,0.0,0.0,-0.0,0.0,-0.0,0.7258099574371446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,amon-ra st brown,7.0,7.3149999999999995,7.0,2.0,2.0,3.0
4,Christian McCaffrey,SF,RB,6.6,3,7,3,6.65,5.591958512006325,5.591958512006325,9,112.0,21.040844255510425,2.9883040935672516,18.801468895250412,11.74653700580229,39.64076972639763,13.265306503354196,0.5303610067165963,19.853166885026585,30.234086242299796,-0.0999879253590903,16.08751548843996,17.52689054945789,17.52689054945789,,,,,6.229905191831054,theta_star,17.52689054945789,0.4546218901084202,17.98151243956631,1.4,19.381512439566308,1.578594969183806,7.4745791409013185,11.906933298664988,54.0,0.685,0.0,0.3333333333333333,True,6.1125,6.1125,top70,-6.1125,11.295683298664988,,0.0,0.0,0.4546218901084223,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,1.4,christian mccaffrey,5.0,6.625,5.0,1.0,1.0,4.0
5,Ja'Marr Chase,CIN,WR,3.8,2,4,-1,4.71,3.899999999999999,3.899999999999999,5,78.0,20.23370018975332,2.8181818181818183,19.556530987394957,10.782394134943546,43.140579588937385,15.307947596074555,0.5867285202276731,19.836385705709844,26.50239561943874,-0.0304101518716841,17.716656791624978,18.79616345591418,18.79616345591418,,,,,6.326338155306967,theta_star,18.79616345591418,0.0,18.79616345591418,0.0,18.79616345591418,1.778530032823029,7.920755406757527,10.875408049156652,54.0,0.907,8.3,0.2222222222222222,True,4.65,4.6875,top70,3.65,11.240408049156652,,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,jamarr chase,3.0,4.255,3.0,1.0,1.0,5.0
6,Puka Nacua,LAR,WR,3.1,1,3,-3,3.79,2.9,2.9,3,44.0,21.26749427043545,2.3333333333333335,19.556530987394957,10.782394134943546,43.140579588937385,18.48881982383031,0.6316382999991158,20.186784330974845,25.259411362080765,0.0240767582252124,19.056164570481116,19.372215163437225,19.372215163437225,,,,,6.810573101316178,theta_star,19.372215163437225,-0.6911075817186152,18.68110758171861,0.0,18.68110758171861,1.3048537371403144,7.920755406757527,10.760352174961085,54.0,0.815,6.625,0.2962962962962963,True,4.65,4.6875,top70,1.9749999999999996,10.957852174961085,,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6911075817186134,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,puka nacua,4.0,3.4450000000000003,4.0,1.0,2.0,6.0
7,Jonathan Taylor,IND,RB,7.4,4,8,1,8.08,7.245688373094718,7.245688373094718,6,83.0,19.129223244853495,2.9076923076923076,16.783941579810566,11.74653700580229,39.64076972639763,13.633068953522995,0.5371662970407058,17.869416977324924,27.616700889801507,-0.0835881102679132,15.156683933469862,16.030791897685873,16.030791897685873,,,,,6.309843786458436,theta_star,16.030791897685873,0.7746040511570627,16.805395948842936,1.4,18.205395948842938,1.255970121704577,7.4745791409013185,10.730816807941617,54.0,0.759,3.725,0.3333333333333333,True,6.1125,6.1125,top70,-2.3874999999999997,10.492066807941615,,0.0,0.7746040511570627,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,1.4,jonathan taylor,8.0,7.74,8.0,2.0,1.0,7.0
8,De'Von Achane,MIA,RB,10.4,5,10,2,12.32,11.220683505587504,11.220683505587504,3,44.0,19.045530939648582,2.3333333333333335,16.783941579810566,11.74653700580229,39.64076972639763,16.988901311313267,0.5912177543223429,17.708439157125845,24.88432580424367,-0.0011586368843108,16.486014400999977,16.662154238607965,16.662154238607965,,,,,6.94476122963473,theta_star,16.662154238607965,-0.3310771193039841,16.33107711930398,1.4,17.73107711930398,1.3176457442760108,7.4745791409013185,10.25649797840266,54.0,0.815,4.5249999999999995,0.2962962962962963,True,6.1125,6.1125,top70,-1.5875000000000004,10.09774797840266,,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.3310771193039823,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,1.4,devon achane,15.0,11.36,15.0,2.0,5.0,8.0
9,James Cook III,BUF,RB,12.7,6,13,4,12.97,14.332959804660137,14.332959804660137,4,64.0,16.26278711484594,2.6470588235294117,15.768437837349294,11.74653700580229,39.64076972639763,14.975401896639104,0.5604159919425199,15.985745874131588,26.934976043805612,-0.0649963027480501,13.660327794935576,14.841746375478849,14.841746375478849,,,,,6.582947187996207,theta_star,14.841746375478849,1.0291268122605768,15.870873187739424,1.4,17.270873187739426,1.2828627350574386,7.4745791409013185,9.796294046838106,54.0,0.926,8.225,0.2407407407407407,True,6.1125,6.1125,top70,2.1125,10.007544046838106,,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1.029126812260575,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,1.4,james cook,9.0,12.835,9.0,2.0,2.0,9.0
10,Jaxon Smith-Njigba,SEA,WR,5.4,3,5,-5,5.83,5.591958512006325,5.591958512006325,3,51.0,17.608403361344536,2.3333333333333335,18.388907594210217,10.782394134943546,43.140579588937385,18.48881982383031,0.6316382999991158,18.101399728133927,24.54483230663929,0.0501113962286879,16.666439336084554,17.75441625844949,17.75441625844949,,,,,6.810573101316178,theta_star,17.75441625844949,-0.082208129224746,17.672208129224742,0.0,17.672208129224742,1.3048537371403144,7.920755406757527,9.751452722467215,54.0,0.944,6.6,0.2962962962962963,True,4.65,4.6875,top70,1.9499999999999993,9.946452722467216,,0.0,0.0,0.0,-0.0,0.0,-0.0822081292247443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,jaxon smith-njigba,6.0,5.615,6.0,2.0,1.0,10.0
11,Omarion Hampton,LAC,RB,23.3,12,24,13,22.08,21.077558739681457,21.077558739681457,1,9.0,15.077777777777776,1.0,14.434106455309395,15.4867051194987,43.81668066802514,43.81668066802514,0.7388563078845868,14.6021971609676,23.463381245722108,0.05168311527354,14.869249338015592,14.547741274297035,14.547741274297035,,,,,11.442449765890135,theta_star,14.547741274297035,1.4018069805623732,15.949548254859408,1.4,17.349548254859407,1.0696938705017496,7.4745791409013185,9.874969113958088,18.0,0.5,0.0,0.6111111111111112,False,6.1125,6.1125,top70,0.0,9.874969113958088,single season,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1.4018069805623723,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,1.4,omarion hampton,11.0,22.689999999999998,11.0,2.0,4.0,11.0
12,Travis Etienne Jr.,NO,RB,40.1,19,41,29,50.15,49.702296406664395,49.702296406664395,4,66.0,13.299372549019608,2.6470588235294117,11.36028003858886,11.74653700580229,39.64076972639763,14.975401896639104,0.5604159919425199,12.21267409631825,27.59753593429158,-0.0831485526709017,11.486699965824352,11.415852216901373,11.415852216901373,,,,,6.582947187996207,theta_star,11.415852216901373,3.9873182264789,15.403170443380272,1.4,16.80317044338027,0.8113536336269288,7.4745791409013185,9.328591302478952,54.0,0.907,6.325,0.3148148148148148,True,6.1125,6.1125,top70,0.2125000000000003,9.349841302478952,,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,3.9873182264789007,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,1.4,travis etienne,34.0,45.125,34.0,4.0,1.0,12.0
13,Saquon Barkley,PHI,RB,19.7,10,19,6,17.01,14.332959804660137,14.332959804660137,8,106.0,16.696799719887956,2.9766536964980546,15.768437837349294,11.74653700580229,39.64076972639763,13.317225908083907,0.5313338605156411,16.20352961688312,29.557837097878167,-0.0999775118012306,13.347552974729462,14.633851074649137,14.633851074649137,,,,,6.241332854982771,theta_star,14.633851074649137,0.6780744626754327,15.311925537324568,1.4,16.711925537324568,1.2491329848121426,7.4745791409013185,9.237346396423249,54.0,0.852,7.175,0.2777777777777778,True,6.1125,6.1125,top70,1.0625,9.343596396423248,,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.6780744626754327,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,1.4,saquon barkley,16.0,18.355,16.0,2.0,7.0,13.0
14,CeeDee Lamb,DAL,WR,10.7,6,11,-3,10.59,11.220683505587504,11.220683505587504,6,93.0,17.72019257703081,2.9076923076923076,17.839163741548816,10.782394134943546,43.140579588937385,14.836707266036669,0.579126763028035,17.789091962431797,27.40041067761807,-0.0465962588049456,15.709106812150624,16.942679786738434,16.942679786738434,,,,,6.244373013062324,theta_star,16.942679786738434,-0.471339893369219,16.471339893369215,0.0,16.471339893369215,1.2494371745972588,7.920755406757527,8.550584486611688,54.0,0.833,9.075,0.2037037037037037,True,4.65,4.6875,top70,4.424999999999999,8.99308448661169,,0.0,0.0,0.0,-0.4713398933692172,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,ceedee lamb,12.0,10.645,12.0,2.0,3.0,14.0
15,Kenneth Walker,KC,RB,22.1,11,23,8,24.82,21.905821305289543,21.905821305289543,4,58.0,13.08556387403446,2.6470588235294117,14.434106455309395,11.74653700580229,39.64076972639763,14.975401896639104,0.5604159919425199,13.84130870239638,25.86447638603696,-0.031914617386511,12.210889828156173,13.456815979565349,13.456815979565349,,,,,6.582947187996207,theta_star,13.456815979565349,1.6465920102173277,15.103407989782676,1.4,16.503407989782676,1.2828627350574386,7.4745791409013185,9.028828848881355,54.0,0.796,3.125,0.3888888888888889,True,6.1125,6.1125,top70,-2.9875,8.730078848881357,,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6465920102173257,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,1.4,kenneth walker,13.0,23.46,13.0,2.0,6.0,15.0
16,Rashee Rice,KC,WR,14.6,8,15,-1,22.61,21.077558739681457,21.077558739681457,3,27.0,18.79970238095238,2.3333333333333335,15.39774859415863,10.782394134943546,43.140579588937385,18.48881982383031,0.6316382999991158,16.650898074386422,26.360027378507873,-0.0255448980221359,16.72278274187241,15.885840425369702,15.885840425369702,,,,,6.810573101316178,theta_star,15.885840425369702,1.1270797873151484,17.01292021268485,0.0,17.01292021268485,1.3048537371403144,7.920755406757527,9.092164805927323,48.0,0.583,0.0,0.5,True,4.65,4.6875,top70,-4.65,8.627164805927324,,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,1.1270797873151492,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,rashee rice,27.0,18.605,27.0,3.0,7.0,16.0
