gsis_id,player,n_seasons,n_games,mu_hat,mu_hat_h05,mu_hat_h2,mu_hat_hinf,n_eff,sigma_W,naive_v,small_sample_corr,tau2_B_untrunc,tau_B,tau2_B_untrunc_reported,cv,q25,q90,boom_raw,boom_eb,bust_raw,bust_eb
00-0039075,Puka Nacua,3,44,21.2675,22.2708,20.6142,19.926,2.3333,9.6803,9.6217,6.6294,2.9923,,,0.4552,13.9,32.49,0.4773,0.3856,0.1364,0.1675
00-0036900,Ja'Marr Chase,5,78,20.2337,20.2235,19.9931,19.5687,2.8182,11.735,7.539,8.9782,-1.4392,0.0,-1.4392,0.58,10.925,33.33,0.4231,0.3749,0.1282,0.1498
00-0036963,Amon-Ra St. Brown,5,79,19.551,19.9158,19.136,18.47,2.8182,9.1189,5.0338,5.2746,-0.2409,0.0,-0.2409,0.4664,12.6,30.42,0.3924,0.3524,0.1139,0.1378
00-0039067,Rashee Rice,3,27,18.7997,19.0483,18.4405,17.8924,2.3333,6.63,18.0072,7.6314,10.3757,,,0.3527,10.35,25.02,0.2593,0.2459,0.1111,0.1641
00-0036358,CeeDee Lamb,6,93,17.7202,17.1377,17.8132,17.3,2.9077,8.4376,12.6221,4.6589,7.9631,2.8219,7.9631,0.4762,10.6,28.5,0.2903,0.2775,0.086,0.1113
00-0038543,Jaxon Smith-Njigba,3,51,17.6084,19.3843,16.3562,14.9549,2.3333,7.0914,38.1891,2.9581,35.231,,,0.4027,7.6,26.3,0.2745,0.2601,0.2549,0.2525
00-0031381,Davante Adams,12,175,16.8073,16.2221,17.5672,16.8207,2.9985,9.126,28.2442,5.7759,22.4683,4.7401,22.4683,0.543,9.25,30.96,0.3429,0.3284,0.1886,0.1938
00-0035676,A.J. Brown,7,103,16.2838,15.9462,16.3824,16.1692,2.9535,9.1435,3.4282,5.7391,-2.311,0.0,-2.311,0.5615,9.25,27.94,0.3204,0.3025,0.1942,0.2017
00-0037238,Drake London,4,60,15.6643,16.4544,14.9266,14.0029,2.6471,8.4331,9.5659,4.824,4.7419,2.1776,4.7419,0.5384,7.35,24.64,0.15,0.1751,0.2833,0.2748
00-0036322,Justin Jefferson,6,94,15.597,13.6661,16.979,18.1678,2.9077,9.2053,11.8783,5.618,6.2603,2.5021,6.2603,0.5902,10.95,31.21,0.3936,0.3583,0.1809,0.191
00-0039337,Malik Nabers,2,19,15.5967,15.068,15.9174,16.2575,1.8,9.9146,7.8606,15.5642,-7.7036,,,0.6357,11.85,30.18,0.3158,0.2673,0.1053,0.1726
00-0036554,Nico Collins,5,63,15.531,15.6132,14.8701,13.4785,2.8182,7.031,26.2506,4.0018,22.2487,4.7169,22.2487,0.4527,8.45,24.06,0.2063,0.214,0.2381,0.2397
00-0037239,Chris Olave,4,53,15.0706,15.7973,14.6356,14.2257,2.6471,6.5222,3.4953,3.8108,-0.3155,0.0,-0.3155,0.4328,10.2,21.4,0.1887,0.2031,0.1132,0.1461
00-0036410,Tee Higgins,6,81,15.0412,14.8324,15.0214,14.9017,2.9077,8.8177,5.5543,5.8005,-0.2462,0.0,-0.2462,0.5862,9.2,26.8,0.2346,0.234,0.2346,0.2365
00-0037247,George Pickens,4,64,14.6795,15.8673,13.845,12.9347,2.6471,7.9957,9.7453,4.0209,5.7244,2.3926,5.7244,0.5447,7.2,25.01,0.1719,0.1894,0.3125,0.2981
00-0037740,Garrett Wilson,4,58,14.0504,14.2312,13.8435,13.5653,2.6471,7.5141,1.2692,4.5075,-3.2383,0.0,-3.2383,0.5348,8.1,24.26,0.1724,0.1911,0.2414,0.2424
00-0039064,Zay Flowers,3,48,13.7935,13.9992,13.6847,13.5918,2.3333,7.2202,0.5394,3.2667,-2.7274,,,0.5235,9.725,22.26,0.1875,0.2033,0.1875,0.203
