gsis_id,player,n_seasons,n_games,mu_hat,mu_hat_h05,mu_hat_h2,mu_hat_hinf,n_eff,sigma_W,naive_v,small_sample_corr,tau2_B_untrunc,tau_B,tau2_B_untrunc_reported,cv,q25,q90,boom_raw,boom_eb,bust_raw,bust_eb
00-0039075,Puka Nacua,3,44,21.2675,22.2708,20.6142,19.926,2.3333,9.6803,9.6217,6.6294,2.9923,,,0.4552,13.9,32.49,0.4773,0.3881,0.1364,0.1695
00-0036900,Ja'Marr Chase,5,78,20.2337,20.2235,19.9931,19.5687,2.8182,11.735,7.539,8.9782,-1.4392,0.0,-1.4392,0.58,10.925,33.33,0.4231,0.3765,0.1282,0.1507
00-0036963,Amon-Ra St. Brown,5,82,18.8424,19.007,18.5065,17.854,2.8182,9.5144,6.1451,5.5246,0.6205,0.7877,0.6205,0.5049,11.225,30.35,0.378,0.3435,0.1463,0.165
00-0038543,Jaxon Smith-Njigba,3,51,17.6084,19.3843,16.3562,14.9549,2.3333,7.0914,38.1891,2.9581,35.231,,,0.4027,7.6,26.3,0.2745,0.2594,0.2549,0.2564
00-0039067,Rashee Rice,3,28,17.2545,18.0182,16.7078,16.0896,2.3333,7.4993,7.5248,8.2015,-0.6767,,,0.4346,9.775,24.94,0.25,0.2396,0.1429,0.1857
00-0036358,CeeDee Lamb,6,94,17.1253,16.2591,17.4212,17.1048,2.9077,8.5332,13.1669,4.6873,8.4796,2.912,8.4796,0.4983,10.6,28.45,0.2872,0.275,0.0957,0.1196
00-0031381,Davante Adams,12,176,16.8073,16.2221,17.5682,16.833,2.9985,9.0995,27.9841,5.7044,22.2797,4.7201,22.2797,0.5414,9.175,30.9,0.3409,0.3271,0.1875,0.1936
00-0035676,A.J. Brown,7,105,15.685,15.2055,15.9146,15.8847,2.9535,9.3218,3.1471,5.8604,-2.7134,0.0,-2.7134,0.5943,9.1,27.78,0.3143,0.2979,0.2095,0.2163
00-0036322,Justin Jefferson,6,94,15.597,13.6661,16.979,18.1678,2.9077,9.2053,11.8783,5.618,6.2603,2.5021,6.2603,0.5902,10.95,31.21,0.3936,0.3594,0.1809,0.1925
00-0039337,Malik Nabers,2,19,15.5967,15.068,15.9174,16.2575,1.8,9.9146,7.8606,15.5642,-7.7036,,,0.6357,11.85,30.18,0.3158,0.2662,0.1053,0.1762
00-0037238,Drake London,4,62,15.5316,16.4139,14.7105,13.6868,2.6471,8.4974,11.9178,4.7562,7.1616,2.6761,7.1616,0.5471,7.125,24.58,0.1452,0.1685,0.3065,0.2973
00-0036554,Nico Collins,5,66,15.3713,15.5609,14.6213,13.1343,2.8182,7.1906,26.0433,4.0133,22.03,4.6936,22.03,0.4678,6.925,23.85,0.197,0.2053,0.2727,0.2705
00-0036410,Tee Higgins,6,82,15.0265,14.8317,14.9666,14.7473,2.9077,8.8939,6.0687,5.8384,0.2304,0.4799,0.2304,0.5919,8.375,26.66,0.2317,0.2308,0.2439,0.2467
00-0037247,George Pickens,4,65,14.5797,15.8321,13.6988,12.7475,2.6471,8.086,9.8373,4.0522,5.7851,2.4052,5.7851,0.5546,6.9,24.68,0.1692,0.1852,0.3231,0.311
00-0037239,Chris Olave,4,55,14.2984,15.2522,13.8359,13.5018,2.6471,6.7003,8.9556,3.5542,5.4014,2.3241,5.4014,0.4686,9.4,21.4,0.1818,0.196,0.1455,0.1714
00-0037740,Garrett Wilson,4,58,14.0504,14.2312,13.8435,13.5653,2.6471,7.5141,1.2692,4.5075,-3.2383,0.0,-3.2383,0.5348,8.1,24.26,0.1724,0.1888,0.2414,0.2457
00-0031408,Mike Evans,12,176,13.6332,12.1884,14.7315,15.8412,2.9985,9.4139,5.2036,6.2687,-1.0652,0.0,-1.0652,0.6905,9.175,29.2,0.2898,0.2822,0.1648,0.1727
