gsis_id,player,n_seasons,n_games,mu_hat,mu_hat_h05,mu_hat_h2,mu_hat_hinf,n_eff,sigma_W,naive_v,small_sample_corr,tau2_B_untrunc,tau_B,tau2_B_untrunc_reported,cv,q25,q90,boom_raw,boom_eb,bust_raw,bust_eb
00-0034857,Josh Allen,8,125,23.1838,22.9979,23.135,22.3991,2.9767,8.974,7.3706,5.211,2.1596,1.4696,2.1596,0.3871,16.66,35.604,0.552,0.5145,0.08,0.095
00-0036389,Jalen Hurts,6,82,20.439,19.6316,20.9844,21.3745,2.9077,7.5714,4.7199,5.0264,-0.3065,0.0,-0.3065,0.3704,16.665,30.332,0.5366,0.4884,0.0854,0.1048
00-0040691,Jaxson Dart,1,12,20.1317,20.1317,20.1317,20.1317,1.0,7.7847,,,,,,0.3867,18.46,27.144,0.5,0.3937,0.0833,0.137
00-0034796,Lamar Jackson,8,105,19.9063,18.4491,20.8638,21.7608,2.9767,8.0096,12.4221,5.2626,7.1595,2.6757,7.1595,0.4024,16.1,33.504,0.5429,0.5017,0.0571,0.0794
00-0033873,Patrick Mahomes,9,126,19.7244,19.8154,20.1011,20.3695,2.9883,7.1059,23.4263,8.498,14.9282,3.8637,14.9282,0.3603,15.825,31.67,0.4683,0.4463,0.0397,0.0622
00-0037834,Brock Purdy,4,47,18.729,19.2361,18.309,17.7815,2.6471,8.2043,3.7044,6.4473,-2.7429,0.0,-2.7429,0.4381,14.13,26.408,0.383,0.37,0.1489,0.1528
00-0039851,Drake Maye,2,29,18.7229,19.5152,18.2423,17.7326,1.8,5.3663,17.6529,2.0469,15.606,,,0.2866,15.74,26.284,0.2414,0.2942,0.0345,0.0971
00-0038128,Malik Willis,3,8,18.5738,20.5326,16.7547,14.2333,2.0864,9.4169,64.7788,34.4858,30.293,,,0.507,6.335,27.222,0.25,0.3267,0.375,0.2051
00-0036442,Joe Burrow,6,77,18.2664,17.7389,18.5454,18.7308,2.9077,8.1542,8.5785,5.6387,2.9398,1.7146,2.9398,0.4464,13.8,31.024,0.3766,0.3691,0.1429,0.1473
00-0039910,Jayden Daniels,2,23,18.1876,17.4428,18.6393,19.1185,1.8,7.9591,15.5991,6.5045,9.0947,,,0.4376,16.18,29.952,0.4783,0.4067,0.1304,0.1464
00-0039732,Bo Nix,2,34,18.1741,18.0772,18.2329,18.2953,1.8,7.9345,0.2643,3.7033,-3.439,,,0.4366,13.375,28.99,0.2941,0.3188,0.1176,0.1368
00-0033077,Dak Prescott,10,139,17.7767,17.797,18.2991,19.0104,2.9941,8.4084,12.0758,5.9282,6.1475,2.4794,6.1475,0.473,12.84,29.54,0.3957,0.3877,0.1583,0.1584
00-0036355,Justin Herbert,6,95,17.772,17.7197,18.1355,18.977,2.9077,7.7042,6.9507,3.7845,3.1662,1.7794,3.1662,0.4335,13.38,28.268,0.4,0.3882,0.1053,0.1179
00-0036971,Trevor Lawrence,5,77,17.6313,18.6677,16.8785,15.9839,2.8182,7.4193,9.4652,3.7318,5.7335,2.3945,5.7335,0.4208,10.32,25.012,0.2468,0.2741,0.2078,0.1943
00-0033106,Jared Goff,10,151,17.6182,17.7337,17.1532,15.9659,2.9941,7.9762,11.2399,4.5037,6.7362,2.5954,6.7362,0.4527,10.49,26.46,0.2848,0.2948,0.2185,0.2088
00-0026498,Matthew Stafford,12,177,17.5954,18.9476,16.9296,16.7967,2.9985,6.4361,8.0274,2.9759,5.0515,2.2476,5.0515,0.3658,11.88,26.508,0.2938,0.3013,0.1412,0.1438
00-0039918,Caleb Williams,2,34,17.4686,17.9678,17.1658,16.8447,1.8,8.015,7.007,3.7788,3.2282,,,0.4588,10.035,26.672,0.3529,0.3509,0.2059,0.1841
00-0035228,Kyler Murray,7,86,16.9978,16.1216,17.9641,19.1837,2.9535,7.1091,7.4409,4.9113,2.5296,1.5905,2.5296,0.4182,14.33,28.86,0.407,0.3925,0.0581,0.0838
00-0034855,Baker Mayfield,8,123,16.9162,16.9582,16.2871,15.4608,2.9767,6.3826,10.9357,2.687,8.2487,2.8721,8.2487,0.3773,10.27,24.684,0.2195,0.2436,0.1951,0.1881
00-0040743,Tyler Shough,1,10,15.796,15.796,15.796,15.796,1.0,6.3175,,,,,,0.3999,11.21,21.776,0.3,0.3358,0.3,0.1947
00-0035710,Daniel Jones,7,82,15.3445,16.3157,14.9229,14.9393,2.9535,7.969,10.2041,5.9128,4.2913,2.0715,4.2913,0.5193,9.63,28.04,0.2439,0.2707,0.2561,0.2304
00-0036264,Jordan Love,5,51,15.2994,15.6946,14.4996,13.0363,2.8182,6.6662,26.9571,13.5579,13.3992,3.6605,13.3992,0.4357,11.3,25.76,0.2157,0.263,0.2157,0.1949
00-0039163,C.J. Stroud,3,46,14.8445,14.6946,15.0709,15.4202,2.3333,6.9214,7.5987,3.1446,4.4542,,,0.4663,11.03,22.62,0.1739,0.2403,0.1522,0.1548
00-0034869,Sam Darnold,8,92,14.6325,14.5546,14.3266,13.7383,2.9767,7.9408,4.5234,8.7082,-4.1849,0.0,-4.1849,0.5427,8.375,23.636,0.2065,0.2399,0.3043,0.2691
